gene	orthogroup	orthogroup_support	orthologous_to	orthologous_to_support
HoiH23_PlH23_005722-RA	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	21.0/21.0
Spis_XP_022783477_1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	NA	NA
Cgig_XM_011455148.3	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	HBP1	41.0
Cgig_XM_034481853.1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	84.0/84.0
Drer_ENSDART00000149411	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1	100.0
HoiH23_PlH23_007590-RA	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	HBP1	56.0
Drer_ENSDART00000088265	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1	100.0
Scil_scict019046.1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L/HBP1	1.0/1.0/1.0
Hhon_g02886.t1	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
Hsap_ENST00000438362	CSD.HG1.0:CSDE1	97.0	CSDE1	100.0
Plajan_Pjan_scaffold4340_01	CSD.HG1.0:CSDE1	97.0	CSDE1	68.0
Cint_ENSCINT00000026401	CSD.HG1.0:CSDE1	97.0	CSDE1	43.0
Nvec_v1g105520	CSD.HG1.0:CSDE1	97.0	CSDE1	68.0
Aque_Aqu2.1.15473_001	CSD.HG1.0:CSDE1	97.0	CSDE1	95.0
Exapal_XM_021043212.1	CSD.HG1.0:CSDE1	97.0	CSDE1	68.0
Adig_XM_015892419.1	CSD.HG1.0:CSDE1	97.0	CSDE1	68.0
Bralan_BLAG18000614_1	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
Cgig_XM_011417850.3	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
Aque_Aqu2.1.04422_001	CSD.HG1.0:CSDE1	97.0	CSDE1	95.0
Spur_XM_031000347.1	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
Morvir_scaffold1419.g1.t1	CSD.HG1.0:CSDE1	97.0	CSDE1	68.0
Adig_XM_015905394.1	CSD.HG1.0:CSDE1	97.0	CSDE1	68.0
Spis_XP_022784029_1	CSD.HG1.0:CSDE1	97.0	CSDE1	68.0
Drer_ENSDART00000185981	CSD.HG1.0:CSDE1	97.0	CSDE1	100.0
Mmus_ENSMUST00000029446	CSD.HG1.0:CSDE1	97.0	CSDE1	100.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA158253	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
Dgig_XM_028561072.1	CSD.HG1.0:CSDE1	97.0	CSDE1	68.0
Morvir_scaffold499.g9.t1	CSD.HG1.0:CSDE1	97.0	CSDE1	68.0
Dmel_FBtr0114592	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
Tetwil_g12814.t2	CSD.HG1.0:CSDE1	97.0	CSDE1	95.0
Hvul_g3929_1	CSD.HG1.0:CSDE1	97.0	CSDE1	68.0
Tcas_TC002472_001	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
Spur_XM_031000348.1	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
Emue_Em0163g1a.t1	CSD.HG1.0:CSDE1	97.0	CSDE1	95.0
Emue_Em0010g260a.t1	CSD.HG1.0:CSDE1	97.0	CSDE1	95.0
Dgig_XM_028546924.1	CSD.HG1.0:CSDE1	97.0	CSDE1	68.0
Nemnom_g4382.t1	CSD.HG1.0:CSDE1	97.0	CSDE1	68.0
Skow_XM_006811122.1	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
TrH2_TrispH2_001035-RA	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
Scil_scict022705.1	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
HoiH23_PlH23_008576-RA	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
Ocar_g8591	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
Tadh_TriadT52268	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
Gracom_Gcom_scaffold5570_01	CSD.HG1.0:CSDE1	97.0	CSDE1	97.0
Spur_XM_011664981.2	CSD.HG1.1:like:LIN28A/LIN28B/YBX1/YBX2/YBX3	100.0	NA	NA
Spur_XM_003729706.3	CSD.HG1.1:like:LIN28A/LIN28B/YBX1/YBX2/YBX3	100.0	NA	NA
Spur_XM_030981386.1	CSD.HG1.1:like:LIN28A/LIN28B/YBX1/YBX2/YBX3	100.0	NA	NA
Spur_XM_031000220.1	CSD.HG1.1:like:LIN28A/LIN28B/YBX1/YBX2/YBX3	100.0	NA	NA
Spur_XM_783041.4	CSD.HG1.1:like:LIN28A/LIN28B/YBX1/YBX2/YBX3	100.0	NA	NA
Spis_XP_022810631_1	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A/LIN28B	74.0/74.0
Horcal_Hcv1.av93.c3.g397.i3	CSD.HG1.2:LIN28A/LIN28B	74.0	NA	NA
Exapal_XM_021041013.2	CSD.HG1.2:LIN28A/LIN28B	74.0	NA	NA
Dgig_XM_028559313.1	CSD.HG1.2:LIN28A/LIN28B	74.0	NA	NA
Scil_scict016849.1	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A/LIN28B	83.0/83.0
Drer_ENSDART00000193355	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A	92.0
Beraby_Baby_sb331270	CSD.HG1.2:LIN28A/LIN28B	74.0	NA	NA
Bolinf_Binf_sb1208820	CSD.HG1.2:LIN28A/LIN28B	74.0	NA	NA
Mmus_ENSMUST00000079390	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28B	99.0
Horcal_Hcv1.av93.c3.g397.i1	CSD.HG1.2:LIN28A/LIN28B	74.0	NA	NA
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA179303	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A/LIN28B	25.0/25.0
Cint_ENSCINT00000032412	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A/LIN28B	100.0/100.0
Mmus_ENSMUST00000051674	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A	100.0
Hsap_ENST00000637759	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28B	100.0
Drer_ENSDART00000167665	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A	92.0
Nvec_v1g202545	CSD.HG1.2:LIN28A/LIN28B	74.0	NA	NA
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA136770	CSD.HG1.2:LIN28A/LIN28B	74.0	NA	NA
Spur_XM_786939.4	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A/LIN28B	97.0/97.0
Gracom_Gcom_scaffold18952_01	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A/LIN28B	83.0/83.0
Beraby_Baby_sb331269	CSD.HG1.2:LIN28A/LIN28B	74.0	NA	NA
Skow_XM_006811428.1	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A/LIN28B	97.0/97.0
Hsap_ENST00000254231	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A	100.0
Tcas_TC014742_001	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A/LIN28B	25.0/25.0
Dmel_FBtr0077090	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A/LIN28B	25.0/25.0
Mlei_ML0105.g28.i1	CSD.HG1.2:LIN28A/LIN28B	74.0	NA	NA
Gracom_Gcom_scaffold18286_01	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A/LIN28B	83.0/83.0
Drer_ENSDART00000113412	CSD.HG1.2:LIN28A/LIN28B	74.0	NA	NA
Cgig_XM_011454773.3	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A/LIN28B	25.0/25.0
Adig_XM_015904532.1	CSD.HG1.2:LIN28A/LIN28B	74.0	LIN28A/LIN28B	74.0/74.0
Gracom_Gcom_scaffold14211_01	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	93.0/93.0/93.0
Dmel_FBtr0076027	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	85.0/85.0/85.0
TrH2_TrispH2_004592-RA	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	53.0/53.0/53.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA121832	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA48743	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Morvir_scaffold275.g28.t1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	62.0/62.0/62.0
Bolinf_Binf_sb1183822	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA201202	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Lampan_Lpan_16182_01	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Horcal_Hcv1.av93.c3.g459.i2	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA40103	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Vmul_sbMO411267	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Tetwil_g4862.t1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	38.0/38.0/38.0
Plajan_Pjan_scaffold18609_01	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Tcas_TC013925_001	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	85.0/85.0/85.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA48958	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Spis_XP_022792056_1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	53.0/53.0/53.0
Drer_ENSDART00000110512	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1	99.0
Ocar_g3163	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA50882	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Bralan_BLAG11000490_1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	70.0/70.0/70.0
Mmus_ENSMUST00000079644	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1	100.0
Mlei_ML0136.g5.i1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Adig_XM_015912687.1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	53.0/53.0/53.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA55545	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA115648	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Emue_Em0008g370a.t1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	38.0/38.0/38.0
Dgig_XM_028538477.1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	53.0/53.0/53.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA105284	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA166603	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Skow_XM_002732389.2	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	96.0/96.0/96.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA58131	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Spis_XP_022789587_1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	53.0/53.0/53.0
Coemet_Cmet_scaffold15808_01	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Aque_Aqu2.1.31582_001	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	38.0/38.0/38.0
Cgig_XM_011414905.3	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	73.0/73.0/73.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA58124	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Mmus_ENSMUST00000032309	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX3	100.0
Nemnom_g3931.t1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	62.0/62.0/62.0
Beraby_Baby_sb340598	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Tadh_TriadT64023	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	53.0/53.0/53.0
Hsap_ENST00000228251	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX3	100.0
HoiH23_PlH23_006840-RA	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	53.0/53.0/53.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA48741	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Hsap_ENST00000436427	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1	100.0
Mmus_ENSMUST00000018698	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX2	100.0
Bolinf_Binf_sb1249975	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Coemet_Cmet_scaffold15074_01	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA50229	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Spur_XM_030987248.1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	95.0/95.0/95.0
Bolinf_Binf_sb1249973	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Horcal_Hcv1.av93.c3.g459.i1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA69814	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Cint_ENSCINT00000021107	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	53.0/53.0/53.0
Hsap_ENST00000007699	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX2	100.0
Coemet_Cmet_scaffold15807_01	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Bolinf_Binf_sb1249974	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Exapal_XM_021047666.2	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	53.0/53.0/53.0
Nvec_v1g104083	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	53.0/53.0/53.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA119722	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	59.0/59.0/59.0
Hvul_g10565_1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	62.0/62.0/62.0
Bolinf_Binf_sb1249972	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	43.0/43.0/43.0
Scil_scict002147.2	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	93.0/93.0/93.0
Scil_scict012927.1	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	93.0/93.0/93.0
Gracom_Gcom_C555408_01	CSD.HG1.3:YBX1/YBX2/YBX3	93.0	YBX1/YBX2/YBX3	93.0/93.0/93.0
Scil_scict021999.4	CSD.HG1.4:like:CARHSP1/CSDC2	92.0	NA	NA
Dgig_XM_028544284.1	CSD.HG1.4:like:CARHSP1/CSDC2	92.0	NA	NA
Dgig_XM_028555782.1	CSD.HG1.4:like:CARHSP1/CSDC2	92.0	NA	NA
Adig_XM_015920616.1	CSD.HG1.4:like:CARHSP1/CSDC2	92.0	NA	NA
Dgig_XM_028556181.1	CSD.HG1.4:like:CARHSP1/CSDC2	92.0	NA	NA
Dgig_XM_028551819.1	CSD.HG1.4:like:CARHSP1/CSDC2	92.0	NA	NA
Adig_XM_015920606.1	CSD.HG1.4:like:CARHSP1/CSDC2	92.0	NA	NA
Dgig_XM_028555798.1	CSD.HG1.4:like:CARHSP1/CSDC2	92.0	NA	NA
Spis_XP_022810290_1	CSD.HG1.4:like:CARHSP1/CSDC2	92.0	NA	NA
Scil_scict025526.5	CSD.HG1.4:like:CARHSP1/CSDC2	92.0	NA	NA
Gracom_Gcom_scaffold9466_01	CSD.HG1.4:like:CARHSP1/CSDC2	92.0	NA	NA
Nvec_NVE13317	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	94.0/94.0
Mmus_ENSMUST00000008537	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1	100.0
Drer_ENSDART00000075100	CSD.HG1.5:CARHSP1/CSDC2	94.0	NA	NA
Cgig_XM_011438134.3	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	77.0/77.0
Dmel_FBtr0075324	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	77.0/77.0
Tadh_TriadT20474	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	84.0/84.0
Mmus_ENSMUST00000038757	CSD.HG1.5:CARHSP1/CSDC2	94.0	CSDC2	100.0
Hsap_ENST00000306149	CSD.HG1.5:CARHSP1/CSDC2	94.0	CSDC2	100.0
Hsap_ENST00000311052	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1	100.0
Bralan_BLAG09000667_1	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	84.0/84.0
Skow_XM_006819813.1	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	77.0/77.0
Drer_ENSDART00000165968	CSD.HG1.5:CARHSP1/CSDC2	94.0	CSDC2	100.0
Hhon_g05503.t1	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	84.0/84.0
Plajan_Pjan_scaffold19409_01	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	84.0/84.0
Tcas_TC006980_001	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	77.0/77.0
HoiH23_PlH23_000175-RA	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	84.0/84.0
TrH2_TrispH2_003412-RA	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	84.0/84.0
Cint_ENSCINT00000034044	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	97.0/97.0
Scil_scict013945.1	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	84.0/84.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA101508	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	77.0/77.0
Drer_ENSDART00000060561	CSD.HG1.5:CARHSP1/CSDC2	94.0	CSDC2	100.0
Morvir_scaffold466.g3.t1	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	94.0/94.0
Hvul_g21201_1	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	94.0/94.0
Nemnom_g7448.t1	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	94.0/94.0
Adig_XM_015899876.1	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	94.0/94.0
Exapal_XM_021060802.2	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	94.0/94.0
Spis_XP_022790819_1	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	94.0/94.0
Dgig_XM_028550800.1	CSD.HG1.5:CARHSP1/CSDC2	94.0	CARHSP1/CSDC2	94.0/94.0
Tadh_TriadT62972	CSD.HG1.6:like:CARHSP1/CSDC2	1.0	NA	NA
Bralan_BLAG01000084_1	CSD.HG1.7:like:CARHSP1/CSDC2	1.0	NA	NA
Emue_Em0009g1154a.t1	DCP2.HG1.0:DCP2	1.0	DCP2	1.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA229101	DCP2.HG1.0:DCP2	1.0	DCP2	48.0
Mmus_ENSMUST00000025350	DCP2.HG1.0:DCP2	1.0	DCP2	87.0
Hsap_ENST00000389063	DCP2.HG1.0:DCP2	1.0	DCP2	100.0
Nemnom_g3372.t1	DCP2.HG1.0:DCP2	1.0	DCP2	24.0
Exapal_XM_021058776.2	DCP2.HG1.0:DCP2	1.0	DCP2	24.0
Adig_XM_015914292.1	DCP2.HG1.0:DCP2	1.0	DCP2	24.0
Spur_XM_781343.5	DCP2.HG1.0:DCP2	1.0	DCP2	54.0
Lampan_Lpan_C414879_01	DCP2.HG1.0:DCP2	1.0	DCP2	99.0
TrH2_TrispH2_007286-RA	DCP2.HG1.0:DCP2	1.0	DCP2	59.0
Plajan_Pjan_scaffold11823_01	DCP2.HG1.0:DCP2	1.0	DCP2	63.0
Drer_ENSDART00000171320	DCP2.HG1.0:DCP2	1.0	DCP2	100.0
Morvir_scaffold215.g36.t1	DCP2.HG1.0:DCP2	1.0	DCP2	24.0
