gene	orthogroup	orthogroup_support	orthologous_to	orthologous_to_support
Cint_ENSCINT00000012312	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	38.0/38.0/38.0/38.0
Hsap_ENST00000265343	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF4	100.0
Spis_XP_022804332_1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	32.0/32.0/32.0/32.0
Tcas_TC032824_002	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	38.0/38.0/38.0/38.0
Dgig_XM_028549860.1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	32.0/32.0/32.0/32.0
Mmus_ENSMUST00000031256	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1	100.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA127205	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	38.0/38.0/38.0/38.0
Adig_XM_015916156.1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	32.0/32.0/32.0/32.0
Mmus_ENSMUST00000060945	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF4	100.0
Drer_ENSDART00000137922	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF3	100.0
Mmus_ENSMUST00000033532	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF2	100.0
Adig_XM_015916149.1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	32.0/32.0/32.0/32.0
Gracom_Gcom_scaffold14575_01	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	1.0/1.0/1.0/1.0
Gracom_Gcom_scaffold10566_01	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	1.0/1.0/1.0/1.0
Aque_Aqu2.1.30518_001	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	1.0/1.0/1.0/1.0
Emue_Em0022g162a.t1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	1.0/1.0/1.0/1.0
Tetwil_g11882.t2	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	1.0/1.0/1.0/1.0
Scil_scict022494.1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	1.0/1.0/1.0/1.0
Emue_Em0872g2a.t1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	1.0/1.0/1.0/1.0
Skow_XM_006824174.1	AP-2.HG1.0:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	91.0	NA	NA
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA229068	AP-2.HG1.0:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	91.0	NA	NA
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA201582	AP-2.HG1.0:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	91.0	NA	NA
Drer_ENSDART00000153034	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Dgig_XM_028552603.1	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Exapal_XM_021052067.2	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Hvul_g17848_1	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Adig_XM_015924034.1	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Dgig_XM_028538998.1	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Dgig_XM_028555257.1	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Dgig_XM_028539094.1	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Dgig_XM_028541566.1	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Morvir_scaffold460.g2.t1	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Dgig_XM_028539000.1	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Spis_XP_022782802_1	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Dgig_XM_028546541.1	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Nemnom_g12601.t1	AP-2.HG1.1:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	86.0	NA	NA
Vmul_Simscaffold15429_01	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0/63.0/63.0/63.0/63.0
Gracom_Gcom_scaffold18643_01	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	89.0/89.0/89.0/89.0/89.0
Hhon_g07610.t1	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	97.0/97.0/97.0/97.0/97.0
Drer_ENSDART00000168792	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2E	100.0
Nemnom_g9737.t1	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	98.0/98.0/98.0/98.0/98.0
Scil_scict006818.2	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	89.0/89.0/89.0/89.0/89.0
Hsap_ENST00000393655	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2B	100.0
Adig_XM_015902244.1	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	98.0/98.0/98.0/98.0/98.0
Nvec_v1g31519	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	98.0/98.0/98.0/98.0/98.0
Drer_ENSDART00000174808	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2B	100.0
Cgig_XM_034481014.1	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	100.0/100.0/100.0/100.0/100.0
Dgig_XM_028543496.1	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	98.0/98.0/98.0/98.0/98.0
Hsap_ENST00000373235	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2E	100.0
Dmel_FBtr0333466	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	100.0/100.0/100.0/100.0/100.0
Spis_XP_022802080_1	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	98.0/98.0/98.0/98.0/98.0
Mmus_ENSMUST00000099058	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2C	100.0
Hsap_ENST00000379613	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A	100.0
Mmus_ENSMUST00000225180	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A	100.0
Gracom_Gcom_scaffold12972_01	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	89.0/89.0/89.0/89.0/89.0
Cint_ENSCINT00000007665	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	64.0/64.0/64.0/64.0/64.0
Emue_Em0023g125a.t1	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	68.0/68.0/68.0/68.0/68.0
Cgig_XM_011424970.3	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	100.0/100.0/100.0/100.0/100.0
Drer_ENSDART00000186660	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A	99.0
Mmus_ENSMUST00000027059	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2B	100.0
Tadh_TriadT27767	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	97.0/97.0/97.0/97.0/97.0
Morvir_scaffold78.g70.t1	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	98.0/98.0/98.0/98.0/98.0
Plajan_Pjan_scaffold18783_01	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	74.0/74.0/74.0/74.0/74.0
Scil_scict009082.2	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	89.0/89.0/89.0/89.0/89.0
Exapal_XM_021047791.2	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	98.0/98.0/98.0/98.0/98.0
Skow_XM_006819910.1	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	100.0/100.0/100.0/100.0/100.0
Tcas_TC009922_001	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	100.0/100.0/100.0/100.0/100.0
Aque_Aqu2.1.41365_001	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	68.0/68.0/68.0/68.0/68.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA180182	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	100.0/100.0/100.0/100.0/100.0
Gracom_Gcom_scaffold6964_01	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	89.0/89.0/89.0/89.0/89.0
Bralan_BLAG02001170_1	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	38.0/38.0/38.0/38.0/38.0
Hsap_ENST00000008391	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2D	100.0
Drer_ENSDART00000031167	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2D	100.0
HoiH23_PlH23_003808-RA	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	97.0/97.0/97.0/97.0/97.0
Mmus_ENSMUST00000037294	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2D	100.0
Drer_ENSDART00000150219	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2C	100.0
TrH2_TrispH2_002814-RA	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	97.0/97.0/97.0/97.0/97.0
Hsap_ENST00000201031	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2C	100.0
Mmus_ENSMUST00000048194	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2E	100.0
Spur_XM_030983519.1	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	100.0/100.0/100.0/100.0/100.0
Tetwil_g12629.t2	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	68.0/68.0/68.0/68.0/68.0
Beraby_Baby_sb330897	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0/63.0/63.0/63.0/63.0
Beraby_Baby_sb330898	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0/63.0/63.0/63.0/63.0
Bolinf_Binf_sb1229313	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0/63.0/63.0/63.0/63.0
Bolinf_Binf_sb1229311	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0/63.0/63.0/63.0/63.0
Horcal_Hcv1.av93.c11.g903.i1	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0/63.0/63.0/63.0/63.0
Coemet_Cmet_scaffold12906_01	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0/63.0/63.0/63.0/63.0
Mlei_ML3422.g12.i1	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0/63.0/63.0/63.0/63.0
Bolinf_Binf_sb1229314	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0/63.0/63.0/63.0/63.0
Lampan_Lpan_15781_01	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0/63.0/63.0/63.0/63.0
Horcal_Hcv1.av93.c11.g903.i2	AP-2.HG1.2:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0	TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	63.0/63.0/63.0/63.0/63.0
Cint_ENSCINT00000023695	AP-2.HG1.3:like:TFAP2A/TFAP2B/TFAP2C/TFAP2D/TFAP2E	1.0	NA	NA
Emue_Em0021g217a.t1	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	100.0
Dmel_FBtr0086107	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	90.0
Nemnom_g8581.t1	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	51.0
Hsap_ENST00000334344	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	100.0
Cgig_XM_011456739.3	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	90.0
Bralan_BLAG18000240_1	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	97.0
Hvul_g31225_1	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	99.0
Cint_ENSCINT00000021949	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	90.0
Spis_XP_022805198_1	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	54.0
Adig_XM_015901773.1	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	54.0
Hhon_g04729.t1	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	54.0
Morvir_scaffold339.g2.t1	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	93.0
Tcas_TC032790_001	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	90.0
TrH2_TrispH2_002188-RA	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	54.0
Tadh_TriadT54817	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	54.0
Spur_XM_030988760.1	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	90.0
Ocar_g4609	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	51.0
Nvec_v1g42971	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	54.0
Plajan_Pjan_scaffold23402_01	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	51.0
Skow_XM_002739753.2	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	98.0
HoiH23_PlH23_002172-RA	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	54.0
Dgig_XM_028552500.1	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	94.0
Mmus_ENSMUST00000096250	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	100.0
Scil_scict001989.1	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	54.0
Exapal_XM_021046092.2	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	54.0
Exapal_XM_021046114.2	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	54.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA108943	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	90.0
Drer_ENSDART00000019144	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	100.0
Aque_Aqu2.1.29391_001	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	100.0
Tetwil_g3650.t2	ARID_BRIGHT.HG1.0:ARID2	100.0	ARID2	100.0
HoiH23_PlH23_002941-RA	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	100.0/100.0
Mmus_ENSMUST00000046305	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A	100.0
Lampan_Lpan_14677_01	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	53.0/53.0
Drer_ENSDART00000128291	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A	100.0
Gracom_Gcom_C561324_01	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	73.0/73.0
Mlei_ML0181.g3.i1	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	53.0/53.0
Tcas_TC008693_001	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	100.0/100.0
Dgig_XM_028540205.1	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	73.0/73.0
Hsap_ENST00000355431	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A	100.0
Dmel_FBtr0310440	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	100.0/100.0
Bralan_BLAG04001136_1	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	100.0/100.0
Horcal_Hcv1.av93.c12.g348.i1	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	53.0/53.0
Spur_XM_030998346.1	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	100.0/100.0
Cint_ENSCINT00000024018	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	98.0/98.0
Vmul_sbMO452831	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	53.0/53.0
Hvul_g246_1	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	40.0/40.0
Cgig_XM_011449324.2	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	100.0/100.0
Coemet_Cmet_scaffold13254_01	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	53.0/53.0
Beraby_Baby_sb350155	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	53.0/53.0
Plajan_Pjan_scaffold23655_01	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	52.0/52.0
Vmul_sbMO454564	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	53.0/53.0
Spis_XP_022792789_1	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	55.0/55.0
Emue_Em0019g249a.t1	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	53.0/53.0
Spur_XM_030998316.1	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	100.0/100.0
Skow_XM_006811197.1	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	100.0/100.0
Beraby_Baby_sb350157	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	53.0/53.0
Beraby_Baby_sb350156	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	53.0/53.0
Drer_ENSDART00000128415	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4B	100.0
Hsap_ENST00000264183	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4B	100.0
Nvec_v1g114579	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	55.0/55.0
Beraby_Baby_sb350158	ARID_BRIGHT.HG1.1:ARID4A/ARID4B	100.0	ARID4A/ARID4B	53.0/53.0
