gene	gene_module	membership_score	gene_name	pfam
TrH2_TrispH2_009880	plum2	0.75	cytochrome_P450_family_24_subfamily_A_member_1	p450/
TrH2_TrispH2_005205	plum2	0.745	von_Willebrand_factor_A_domain_containing_8	AAA_5/AAA_5/AAA_5/
TrH2_TrispH2_007356	plum2	0.743	methylenetetrahydrofolate_dehydrogenase_NADP_dependent_2_methenyltetrahydrofolate_cyclohydrolase	THF_DHG_CYH/THF_DHG_CYH_C/
TrH2_TrispH2_003464	plum2	0.742	acyl_CoA_dehydrogenase_very_long_chain	Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
TrH2_TrispH2_000708	plum2	0.735	3_hydroxyisobutyryl_CoA_hydrolase	ECH_2/
TrH2_TrispH2_007409	plum2	0.731	enoyl_CoA_delta_isomerase_1	ECH_1/
TrH2_TrispH2_007796	plum2	0.73	solute_carrier_family_25_member_1	Mito_carr/Mito_carr/Mito_carr/
TrH2_TrispH2_002281	plum2	0.727	solute_carrier_family_25_member_12	EF-hand_8/EF-hand_1/Mito_carr/Mito_carr/Mito_carr/
TrH2_TrispH2_006716	plum2	0.724	isochorismatase_domain_containing_1	Isochorismatase/
TrH2_TrispH2_003326	plum2	0.722	isocitrate_dehydrogenase_NADP_1	Iso_dh/
TrH2_orphan_240	plum2	0.718	NA	NA
TrH2_TrispH2_008528	plum2	0.709	NADH_ubiquinone_oxidoreductase_core_subunit_S1	Fer2_4/NADH-G_4Fe-4S_3/Molybdopterin/NADH_dhqG_C/
TrH2_TrispH2_002686	plum2	0.704	carnitine_O_acetyltransferase	Carn_acyltransf/Carn_acyltransf/
TrH2_TrispH2_010462	plum2	0.704	ATP_synthase_mitochondrial_F1_complex_assembly_factor_2	ATP12/
TrH2_TrispH2_001937	plum2	0.697		Sel1/Sel1/Sel1/Sel1/Sel1/Sel1/Sel1/
TrH2_TrispH2_003584	plum2	0.693		Metalloenzyme/iPGM_N/
TrH2_TrispH2_004503	plum2	0.688	4_hydroxyphenylpyruvate_dioxygenase_like	Glyoxalase/
TrH2_TrispH2_011197	plum2	0.675	inositol_3_phosphate_synthase_1	NAD_binding_5/Inos-1-P_synth/
TrH2_TrispH2_000151	plum2	0.671	phosphoenolpyruvate_carboxykinase_1	PEPCK_N/PEPCK_GTP/
TrH2_TrispH2_007913	plum2	0.668	FAST_kinase_domains_3	FAST_1/FAST_2/RAP/
TrH2_TrispH2_005121	plum2	0.665	sideroflexin_1	SFXNs/
TrH2_TrispH2_005842	plum2	0.663	zinc_finger_C4H2_type_containing	zf-C4H2/
TrH2_TrispH2_005076	plum2	0.662	solute_carrier_family_25_member_11	Mito_carr/Mito_carr/Mito_carr/
TrH2_TrispH2_003357	plum2	0.659	jumonji_domain_containing_6_arginine_demethylase_and_lysine_hydroxylase	Cupin_8/
TrH2_TrispH2_002067	plum2	0.658	glutathione_S_transferase_pi_1	GST_C_3/
TrH2_TrispH2_010443	plum2	0.65		
TrH2_TrispH2_001138	plum2	0.645	solute_carrier_family_26_member_2	Sulfate_transp/STAS/
TrH2_TrispH2_001390	plum2	0.641	3_hydroxy_3_methylglutaryl_CoA_synthase_1	HMG_CoA_synt_N/HMG_CoA_synt_C/
TrH2_TrispH2_007867	plum2	0.64	aconitase_1	Aconitase/Aconitase_C/
TrH2_TrispH2_002079	plum2	0.624	methionine_adenosyltransferase_2A	S-AdoMet_synt_N/S-AdoMet_synt_M/S-AdoMet_synt_C/
TrH2_TrispH2_002691	plum2	0.621	sarcosine_dehydrogenase	DAO/FAO_M/GCV_T/GCV_T_C/
TrH2_TrispH2_006439	plum2	0.611	methylenetetrahydrofolate_dehydrogenase_cyclohydrolase_and_formyltetrahydrofolate_synthetase_1	THF_DHG_CYH/THF_DHG_CYH_C/FTHFS/
TrH2_TrispH2_006432	plum2	0.61		Abhydrolase_1/
TrH2_TrispH2_009244	plum2	0.61	failed_axon_connections_homolog_metaxin_like_GST_domain_containing	GST_N_4/GST_C_6/
TrH2_TrispH2_002758	plum2	0.606	tetraspanin_31	Tetraspanin/
TrH2_TrispH2_008898	plum2	0.603	methionyl_aminopeptidase_2	Peptidase_M24/
TrH2_orphan_341	plum2	0.602	NA	NA
TrH2_TrispH2_002834	plum2	0.601	isovaleryl_CoA_dehydrogenase	Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
TrH2_TrispH2_010537	plum2	0.596	kinesin_family_member_13A	Kinesin/Kinesin_assoc/Kinesin_assoc/FHA/KIF1B/DUF3694/
TrH2_TrispH2_009735	plum2	0.595		
TrH2_TrispH2_003938	plum2	0.593	Ts_translation_elongation_factor_mitochondrial	EF_TS/
TrH2_TrispH2_002751	plum2	0.593	solute_carrier_family_45_member_2	MFS_2/
TrH2_TrispH2_007516	plum2	0.592	phosphoglycerate_dehydrogenase	2-Hacid_dh/2-Hacid_dh_C/
TrH2_TrispH2_003519	plum2	0.587	EMX1/EMX2/NOTO/VAX1/VAX2	Homeodomain/
TrH2_TrispH2_004327	plum2	0.586	translocase_of_outer_mitochondrial_membrane_70	TPR_1/TPR_11/TPR_8/
TrH2_TrispH2_010437	plum2	0.581	sphingosine_1_phosphate_phosphatase_2	PAP2/
TrH2_TrispH2_001711	plum2	0.58	transmembrane_9_superfamily_member_2	EMP70/
TrH2_TrispH2_008530	plum2	0.579	LDL_receptor_related_protein_associated_protein_1	Alpha-2-MRAP_N/
TrH2_TrispH2_004709	plum2	0.578	epoxide_hydrolase_4	Abhydrolase_6/
TrH2_TrispH2_004856	plum2	0.576	golgin_A4	GRIP/
TrH2_TrispH2_008358	plum2	0.571	apoptosis_inducing_factor_mitochondria_associated_1	Pyr_redox_2/AIF_C/
TrH2_TrispH2_006787	plum2	0.568	solute_carrier_family_1_member_2	SDF/
TrH2_TrispH2_000700	plum2	0.567	WRN_helicase_interacting_protein_1	AAA/AAA_assoc_2/MgsA_C/
TrH2_TrispH2_001483	plum2	0.565	1_acylglycerol_3_phosphate_O_acyltransferase_5	Acyltransferase/Acyltransf_C/
TrH2_TrispH2_000728	plum2	0.561		
TrH2_TrispH2_008190	plum2	0.56	Suv3_like_RNA_helicase	Suv3_N/Helicase_C/Suv3_C_1/SUV3_C/
TrH2_hyp_clust8104	plum2	0.557		GST_N_2/GST_C_2/
TrH2_TrispH2_004871	plum2	0.551	AVL9_cell_migration_associated	Avl9/
TrH2_TrispH2_005204	plum2	0.549	sirtuin_3	SIR2/
TrH2_TrispH2_004682	plum2	0.546	TBC1_domain_family_member_24	RabGAP-TBC/TLD/
TrH2_TrispH2_010486	plum2	0.545	BHLHA15/BHLHE22/BHLHE23/OLIG1/OLIG2/OLIG3	HLH/
TrH2_TrispH2_002520	plum2	0.539	islet_cell_autoantigen_1	Arfaptin/ICA69/
TrH2_TrispH2_006679	plum2	0.527	adhesion_G_protein_coupled_receptor_L3	7tm_2/
TrH2_orphan_1493	plum2	0.526	NA	NA
TrH2_TrispH2_007485	plum2	0.526	cystathionine_beta_synthase_like	PALP/
TrH2_TrispH2_011336	plum2	0.514	calcium_sensing_receptor	ANF_receptor/NCD3G/7tm_3/
TrH2_TrispH2_010938	plum2	0.512	solute_carrier_family_52_member_3	DUF1011/
TrH2_TrispH2_010928	plum2	0.507		Sel1/Sel1/Sel1/Sel1/Sel1/Sel1/Sel1/
TrH2_TrispH2_005471	plum2	0.505	metaxin_1	Tom37/GST_C_6/
TrH2_TrispH2_010459	plum2	0.503	aconitase_2	Aconitase/Aconitase_C/
TrH2_TrispH2_001131	plum2	0.501	electron_transfer_flavoprotein_dehydrogenase	NAD_binding_8/ETF_QO/
TrH2_TrispH2_006010	plum2	0.501	ECSIT_signaling_integrator	ECSIT/ECSIT_C/
TrH2_TrispH2_006645	lightcyan1	0.917	complement_C1q_binding_protein	MAM33/
TrH2_TrispH2_005419	lightcyan1	0.874	prohibitin_2	Band_7/
TrH2_TrispH2_004804	lightcyan1	0.874	heat_shock_protein_family_E_Hsp10_member_1	Cpn10/
TrH2_TrispH2_006196	lightcyan1	0.861	nucleophosmin_1	Nucleoplasmin/NPM1-C/
TrH2_TrispH2_004803	lightcyan1	0.858	heat_shock_protein_family_D_Hsp60_member_1	Cpn60_TCP1/
TrH2_TrispH2_011124	lightcyan1	0.857		
TrH2_TrispH2_008962	lightcyan1	0.856	TNF_receptor_associated_protein_1	HATPase_c/HSP90/
TrH2_TrispH2_002391	lightcyan1	0.85		Methyltransf_11/
TrH2_TrispH2_006818	lightcyan1	0.842	SERPINE1_mRNA_binding_protein_1	HABP4_PAI-RBP1/
TrH2_TrispH2_000912	lightcyan1	0.84	protein_arginine_methyltransferase_1	Methyltransf_25/
TrH2_TrispH2_001761	lightcyan1	0.819	peroxiredoxin_2	AhpC-TSA/1-cysPrx_C/
TrH2_TrispH2_005504	lightcyan1	0.803	translocase_of_inner_mitochondrial_membrane_8A	zf-Tim10_DDP/
TrH2_TrispH2_002977	lightcyan1	0.798	proliferation_associated_2G4	Peptidase_M24/
TrH2_TrispH2_006667	lightcyan1	0.781	retinol_dehydrogenase_14	adh_short/
TrH2_TrispH2_009348	lightcyan1	0.781	peptidase_mitochondrial_processing_subunit_alpha	Peptidase_M16/Peptidase_M16_C/
TrH2_TrispH2_000445	lightcyan1	0.774	like_UBTF/UBTFL1	HMG_box_2/
TrH2_TrispH2_009087	lightcyan1	0.762	leucine_rich_pentatricopeptide_repeat_containing	PPR_3/PPR_3/PPR/PPR/PPR/
TrH2_TrispH2_001592	lightcyan1	0.761	pseudouridine_synthase_7	TruD/
TrH2_TrispH2_005050	lightcyan1	0.758	translocase_of_outer_mitochondrial_membrane_20	MAS20/
TrH2_TrispH2_003830	lightcyan1	0.758	dehydrogenase_reductase_1	adh_short/
TrH2_TrispH2_001031	lightcyan1	0.758	melanotransferrin	Transferrin/Transferrin/
TrH2_TrispH2_000146	lightcyan1	0.756	ATP_synthase_membrane_subunit_c_locus_2	ATP-synt_C/
TrH2_TrispH2_002287	lightcyan1	0.752	HIG1_hypoxia_inducible_domain_family_member_1C	HIG_1_N/
TrH2_TrispH2_009380	lightcyan1	0.749	peptidylprolyl_isomerase_F	Pro_isomerase/
TrH2_TrispH2_010256	lightcyan1	0.742	hydroxysteroid_17_beta_dehydrogenase_12	adh_short/
TrH2_TrispH2_001857	lightcyan1	0.741	ferredoxin_1	Fer2/
TrH2_TrispH2_001855	lightcyan1	0.737	translocase_of_inner_mitochondrial_membrane_13	zf-Tim10_DDP/
TrH2_TrispH2_002155	lightcyan1	0.736	failed_axon_connections_homolog_metaxin_like_GST_domain_containing	GST_N_4/GST_C_6/
TrH2_TrispH2_005931	lightcyan1	0.734	Tu_translation_elongation_factor_mitochondrial	GTP_EFTU/GTP_EFTU_D2/GTP_EFTU_D3/
TrH2_TrispH2_001885	lightcyan1	0.73	mitochondrial_ribosomal_protein_S9	Ribosomal_S9/
TrH2_TrispH2_002064	lightcyan1	0.725	failed_axon_connections_homolog_metaxin_like_GST_domain_containing	GST_N_4/GST_C_6/
TrH2_TrispH2_004272	lightcyan1	0.724		GST_N_2/GST_C_2/
TrH2_TrispH2_008577	lightcyan1	0.718	translocase_of_outer_mitochondrial_membrane_7	Tom7/
TrH2_TrispH2_000475	lightcyan1	0.716	hematopoietic_prostaglandin_D_synthase	GST_N/GST_C_3/
TrH2_TrispH2_011008	lightcyan1	0.708		DUF4538/
TrH2_TrispH2_006942	lightcyan1	0.703	NME_NM23_nucleoside_diphosphate_kinase_1	NDK/
TrH2_TrispH2_002670	lightcyan1	0.701	testis_expressed_264_ER_phagy_receptor	
TrH2_TrispH2_008568	lightcyan1	0.699	eukaryotic_translation_elongation_factor_1_delta	EF1_GNE/
TrH2_TrispH2_005316	lightcyan1	0.696	basic_transcription_factor_3_like_4	NAC/
TrH2_TrispH2_009177	lightcyan1	0.685	androgen_induced_1	Far-17a_AIG1/
TrH2_TrispH2_007836	lightcyan1	0.685	chaperonin_containing_TCP1_subunit_7	Cpn60_TCP1/
TrH2_TrispH2_006700	lightcyan1	0.683	alcohol_dehydrogenase_5_class_III_chi_polypeptide	ADH_N/ADH_zinc_N/
TrH2_TrispH2_011421	lightcyan1	0.682	N_alpha_acetyltransferase_50_NatE_catalytic_subunit	Acetyltransf_1/
TrH2_TrispH2_010909	lightcyan1	0.679		JHY/
TrH2_TrispH2_000999	lightcyan1	0.673	mitochondrial_ribosomal_protein_L14	Ribosomal_L14/
TrH2_TrispH2_007431	lightcyan1	0.673	nucleolin	RRM_1/RRM_1/
TrH2_TrispH2_001250	lightcyan1	0.669	chaperonin_containing_TCP1_subunit_3	Cpn60_TCP1/
TrH2_TrispH2_004757	lightcyan1	0.654	TAM41_mitochondrial_translocator_assembly_and_maintenance_homolog	Tam41_Mmp37/
TrH2_TrispH2_004592	lightcyan1	0.65	YBX1/YBX2/YBX3	CSD/
TrH2_TrispH2_009303	lightcyan1	0.638	eukaryotic_translation_initiation_factor_3_subunit_D	eIF-3_zeta/
TrH2_TrispH2_008725	lightcyan1	0.632	folate_receptor_gamma	Folate_rec/
TrH2_TrispH2_001365	lightcyan1	0.63	glutaryl_CoA_dehydrogenase	Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
TrH2_TrispH2_008970	lightcyan1	0.63		Pam17/
TrH2_TrispH2_004518	lightcyan1	0.628	ubiquitin_specific_peptidase_14	ubiquitin/UCH/
TrH2_TrispH2_008378	lightcyan1	0.624	NADH_ubiquinone_oxidoreductase_complex_assembly_factor_5	Methyltransf_11/
TrH2_TrispH2_009435	lightcyan1	0.623	kynurenine_aminotransferase_3	Aminotran_1_2/
TrH2_TrispH2_010645	lightcyan1	0.622	fibrillarin	Fibrillarin/
TrH2_TrispH2_005223	lightcyan1	0.62	FKBP_prolyl_isomerase_4	FKBP_C/FKBP_C/
TrH2_TrispH2_000621	lightcyan1	0.62	dihydrolipoamide_branched_chain_transacylase_E2	Biotin_lipoyl/E3_binding/2-oxoacid_dh/
TrH2_TrispH2_008646	lightcyan1	0.617	chaperonin_containing_TCP1_subunit_6A	Cpn60_TCP1/
TrH2_TrispH2_008262	lightcyan1	0.614	MYG1_exonuclease	UPF0160/
TrH2_TrispH2_001786	lightcyan1	0.614	mitochondrial_ribosomal_protein_S25	L51_S25_CI-B8/
TrH2_TrispH2_007659	lightcyan1	0.612	mitochondrial_ribosomal_protein_L11	Ribosomal_L11_N/Ribosomal_L11/
TrH2_TrispH2_010384	lightcyan1	0.606	transaldolase_1	TAL_FSA/
TrH2_TrispH2_005299	lightcyan1	0.602	pentatricopeptide_repeat_domain_3	
TrH2_TrispH2_006433	lightcyan1	0.601	sulfide_quinone_oxidoreductase	Pyr_redox_2/
TrH2_TrispH2_008553	lightcyan1	0.598	t_complex_1	Cpn60_TCP1/
TrH2_TrispH2_002950	lightcyan1	0.597	NOP58_ribonucleoprotein	NOP5NT/Nop/
TrH2_TrispH2_003666	lightcyan1	0.594	valosin_containing_protein	CDC48_N/CDC48_2/AAA/AAA_lid_3/AAA/AAA_lid_3/Vps4_C/DUF2368/
TrH2_TrispH2_001419	lightcyan1	0.594	ATP_synthase_mitochondrial_F1_complex_assembly_factor_1	ATP11/
TrH2_TrispH2_010371	lightcyan1	0.591	small_RNA_binding_exonuclease_protection_factor_La	La/RRM_1/RRM_3/
TrH2_TrispH2_004441	lightcyan1	0.587	mitochondrial_ribosomal_protein_L38	PBP/
TrH2_TrispH2_011152	lightcyan1	0.583	1_aminocyclopropane_1_carboxylate_synthase_homolog_inactive	Aminotran_1_2/
TrH2_TrispH2_005318	lightcyan1	0.578	novel_protein	HhH-GPD/HHH/EndIII_4Fe-2S/NUDIX_4/
TrH2_TrispH2_005207	lightcyan1	0.575	dyskerin_pseudouridine_synthase_1	DKCLD/TruB_N/TruB_C_2/PUA/
TrH2_TrispH2_004655	lightcyan1	0.573		Fumerase/Fumerase_C/
TrH2_TrispH2_001548	lightcyan1	0.571		Mgm101p/
TrH2_TrispH2_002063	lightcyan1	0.57	failed_axon_connections_homolog_metaxin_like_GST_domain_containing	GST_N_4/GST_C_6/
TrH2_TrispH2_000825	lightcyan1	0.569	acidic_nuclear_phosphoprotein_32_family_member_A	LRR_9/
TrH2_TrispH2_010069	lightcyan1	0.569	mitochondrial_ribosomal_protein_L58	RF-1/
TrH2_TrispH2_002173	lightcyan1	0.566	death_associated_protein_3	DAP3/
TrH2_TrispH2_009921	lightcyan1	0.564	transmembrane_protein_223	TMEM223/
TrH2_TrispH2_007561	lightcyan1	0.559	mitochondrial_ribosomal_protein_L17	Ribosomal_L17/
TrH2_TrispH2_004538	lightcyan1	0.555	NOP2_nucleolar_protein	Methyltr_RsmF_N/Methyltr_RsmB-F/
TrH2_TrispH2_009477	lightcyan1	0.552		
TrH2_TrispH2_008663	lightcyan1	0.551	protein_arginine_methyltransferase_3	Methyltransf_25/
TrH2_TrispH2_007651	lightcyan1	0.547	chaperonin_containing_TCP1_subunit_4	Cpn60_TCP1/
TrH2_TrispH2_007693	lightcyan1	0.542	aldo_keto_reductase_family_1_member_A1	Aldo_ket_red/
TrH2_TrispH2_009290	lightcyan1	0.542	eukaryotic_translation_initiation_factor_3_subunit_B	eIF2A/
TrH2_TrispH2_001996	lightcyan1	0.537	pescadillo_ribosomal_biogenesis_factor_1	Pescadillo_N/BRCT_2/
TrH2_TrispH2_005657	lightcyan1	0.535	par_6_family_cell_polarity_regulator_gamma	PB1/PDZ/
TrH2_TrispH2_006782	lightcyan1	0.535	aldo_keto_reductase_family_1_member_A1	Aldo_ket_red/
TrH2_TrispH2_005486	lightcyan1	0.534	novel_transcript	zf-Tim10_DDP/
TrH2_TrispH2_004302	lightcyan1	0.524		
TrH2_TrispH2_006398	lightcyan1	0.522	peptidyl_tRNA_hydrolase_2	PTH2/
TrH2_TrispH2_010469	lightcyan1	0.519	inorganic_pyrophosphatase_1	Pyrophosphatase/
TrH2_TrispH2_006422	lightcyan1	0.518	lipoyltransferase_1	Lip_prot_lig_C/
TrH2_TrispH2_005958	lightcyan1	0.517	nudix_hydrolase_19	
TrH2_TrispH2_006756	lightcyan1	0.515	M_phase_phosphoprotein_10	Mpp10/
TrH2_TrispH2_009317	lightcyan1	0.509		
TrH2_TrispH2_005704	lightcyan1	0.508	CDGSH_iron_sulfur_domain_3	zf-CDGSH/
TrH2_TrispH2_010517	lightcyan1	0.506	apurinic_apyrimidinic_endodeoxyribonuclease_1	Exo_endo_phos/
TrH2_TrispH2_006662	lightcyan1	0.503	NADH_ubiquinone_oxidoreductase_complex_assembly_factor_1	CIA30/
TrH2_TrispH2_010501	lightcyan1	0.502	proteasomal_ATPase_associated_factor_1	WD40/WD40/WD40/
TrH2_orphan_397	darkred	0.925	NA	NA
TrH2_orphan_781	darkred	0.913	NA	NA
TrH2_TrispH2_000628	darkred	0.889	bone_morphogenetic_protein_6	TGF_beta/
TrH2_TrispH2_009910	darkred	0.819	sodium_voltage_gated_channel_alpha_subunit_10	
TrH2_TrispH2_002376	darkred	0.818	mitochondrial_ribosomal_protein_L40	MRP-L28/
TrH2_TrispH2_002343	darkred	0.812		
TrH2_TrispH2_007047	darkred	0.809	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
TrH2_TrispH2_010796	darkred	0.809	mitochondrial_translational_release_factor_1_like	PCRF/RF-1/
TrH2_TrispH2_010349	darkred	0.808	piggyBac_transposable_element_derived_4	DDE_Tnp_1_7/
TrH2_orphan_234	darkred	0.804	NA	NA
TrH2_TrispH2_009789	darkred	0.796	MRT4_homolog_ribosome_maturation_factor	Ribosomal_L10/RL10P_insert/
TrH2_orphan_1084	darkred	0.795	NA	NA
TrH2_orphan_1569	darkred	0.776	NA	NA
TrH2_orphan_1081	darkred	0.772	NA	NA
TrH2_TrispH2_011235	darkred	0.768		DAO/
TrH2_orphan_870	darkred	0.768	NA	NA
TrH2_TrispH2_007173	darkred	0.747	post_GPI_attachment_to_proteins_GalNAc_transferase_4	
TrH2_TrispH2_008429	darkred	0.745	myosin_heavy_chain_10	Myosin_N/
TrH2_TrispH2_008315	darkred	0.743	cullin_associated_and_neddylation_dissociated_1	TIP120/
TrH2_TrispH2_007763	darkred	0.741	solute_carrier_family_35_member_D2	TPT/
TrH2_TrispH2_010055	darkred	0.741	GTP_binding_protein_3_mitochondrial	TrmE_N/MnmE_helical/MMR_HSR1/
TrH2_TrispH2_010361	darkred	0.738	retinol_dehydrogenase_11	adh_short/
TrH2_orphan_623	darkred	0.738	NA	NA
TrH2_TrispH2_004153	darkred	0.733	heparan_sulfate_2_O_sulfotransferase_1	Sulfotransfer_2/
TrH2_TrispH2_009495	darkred	0.726	extra_spindle_pole_bodies_like_1_separase	Peptidase_C50/
TrH2_TrispH2_010538	darkred	0.725	kinesin_family_member_13A	
TrH2_TrispH2_009961	darkred	0.721	mitochondrial_ribosomal_protein_L28	Ribosomal_L28/
TrH2_TrispH2_008737	darkred	0.719	kelch_domain_containing_3	Kelch_4/Kelch_4/Kelch_4/
TrH2_TrispH2_005839	darkred	0.714	mutS_homolog_2	MutS_I/MutS_II/MutS_III/MutS_IV/MutS_V/
TrH2_TrispH2_010779	darkred	0.713	aldo_keto_reductase_family_1_member_A1	Aldo_ket_red/
TrH2_TrispH2_007563	darkred	0.712	hypoxia_up_regulated_1	HSP70/
TrH2_TrispH2_006259	darkred	0.712		AOX/
TrH2_TrispH2_000637	darkred	0.706		
TrH2_TrispH2_002920	darkred	0.704		
TrH2_TrispH2_004256	darkred	0.699	cytochrome_P450_family_24_subfamily_A_member_1	p450/
TrH2_TrispH2_002356	darkred	0.698	ubiquitin_specific_peptidase_36	UCH/
TrH2_TrispH2_010642	darkred	0.684	solute_carrier_family_13_member_5	Na_sulph_symp/
TrH2_TrispH2_005964	darkred	0.682		TPR_12/TPR_10/
TrH2_TrispH2_004570	darkred	0.679	fucosyltransferase_9	Glyco_tran_10_N/Glyco_transf_10/
TrH2_orphan_1396	darkred	0.676	NA	NA
TrH2_TrispH2_002966	darkred	0.676		
TrH2_TrispH2_010905	darkred	0.667	centrosomal_AT_AC_splicing_factor	CCDC84/
TrH2_TrispH2_006403	darkred	0.667	N_acetylglucosamine_1_phosphate_transferase_subunits_alpha_and_beta	Stealth_CR1/Stealth_CR2/Notch/Notch/DMAP_binding/Stealth_CR3/Stealth_CR4/
TrH2_TrispH2_002723	darkred	0.664	pentatricopeptide_repeat_domain_1	PPR_2/PPR_2/PPR_3/
TrH2_TrispH2_008801	darkred	0.664	origin_recognition_complex_subunit_4	AAA/ORC4_C/
TrH2_TrispH2_004848	darkred	0.663	NEUROD1/NEUROD2/NEUROD4/NEUROD6	HLH/
TrH2_orphan_347	darkred	0.663	NA	NA
