gene	gene_module	membership_score	gene_name	pfam
Hhon_g00392.t1	turquoise	0.886	NADH_ubiquinone_oxidoreductase_subunit_A8	
Hhon_g05674.t1	turquoise	0.886	NADH_ubiquinone_oxidoreductase_subunit_A5	ETC_C1_NDUFA5/
Hhon_g06819.t1	turquoise	0.886	sterol_C5_desaturase	FA_hydroxylase/
Hhon_g01478.t1	turquoise	0.886	NADH_ubiquinone_oxidoreductase_subunit_AB1	PP-binding/
Hhon_g04357.t1	turquoise	0.885	dihydrolipoamide_dehydrogenase	Pyr_redox_2/Pyr_redox_dim/
Hhon_g03163.t1	turquoise	0.884		Dyp_perox/
Hhon_g00544.t1	turquoise	0.884	solute_carrier_family_4_member_2	Band_3_cyto/HCO3_cotransp/
Hhon_g07535.t1	turquoise	0.884		
Hhon_g00400.t1	turquoise	0.883	solute_carrier_family_34_member_2	Na_Pi_cotrans/Na_Pi_cotrans/
Hhon_g05449.t1	turquoise	0.883	acetyl_CoA_acetyltransferase_1	Thiolase_N/Thiolase_C/
Hhon_g07406.t1	turquoise	0.883	dipeptidyl_peptidase_4	DPPIV_N/Peptidase_S9/
Hhon_g04513.t1	turquoise	0.882	NADH_ubiquinone_oxidoreductase_core_subunit_S3	Complex1_30kDa/
Hhon_g09799.t1	turquoise	0.881	neuropeptide_FF_receptor_2	7tm_1/
Hhon_g10605.t1	turquoise	0.881		Abhydrolase_1/
Hhon_g04899.t1	turquoise	0.88		Ammonium_transp/
Hhon_g11408.t1	turquoise	0.88	ubiquinol_cytochrome_c_reductase_binding_protein	UCR_14kD/
Hhon_g10613.t1	turquoise	0.879		Sel1/Sel1/Sel1/Sel1/Sel1/Sel1/Sel1/
Hhon_g03149.t1	turquoise	0.878	tetraspanin_11	Tetraspanin/
Hhon_g08093.t1	turquoise	0.876	fucosyltransferase_6	Glyco_tran_10_N/Glyco_transf_10/
Hhon_g00428.t1	turquoise	0.876	tetraspanin_31	Tetraspanin/
Hhon_g08865.t1	turquoise	0.876	3_hydroxyisobutyrate_dehydrogenase	NAD_binding_2/NAD_binding_11/
Hhon_g06123.t1	turquoise	0.875	peptidase_mitochondrial_processing_subunit_beta	Peptidase_M16/Peptidase_M16_C/
Hhon_g00079.t1	turquoise	0.875	acid_sensing_ion_channel_subunit_1	ASC/
Hhon_g01538.t1	turquoise	0.875	superoxide_dismutase_2	Sod_Fe_N/Sod_Fe_C/
Hhon_g06619.t1	turquoise	0.874		CD20/
Hhon_g08893.t1	turquoise	0.874	poly_rC_binding_protein_3	KH_1/KH_1/
Hhon_g10094.t1	turquoise	0.874	phospholipid_scramblase_1	Scramblase/
Hhon_g05128.t1	turquoise	0.874		
Hhon_g05803.t1	turquoise	0.873		
Hhon_g01634.t1	turquoise	0.873	diacylglycerol_lipase_beta	Lipase_3/
Hhon_g05546.t1	turquoise	0.873	solute_carrier_family_35_member_F3	EamA/
Hhon_g02217.t1	turquoise	0.873	serine_hydrolase_like_2	Abhydrolase_1/
Hhon_g06591.t1	turquoise	0.871		
Hhon_g10851.t1	turquoise	0.87	mitochondrial_ribosomal_protein_L12	Ribosomal_L12_N/Ribosomal_L12/
Hhon_orphan_534	turquoise	0.87	NA	NA
Hhon_g10816.t1	turquoise	0.87		
Hhon_g01471.t1	turquoise	0.869	ubiquinol_cytochrome_c_reductase_core_protein_2	Peptidase_M16/Peptidase_M16_C/
Hhon_g06263.t1	turquoise	0.869	NADH_ubiquinone_oxidoreductase_subunit_A1	MWFE/
Hhon_g09917.t1	turquoise	0.869	methyltransferase_like_25	Methyltransf_32/
Hhon_g10991.t1	turquoise	0.868	ATPase_H_transporting_V0_subunit_c	ATP-synt_C/ATP-synt_C/
Hhon_g00332.t1	turquoise	0.868	cytochrome_c_oxidase_subunit_6B1	COX6B/
Hhon_g02951.t1	turquoise	0.867	TFAP4	HLH/
Hhon_g07643.t1	turquoise	0.867	cytochrome_P450_family_3_subfamily_A_member_5	p450/p450/
Hhon_g04719.t1	turquoise	0.867	cytochrome_c_oxidase_subunit_5A	COX5A/
Hhon_g01156.t1	turquoise	0.867	neuroligin_4_X_linked	COesterase/
Hhon_g05815.t1	turquoise	0.867		COX7a/
Hhon_orphan_329	turquoise	0.867	NA	NA
Hhon_g10310.t1	turquoise	0.866	translocase_of_inner_mitochondrial_membrane_8A	zf-Tim10_DDP/
Hhon_g00668.t1	turquoise	0.866		NDUF_B8/
Hhon_g01440.t1	turquoise	0.865	synaptogyrin_1	MARVEL/
Hhon_g05758.t1	turquoise	0.864	NADH_ubiquinone_oxidoreductase_subunit_A13	GRIM-19/
Hhon_g09453.t1	turquoise	0.863		
Hhon_g02219.t1	turquoise	0.863		
Hhon_g07145.t1	turquoise	0.86	solute_carrier_family_26_member_11	Sulfate_transp/STAS/
Hhon_g01694.t1	turquoise	0.859		Ank_2/
Hhon_g03094.t1	turquoise	0.859	calcineurin_like_EF_hand_protein_1	EF-hand_7/
Hhon_g05550.t1	turquoise	0.858		
Hhon_g10431.t1	turquoise	0.858	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
Hhon_g08656.t1	turquoise	0.851		
Hhon_orphan_1642	turquoise	0.851	NA	NA
Hhon_g09841.t1	turquoise	0.851	acyl_CoA_dehydrogenase_short_branched_chain	Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
Hhon_g09308.t1	turquoise	0.851	retinol_dehydrogenase_8	adh_short/
Hhon_g08445.t1	turquoise	0.851	NADH_ubiquinone_oxidoreductase_subunit_A6	Complex1_LYR/
Hhon_g08629.t1	turquoise	0.851	NEUROD1/NEUROD2/NEUROD4/NEUROD6	HLH/
Hhon_orphan_459	turquoise	0.851	NA	NA
Hhon_g00725.t1	turquoise	0.851	pleckstrin_homology_domain_containing_A8	GLTP/
Hhon_g06651.t1	turquoise	0.849	adenosine_kinase	PfkB/
Hhon_g02925.t1	turquoise	0.849	enoyl_CoA_hydratase_short_chain_1	ECH_1/
Hhon_g10671.t1	turquoise	0.848	dehydrogenase_reductase_4	adh_short_C2/
Hhon_g07819.t1	turquoise	0.848	syntaxin_1B	Syntaxin/SNARE/
Hhon_orphan_902	turquoise	0.848	NA	NA
Hhon_orphan_1790	turquoise	0.847	NA	NA
Hhon_g01065.t1	turquoise	0.847	acyl_CoA_oxidase_1	Acyl-CoA_ox_N/Acyl-CoA_dh_M/ACOX/
Hhon_g07061.t1	turquoise	0.847	cytochrome_c_somatic	Cytochrom_C/
Hhon_orphan_2186	turquoise	0.846	NA	NA
Hhon_g02539.t1	turquoise	0.845	adenosylhomocysteinase	AdoHcyase/AdoHcyase_NAD/
Hhon_g02156.t1	turquoise	0.843	transmembrane_protein_243	DUF2678/
Hhon_g00914.t1	turquoise	0.842	BHLHA15/BHLHE22/BHLHE23/OLIG1/OLIG2/OLIG3	HLH/
Hhon_g06836.t1	turquoise	0.841	solute_carrier_family_7_member_14	AA_permease_2/AA_permease_C/
Hhon_g03189.t1	turquoise	0.841	vesicle_amine_transport_1	ADH_N/ADH_zinc_N/
Hhon_g01988.t1	turquoise	0.84	glutamate_ionotropic_receptor_kainate_type_subunit_1	ANF_receptor/Lig_chan-Glu_bd/Lig_chan/
Hhon_g09914.t1	turquoise	0.84	ankyrin_repeat_domain_66	Ank_4/Ank_2/Ank_5/
Hhon_g07017.t1	turquoise	0.838		Coiled-coil_56/
Hhon_g10373.t1	turquoise	0.837		PHP/
Hhon_g10095.t1	turquoise	0.837		
Hhon_g10342.t1	turquoise	0.837	mitochondrial_ribosomal_protein_L47	MRP-L47/
Hhon_g04827.t1	turquoise	0.837	isocitrate_dehydrogenase_NADP_1	Iso_dh/
Hhon_g07744.t1	turquoise	0.836	vesicle_amine_transport_1	ADH_N/ADH_zinc_N_2/
Hhon_g08176.t1	turquoise	0.836	solute_carrier_family_35_member_F3	
Hhon_g06589.t1	turquoise	0.835		
Hhon_g07755.t1	turquoise	0.835		
Hhon_g06213.t1	turquoise	0.835	scavenger_receptor_family_member_expressed_on_T_cells_1	SRCR/MAM/
Hhon_g05930.t1	turquoise	0.835	proline_rich_coiled_coil_1	
Hhon_g04919.t1	turquoise	0.834	Rh_family_B_glycoprotein	Ammonium_transp/
Hhon_g04180.t1	turquoise	0.834	neuropeptide_FF_receptor_2	7tm_1/
Hhon_g02573.t1	turquoise	0.834	TBC1_domain_family_member_20	RabGAP-TBC/
Hhon_g00427.t1	turquoise	0.834	tetraspanin_31	Tetraspanin/
Hhon_g07316.t1	turquoise	0.834	jumonji_domain_containing_6_arginine_demethylase_and_lysine_hydroxylase	Cupin_8/
Hhon_g06708.t1	turquoise	0.833		
Hhon_g09268.t1	turquoise	0.833	solute_carrier_family_6_member_13	SNF/
Hhon_g02563.t1	turquoise	0.833		Epimerase/
Hhon_g00398.t1	turquoise	0.832	5_hydroxytryptamine_receptor_1D	7tm_1/
Hhon_g06934.t1	turquoise	0.831	ankyrin_repeat_and_SOCS_box_containing_5	Ank_2/Ank_2/Ank/
Hhon_g02575.t1	turquoise	0.83	NADH_ubiquinone_oxidoreductase_subunit_S6	zf-CHCC/
Hhon_g10162.t1	turquoise	0.83		Acetyltransf_1/Acetyltransf_18/
Hhon_g09760.t1	turquoise	0.83	leishmanolysin_like_peptidase	Peptidase_M8/Peptidase_M8/
Hhon_g05730.t1	turquoise	0.829	NADH_ubiquinone_oxidoreductase_subunit_A9	NAD_binding_10/
Hhon_g02785.t1	turquoise	0.828	novel_transcript_readthrough_between_UQCR11_and_MBD3	UCR_6-4kD/
Hhon_g04446.t1	turquoise	0.827	glutamic_oxaloacetic_transaminase_2	Aminotran_1_2/
Hhon_orphan_183	turquoise	0.826	NA	NA
Hhon_orphan_546	turquoise	0.826	NA	NA
Hhon_g07296.t1	turquoise	0.826	esterase_D	Esterase/
Hhon_g09931.t1	turquoise	0.826	solute_carrier_family_29_member_3	Nucleoside_tran/
Hhon_g08728.t1	turquoise	0.826	mitochondrial_ribosomal_protein_S18B	Ribosomal_S18/
Hhon_g07941.t1	turquoise	0.825	dehydrogenase_reductase_4	adh_short_C2/
Hhon_g02645.t1	turquoise	0.825		DUF872/
Hhon_g07612.t1	turquoise	0.825	sigma_non_opioid_intracellular_receptor_1	ERG2_Sigma1R/
Hhon_g02890.t1	turquoise	0.825	melanotransferrin	Transferrin/Transferrin/
Hhon_g02154.t1	turquoise	0.824		
Hhon_g06769.t1	turquoise	0.824	solute_carrier_family_25_member_1	Mito_carr/Mito_carr/Mito_carr/
Hhon_g06059.t1	turquoise	0.824	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/Ank_2/Ank_3/Ank_2/Ank_2/Ank_2/
Hhon_g06190.t1	turquoise	0.824	solute_carrier_organic_anion_transporter_family_member_4A1	OATP/Kazal_2/
Hhon_g05446.t1	turquoise	0.824	mitochondrial_pyruvate_carrier_2	MPC/
Hhon_g02267.t1	turquoise	0.823	myoferlin	C2/C2/FerI/C2/FerB/C2/C2/C2/Ferlin_C/
Hhon_g06771.t1	turquoise	0.821	mitochondrial_ribosomal_protein_L44	Ribonucleas_3_3/
Hhon_g00588.t1	turquoise	0.821	family_with_sequence_similarity_78_member_A	
Hhon_g00252.t1	turquoise	0.821		
Hhon_g00071.t1	turquoise	0.82		Tim17/
Hhon_g03197.t1	turquoise	0.82	peroxiredoxin_5	Redoxin/
Hhon_g03579.t1	turquoise	0.818	cellular_repressor_of_E1A_stimulated_genes_2	Pyrid_oxidase_2/
Hhon_g11614.t1	turquoise	0.818	apoptotic_peptidase_activating_factor_1	NB-ARC/APAF1_C/
Hhon_g00250.t1	turquoise	0.818	adhesion_G_protein_coupled_receptor_D1	7tm_2/
Hhon_g07955.t1	turquoise	0.817	failed_axon_connections_homolog_metaxin_like_GST_domain_containing	GST_N_4/GST_C_6/
Hhon_g04649.t1	turquoise	0.816		
Hhon_g08097.t1	turquoise	0.815	glutamyl_aminopeptidase	Peptidase_M1_N/Peptidase_M1/ERAP1_C/
Hhon_g05867.t1	turquoise	0.815	ferredoxin_1	Fer2/
Hhon_orphan_384	turquoise	0.814	NA	NA
Hhon_g00890.t1	turquoise	0.814	adhesion_G_protein_coupled_receptor_L3	7tm_2/
Hhon_g07752.t1	turquoise	0.814	solute_carrier_family_9_member_A2	Na_H_Exchanger/
Hhon_g07639.t1	turquoise	0.814	enoyl_CoA_hydratase_1	ECH_1/
Hhon_g09866.t1	turquoise	0.813		
Hhon_g01150.t1	turquoise	0.812	butyrylcholinesterase	COesterase/
Hhon_g04356.t1	turquoise	0.812	isocitrate_dehydrogenase_NAD_3_non_catalytic_subunit_gamma	Iso_dh/
Hhon_g11613.t1	turquoise	0.812		CARD/
Hhon_g10167.t1	turquoise	0.811	enoyl_CoA_delta_isomerase_1	ECH_1/
Hhon_g03275.t1	turquoise	0.811	hematopoietic_prostaglandin_D_synthase	GST_N/GST_C_3/
Hhon_g05677.t1	turquoise	0.81	NADH_ubiquinone_oxidoreductase_subunit_A12	NDUFA12/
Hhon_g06725.t1	turquoise	0.81	beta_secretase_1	Asp/
Hhon_orphan_761	turquoise	0.809	NA	NA
Hhon_g05448.t1	turquoise	0.809		
Hhon_g06854.t1	turquoise	0.808	NADH_ubiquinone_oxidoreductase_subunit_B7	NDUF_B7/
Hhon_g05395.t1	turquoise	0.808	pyruvate_dehydrogenase_E1_subunit_alpha_1	E1_dh/
Hhon_g01729.t1	turquoise	0.807	mitochondrial_ribosomal_protein_L20	Ribosomal_L20/
Hhon_g07753.t1	turquoise	0.807	solute_carrier_family_9_member_A2	Na_H_Exchanger/
Hhon_g09431.t1	turquoise	0.807	SEL1L_adaptor_subunit_of_ERAD_E3_ubiquitin_ligase	Sel1/Sel1/Sel1/Sel1/Sel1/Sel1/Sel1/
Hhon_g01243.t1	turquoise	0.806	xenotropic_and_polytropic_retrovirus_receptor_1	SPX/SPX/EXS/
Hhon_g10702.t1	turquoise	0.805	lysyl_oxidase_like_4	SRCR/
Hhon_g02971.t1	turquoise	0.805	glutamate_ionotropic_receptor_kainate_type_subunit_1	ANF_receptor/Lig_chan-Glu_bd/Lig_chan/
Hhon_g05082.t1	turquoise	0.804		
Hhon_g00882.t1	turquoise	0.803		
Hhon_g10793.t1	turquoise	0.803	HECT_and_RLD_domain_containing_E3_ubiquitin_protein_ligase_2	RCC1/RCC1/RCC1/RCC1/RCC1/
Hhon_g10490.t1	turquoise	0.802		
Hhon_g05457.t1	turquoise	0.801	ubiquitin_fold_modifier_1	Ufm1/
Hhon_g06833.t1	turquoise	0.801	DS_cell_adhesion_molecule	I-set/I-set/Ig_3/fn3/fn3/fn3/
Hhon_g05214.t1	turquoise	0.8	peroxiredoxin_1	AhpC-TSA/1-cysPrx_C/
Hhon_g00466.t1	turquoise	0.8	enoyl_CoA_hydratase_short_chain_1	ECH_1/
Hhon_g11875.t1	turquoise	0.8	tubulin_alpha_1c	Tubulin/Tubulin_C/
Hhon_g04770.t1	turquoise	0.8	NDUFA4_mitochondrial_complex_associated	B12D/
Hhon_orphan_2030	turquoise	0.8	NA	NA
Hhon_g06552.t1	turquoise	0.8	mitochondrial_E3_ubiquitin_protein_ligase_1	zf-C3HC4_3/
Hhon_g07747.t1	turquoise	0.798	solute_carrier_family_9_member_A6	Na_H_Exchanger/
Hhon_g06033.t1	turquoise	0.796	cytochrome_b5_type_B	Cyt-b5/
Hhon_g00322.t1	turquoise	0.796	NADH_ubiquinone_oxidoreductase_subunit_B10	NDUFB10/
Hhon_orphan_1562	turquoise	0.796	NA	NA
Hhon_g07838.t1	turquoise	0.796	2_4_dienoyl_CoA_reductase_1	adh_short_C2/
Hhon_g03181.t1	turquoise	0.795	RAP2B_member_of_RAS_oncogene_family	Ras/
Hhon_g06740.t1	turquoise	0.795	electron_transfer_flavoprotein_subunit_beta	ETF/
Hhon_g02692.t1	turquoise	0.794	failed_axon_connections_homolog_metaxin_like_GST_domain_containing	GST_N_4/GST_C_6/
Hhon_g10248.t1	turquoise	0.793	phosphoglycerate_dehydrogenase	2-Hacid_dh/2-Hacid_dh_C/
Hhon_g09080.t1	turquoise	0.793	cytochrome_b5_type_B	Cyt-b5/
Hhon_g00860.t1	turquoise	0.792	quinoid_dihydropteridine_reductase	
Hhon_g00404.t1	turquoise	0.791	methylsterol_monooxygenase_1	FA_hydroxylase/
Hhon_g00111.t1	turquoise	0.791	transmembrane_protein_14C	Tmemb_14/
Hhon_g07196.t1	turquoise	0.79		LMWPc/
Hhon_orphan_106	turquoise	0.787	NA	NA
Hhon_g04341.t1	turquoise	0.786	solute_carrier_family_25_member_20	Mito_carr/Mito_carr/Mito_carr/
Hhon_g03925.t1	turquoise	0.786	arginase_1	Arginase/
Hhon_g03792.t1	turquoise	0.785	translocase_of_outer_mitochondrial_membrane_22	Tom22/
Hhon_g05902.t1	turquoise	0.784	mitochondrial_ribosomal_protein_L15	Ribosomal_L27A/
Hhon_g00058.t1	turquoise	0.783	solute_carrier_family_35_member_E1	TPT/
Hhon_g07957.t1	turquoise	0.783	abhydrolase_domain_containing_3_phospholipase	Abhydrolase_1/
Hhon_g08191.t1	turquoise	0.783	RAB22A_member_RAS_oncogene_family	Ras/
Hhon_g03426.t1	turquoise	0.781	mitochondrial_contact_site_and_cristae_organizing_system_subunit_10	DUF543/
Hhon_g03437.t1	turquoise	0.781	enolase_1	Enolase_N/Enolase_C/
Hhon_g03222.t1	turquoise	0.781	apoptosis_inducing_factor_mitochondria_associated_1	Pyr_redox_2/AIF_C/
Hhon_g07792.t1	turquoise	0.781	solute_carrier_family_25_member_17	Mito_carr/Mito_carr/Mito_carr/
Hhon_g03633.t1	turquoise	0.781	complement_C1q_binding_protein	MAM33/
Hhon_g01069.t1	turquoise	0.78	acyl_CoA_oxidase_1	Acyl-CoA_ox_N/Acyl-CoA_dh_M/ACOX/
Hhon_orphan_36	turquoise	0.78	NA	NA
Hhon_g05609.t1	turquoise	0.78	solute_carrier_family_25_member_43	Mito_carr/Mito_carr/Mito_carr/
Hhon_g02246.t1	turquoise	0.779	acyl_CoA_dehydrogenase_short_branched_chain	Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
Hhon_g07251.t1	turquoise	0.779		
Hhon_orphan_677	turquoise	0.779	NA	NA
Hhon_g02975.t1	turquoise	0.777	family_with_sequence_similarity_162_member_A	DUF1075/
Hhon_g05039.t1	turquoise	0.775	PGAM_family_member_5_mitochondrial_serine_threonine_protein_phosphatase	His_Phos_1/
Hhon_g00498.t1	turquoise	0.775	kelch_like_family_member_6	BTB/BACK/Kelch_1/
