orthogroup	orthogroup_name_Mus	presence_expression	gain_expression	loss_expression	presence_conservation	gain_conservation	loss_conservation	n_presences_sps	is_tfs	is_ion	is_sig	is_neu	is_siggpcr	is_myo	genes_Tadh	genes_TrH2	genes_Hhon	genes_HoiH23	genes_Nvec	genes_Spis	genes_Hvul	genes_Mmus	genes_Dmel	genes_Mlei	genes_Spolac	annot_tfs	annot_ion	annot_sig	annot_neu	annot_siggpcr	annot_myo	pfam_architecture
OG_867	INSM_transcriptional_repressor_1/INSM1/INSM2	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Tadh,TrH2	CniBilPla		4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT61203	TrH2_TrispH2_007654-RA	Hhon_g08007.t1	HoiH23_PlH23_005435-RA			Hvul_g24939_1					zf-C2H2.HG19.0:INSM1/INSM2						,zf-C2H2/
OG_10092	Etv1/ETV1/ETV4/ETV5	HoiH23,Nvec,TrH2	CniBilPla	Bilateria,Hhon,Hvul,Spis,Tadh	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Spolac	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		TrH2_TrispH2_002769-RA		HoiH23_PlH23_001793-RA	Nvec_v1g16815	Spis_XP_022794506_1		Mmus_ENSMUST00000095767				Ets.HG1.9:ETV1/ETV4/ETV5						ETS_PEA3_N/Ets/,Ets/
OG_10429	AC097634.4/FOXP1/FOXP2/FOXP3/FOXP4/Foxp1/Foxp2	Dmel,Hhon,TrH2	CniBilPla	Cnidaria,HoiH23,Mmus,Tadh	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		TrH2_TrispH2_001809-RA	Hhon_g02158.t1	HoiH23_PlH23_002591-RA				Mmus_ENSMUST00000113324,Mmus_ENSMUST00000115474	Dmel_FBtr0304869			Forkhead.HG1.31:AC097634.4/FOXP1/FOXP2/FOXP3/FOXP4						FOXP-CC/Forkhead/
OG_2603	FEZF1/FEZF2;zf-met.HG1.53/ZBTB25;zf-met.HG1.53	Hhon,Tadh,TrH2	Placozoa	HoiH23	Dmel,Hhon,HoiH23,Mmus,Nvec,Spis,Tadh,TrH2	CniBilPla	Hvul	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT7089	TrH2_TrispH2_007749-RA	Hhon_g02945.t1	HoiH23_PlH23_010906-RA	Nvec_v1g230810							zf-C2H2.HG123.0:ZBTB25;zf-met.HG1.53:like:PRDM12,zf-C2H2.HG22.2:FEZF1/FEZF2;zf-met.HG1.53:like:PRDM12						zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2_6/zf-C2H2/
OG_3081	IRF1/IRF2	Hhon,HoiH23,TrH2	Placozoa	Tadh	Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,TrH2	Metazoa	Dmel,Tadh	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		TrH2_TrispH2_009842-RA	Hhon_g04527.t1	HoiH23_PlH23_008602-RA								IRF.HG1.7:IRF1/IRF2						IRF/ZU5/ZU5/,LRR_8/LRR_8/IRF/ZU5/ZU5/
OG_3151	AC105001.2/SOX4/SOX7/SOX8/SOX9/SOX10/SOX11/SOX12/SOX17/SOX18/Sox11/Sox4	Hhon,HoiH23,TrH2	Placozoa	Tadh	Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Dmel,Mlei	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT57974	TrH2_TrispH2_006489-RA	Hhon_g00241.t1	HoiH23_PlH23_006133-RA				Mmus_ENSMUST00000067230,Mmus_ENSMUST00000079063				HMGbox_Sox.HG1.23:AC105001.2/SOX4/SOX7/SOX8/SOX9/SOX10/SOX11/SOX12/SOX17/SOX18						HMG_box/
OG_4234	ZNF148/ZNF740	HoiH23,Tadh,TrH2	Placozoa	Hhon	Hhon,HoiH23,Nvec,Tadh,TrH2	CniBilPla	Bilateria,Hvul,Spis	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT9064	TrH2_TrispH2_007413-RA		HoiH23_PlH23_006716-RA								zf-C2H2.HG10.4:ZNF148/ZNF740						zf-C2H2/zf-C2H2/
OG_6612	ATF4/ATF5	HoiH23,Tadh,TrH2	Placozoa	Hhon	HoiH23,Tadh,TrH2	Placozoa	Hhon	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT63596	TrH2_TrispH2_010821-RA		HoiH23_PlH23_009547-RA								bZIP.HG1.6:ATF4/ATF5						bZIP_1/
OG_7251	like_FERD3L/PTF1A	HoiH23,Tadh,TrH2	Placozoa	Hhon	HoiH23,Tadh,TrH2	Placozoa	Hhon	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT55034	TrH2_TrispH2_005726-RA		HoiH23_PlH23_002459-RA								HLH.HG2.37:like:FERD3L/PTF1A						HLH/
OG_7937	MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NRL	Hhon,HoiH23,TrH2	Placozoa	Tadh	Hhon,HoiH23,Hvul,Nvec,Spis,Tadh,TrH2	CniBilPla	Bilateria	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT52591	TrH2_TrispH2_005631-RA	Hhon_g05306.t1	HoiH23_PlH23_000709-RA								bZIP.HG1.3:MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NRL						bZIP_Maf/
OG_7938	like_BACH1/BACH2/MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NFE2/NFE2L1/NFE2L2/NFE2L3/NRL/MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NRL	HoiH23,Tadh,TrH2	Placozoa	Hhon	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Spolac	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT52592	TrH2_TrispH2_005632-RA	Hhon_g05307.t1	HoiH23_PlH23_000708-RA								bZIP.HG1.3:MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NRL						bZIP_Maf/
OG_8387	like_STAT1/STAT2/STAT3/STAT4/STAT5A/STAT5B/STAT6/signal_transducer_and_activator_of_transcription_6	Hhon,HoiH23,TrH2	Placozoa	Tadh	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		TrH2_TrispH2_005672-RA	Hhon_g00370.t1	HoiH23_PlH23_003715-RA								STAT.HG1.0:like:STAT1/STAT2/STAT3/STAT4/STAT5A/STAT5B/STAT6						STAT_int/STAT_alpha/STAT_bind/SH2/
OG_8484	ERF/ERFL/ERG/ETV3/ETV3L/FEV/FLI1/ETS_proto_oncogene_1_transcription_factor/ETS1/ETS2/ETV2/GABPA	Hhon,HoiH23,TrH2	Placozoa	Tadh	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		TrH2_TrispH2_006743-RA,TrH2_TrispH2_011487-RA	Hhon_g07341.t1,Hhon_g07343.t1	HoiH23_PlH23_009661-RA,HoiH23_PlH23_009665-RA,HoiH23_PlH23_009667-RA					Dmel_FBtr0347001			Ets.HG1.1:ETS1/ETS2/ETV2,Ets.HG1.3:GABPA,Ets.HG1.4:ERF/ERFL/ERG/ETV3/ETV3L/FEV/FLI1						Ets/,GABP-alpha/SAM_PNT/Ets/,SAM_PNT/Ets/
OG_6576	like_DMRTA1/DMRTA2	Hvul,Mlei	Metazoa	Anthozoa,Bilateria,Placozoa,Spolac	Hhon,HoiH23,Hvul,Mlei,Nvec,Spis,Tadh,TrH2	Metazoa	Bilateria,Spolac	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		TrH2_TrispH2_010792-RA					Hvul_g3847_1					Doublesex_DM.HG1.15:like:DMRTA1/DMRTA2						DM/
OG_749	BACH1/BACH2/NFE2/NFE2L1/NFE2L2/NFE2L3/Nfe2l1	Mmus,TrH2	CniBilPla	Cnidaria,Dmel,Hoilungia,Tadh	Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Mlei	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		TrH2_TrispH2_010892-RA						Mmus_ENSMUST00000107659				bZIP.HG1.5:BACH1/BACH2/NFE2/NFE2L1/NFE2L2/NFE2L3						bZIP_Maf/
OG_10427	FOXJ1	HoiH23,TrH2	Placozoa	Hhon,Tadh	Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Dmel,Spolac	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		TrH2_TrispH2_003474-RA	Hhon_g03786.t1	HoiH23_PlH23_000096-RA	Nvec_v1g65438							Forkhead.HG1.5:FOXJ1						Forkhead/
OG_1488	arginine_glutamic_acid_dipeptide_repeats/RERE	HoiH23,TrH2	Placozoa	Hhon,Tadh	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT57654	TrH2_TrispH2_004638-RA		HoiH23_PlH23_009261-RA			Hvul_g33668_1					GATA.HG2.0:RERE						BAH/ELM2/,BAH/ELM2/GATA/
OG_3560	BAZ2A/BAZ2B/bromodomain_adjacent_to_zinc_finger_domain_2B	HoiH23,TrH2	Placozoa	Hhon,Tadh	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		TrH2_TrispH2_006268-RA	Hhon_g04767.t1	HoiH23_PlH23_001561-RA								MBD.HG1.5:BAZ2A/BAZ2B						DDT/WHIM1/WSD/WSD/PHD/PHD/Bromodomain/,MBD/DDT/WHIM1/WSD/WSD/PHD/PHD/Bromodomain/
OG_4200	like_SOX1/SOX2/SOX3/SOX1/SOX2/SOX3/SOX14/SOX21	Tadh,TrH2	Trichoplax		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT17959,Tadh_TriadT24518	TrH2_TrispH2_001735-RA	Hhon_g05242.t1,Hhon_g08174.t1	HoiH23_PlH23_007440-RA,HoiH23_PlH23_011060-RA	Nvec_v1g207820				Dmel_FBtr0330210			HMGbox_Sox.HG1.47:like:SOX1/SOX2/SOX3,HMGbox_Sox.HG1.48:SOX1/SOX2/SOX3						HMG_box/,HMG_box/SOXp/
OG_5521	KLF1/KLF2/KLF3/KLF4/KLF5/KLF6/KLF7/KLF8/KLF12	Tadh,TrH2	Trichoplax		Hhon,HoiH23,Nvec,Spis,Tadh,TrH2	CniBilPla	Bilateria,Hvul	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT18001	TrH2_TrispH2_007742-RA	Hhon_g02953.t1	HoiH23_PlH23_010552-RA								zf-C2H2.HG3.16:KLF1/KLF2/KLF3/KLF4/KLF5/KLF6/KLF7/KLF8/KLF12						zf-C2H2/zf-C2H2/zf-C2H2/
OG_11081	FOXN2/FOXN3	Hhon,HoiH23	Hoilungia		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		TrH2_TrispH2_007536-RA	Hhon_g07630.t1	HoiH23_PlH23_002310-RA								Forkhead.HG1.30:FOXN2/FOXN3						Forkhead/
OG_137	Tppp/tubulin_polymerization_promoting_protein/tubulin_polymerization_promoting_protein_family_member_2	Hvul,Mmus	CniBil	Anthozoa,Dmel	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT54943						Hvul_g30231_1	Mmus_ENSMUST00000022057	Dmel_FBtr0331181									p25-alpha/DCX/
OG_7241	ASCL3/ASCL4/ASCL5/like_ASCL1/ASCL2/ASCL3/ASCL4/ASCL5/like_ASCL3/ASCL4/ASCL5	Hvul,Nvec	Cnidaria	Spis	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Spolac	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_wf_g3088.t1	TrH2_TrispH2_003870-RA,TrH2_TrispH2_003871-RA,TrH2_TrispH2_009804-RA	Hhon_g00683.t1	HoiH23_PlH23_000958-RA,HoiH23_PlH23_000959-RA	Nvec_v1g136184		Hvul_g3034_1,Hvul_g8607_1					HLH.HG2.31:like:ASCL1/ASCL2/ASCL3/ASCL4/ASCL5,HLH.HG2.36:ASCL3/ASCL4/ASCL5						HLH/
OG_10933	AR/ESR1/ESR2/NR3C1/NR3C2/PGR/estrogen_related_receptor_gamma/HNF4A/HNF4G/like_NR2E1/NR2E3/NR2F1/NR2F2/NR2F6/NR2E3/Nr2f1/Rora/RXRA/RXRB/RXRG/Thra	Dmel,Mmus	Bilateria		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT50786	TrH2_TrispH2_003482-RA				Spis_XP_022787902_1,Spis_XP_022809335_1		Mmus_ENSMUST00000034766,Mmus_ENSMUST00000064187,Mmus_ENSMUST00000091458	Dmel_FBtr0075086,Dmel_FBtr0078306,Dmel_FBtr0081397,Dmel_FBtr0452140			zf-C4_Nuclear_receptors.HG1.15:like:NR2E1/NR2E3/NR2F1/NR2F2/NR2F6,zf-C4_Nuclear_receptors.HG1.24:HNF4A/HNF4G						zf-C4/Hormone_recep/
OG_2476	BTB_domain_containing_8/ectodermal_neural_cortex_1/Enc1/Kbtbd11/kelch_domain_containing_7B/kelch_like_family_member_12/kelch_like_family_member_15/kelch_like_family_member_18/kelch_like_family_member_20/kelch_like_family_member_23/kelch_like_family_member_28/kelch_like_family_member_3/kelch_like_family_member_36/kelch_like_family_member_6/kelch_like_family_member_8/kelch_repeat_and_BTB_domain_containing_12/kelch_repeat_and_BTB_domain_containing_2/Zbtb18	Dmel,Mmus	Bilateria		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE								Mmus_ENSMUST00000041623,Mmus_ENSMUST00000069399,Mmus_ENSMUST00000094276	Dmel_FBtr0303933									
OG_1354	FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6	TrH2	TrH2		Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Mlei	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		TrH2_TrispH2_001070-RA										Forkhead.HG1.33:FOXO1/FOXO3/FOXO3B/FOXO4/FOXO6						Forkhead/
OG_6339	NA	TrH2	TrH2		Dmel,Hhon,HoiH23,Mmus,Nvec,Spis,Tadh,TrH2	CniBilPla	Hvul	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT61467	TrH2_TrispH2_003569-RA	Hhon_g09189.t1	HoiH23_PlH23_004203-RA								bZIP.HG4.0:NA						bZIP_2/
OG_6611	ATF4/ATF5	Hhon	Hhon		Hhon,Hvul,Mmus,Nvec,Spis,Spolac	Metazoa	Dmel,HoiH23,Mlei,Trichoplax	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE			Hhon_g09605.t1									bZIP.HG1.6:ATF4/ATF5						bZIP_1/
OG_155	like_POGK/tigger_transposable_element_derived_1/tigger_transposable_element_derived_2/tigger_transposable_element_derived_4/tigger_transposable_element_derived_6/tigger_transposable_element_derived_7	HoiH23	HoiH23		Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Mlei	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT55153	TrH2_TrispH2_010723-RA,TrH2_TrispH2_010836-RA	Hhon_g01764.t1,Hhon_g02249.t1,Hhon_g07188.t1	HoiH23_PlH23_003284-RA,HoiH23_PlH23_004391-RA,HoiH23_PlH23_004846-RA								Brinker.HG1.3:like:POGK						BrkDBD/HTH_Tnp_Tc5/,HTH_Tnp_Tc5/
OG_2790	LIM_homeobox_5	HoiH23	HoiH23		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT30033	TrH2_TrispH2_000435-RA	Hhon_g09380.t1	HoiH23_PlH23_008308-RA					Dmel_FBtr0071279			Homeodomains.Unclassified						Homeodomain/,LIM/LIM/Homeodomain/
OG_5992	cAMP_responsive_element_binding_protein_like_2/CREBL2	HoiH23	HoiH23		Dmel,Hhon,HoiH23,Mmus,Nvec,Spis,Tadh,TrH2	CniBilPla	Hvul	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT61059	TrH2_TrispH2_009191-RA	Hhon_g01094.t1	HoiH23_PlH23_005117-RA								bZIP.HG2.0:CREBL2						,bZIP_1/
OG_8694	inner_centromere_protein/TUB/TULP3	HoiH23	HoiH23		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE			Hhon_g03356.t1	HoiH23_PlH23_007135-RA					Dmel_FBtr0342842			Tub.HG1.4:TUB/TULP3						Tub/
OG_8262	GATA_binding_protein_5/GATA4/GATA5/GATA6/like_TRPS1	Nvec	Nvec		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT59720				Nvec_v1g196609	Spis_XP_022781270_1	Hvul_g20911_1		Dmel_FBtr0330188			GATA.HG1.14:GATA4/GATA5/GATA6						GATA/GATA/
OG_8373	OG_8373	Spis	Spis		Hvul,Nvec,Spis	Cnidaria		1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE						Spis_XP_022784487_1												
OG_10696	MXD1/MXD3/MXD4/MXI1	Hvul	Hvul		Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Dmel	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		TrH2_TrispH2_003518-RA	Hhon_g10554.t1	HoiH23_PlH23_007692-RA			Hvul_g29578_1					HLH.HG1.36:MXD1/MXD3/MXD4/MXI1						HLH/
OG_1550	SF3A2/splicing_factor_3a_subunit_2	Hvul	Hvul		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE							Hvul_g20391_1											
OG_2556	NA	Hvul	Hvul		Dmel,Hhon,HoiH23,Hvul,Mlei,Nvec,Spis,Tadh,TrH2	Metazoa	Mmus,Spolac	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE							Hvul_g2040_1,Hvul_g3432_1											
OG_265	N_acetylglucosamine_1_phosphate_transferase_subunit_gamma	Hvul	Hvul		Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Dmel,Mlei	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE							Hvul_g3974_1											
OG_2873	like_THAP3/THAP6	Hvul	Hvul		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Spolac	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE							Hvul_g13998_1											
OG_2934	KLF1/KLF2/KLF3/KLF4/KLF5/KLF6/KLF7/KLF8/KLF12	Hvul	Hvul		Dmel,Hhon,Hvul,Mmus,Spis,Tadh,TrH2	CniBilPla	HoiH23,Nvec	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE							Hvul_g1988_1		Dmel_FBtr0088210									
