orthogroup	orthogroup_name
OG_79	OG_79:membrane_associated_guanylate_kinase_WW_and_PDZ_domain_containing_1/membrane_associated_guanylate_kinase_WW_and_PDZ_domain_containing_2/membrane_associated_guanylate_kinase_WW_and_PDZ_domain_containing_3
OG_80	OG_80:intelectin_2
OG_91	OG_91:LLGL_scribble_cell_polarity_complex_component_1/LLGL_scribble_cell_polarity_complex_component_2
OG_98	OG_98:LSM11_U7_small_nuclear_RNA_associated
OG_100	OG_100:spermatogenesis_associated_serine_rich_2
OG_108	OG_108:protein_interacting_with_PRKCA_1
OG_109	OG_109:solute_carrier_family_28_member_3
OG_116	OG_116:G_protein_nucleolar_3_like/Gnl3l
OG_120	OG_120:SEC13_homolog_nuclear_pore_and_COPII_coat_complex_component
OG_121	OG_121:SLIT_ROBO_Rho_GTPase_activating_protein_3/Srgap3
OG_123	OG_123:KDM5A/KDM5B/KDM5C/KDM5D/transcription_factor_19
OG_124	OG_124:Adgrb1/Adgrb2/Adgrb3/Adgrl1/adhesion_G_protein_coupled_receptor_B1/adhesion_G_protein_coupled_receptor_B2/adhesion_G_protein_coupled_receptor_D1/adhesion_G_protein_coupled_receptor_G2/adhesion_G_protein_coupled_receptor_G4/adhesion_G_protein_coupled_receptor_G5/adhesion_G_protein_coupled_receptor_L1/adhesion_G_protein_coupled_receptor_L2/adhesion_G_protein_coupled_receptor_L3/adhesion_G_protein_coupled_receptor_L4/C_type_lectin_domain_containing_17A/cadherin_EGF_LAG_seven_pass_G_type_receptor_1/cadherin_EGF_LAG_seven_pass_G_type_receptor_2/Celsr2/cubilin/deleted_in_malignant_brain_tumors_1/heterogeneous_nuclear_ribonucleoprotein_D/mannose_receptor_C_type_1
OG_125	OG_125:endosome_lysosome_associated_apoptosis_and_autophagy_regulator_family_member_2/zinc_finger_C3HC_type_containing_1
OG_128	OG_128:purine_nucleoside_phosphorylase
OG_137	OG_137:Tppp/tubulin_polymerization_promoting_protein/tubulin_polymerization_promoting_protein_family_member_2
OG_146	OG_146:adenine_phosphoribosyltransferase
OG_154	OG_154:DnaJ_heat_shock_protein_family_Hsp40_member_A2
OG_155	OG_155:like_POGK/tigger_transposable_element_derived_1/tigger_transposable_element_derived_2/tigger_transposable_element_derived_4/tigger_transposable_element_derived_6/tigger_transposable_element_derived_7
OG_159	OG_159:JARID2
OG_161	OG_161:phospholipase_C_gamma_2
OG_162	OG_162:adhesion_G_protein_coupled_receptor_B1/adhesion_G_protein_coupled_receptor_B3/adhesion_G_protein_coupled_receptor_L1/adhesion_G_protein_coupled_receptor_L3/contactin_1/DCC_netrin_1_receptor/DS_cell_adhesion_molecule/DS_cell_adhesion_molecule_like_1/Fc_fragment_of_IgG_binding_protein/hemicentin_1/hemicentin_2/leucine_rich_repeats_and_immunoglobulin_like_domains_3/muscle_associated_receptor_tyrosine_kinase/neogenin_1/neuronal_cell_adhesion_molecule/peroxidasin/protein_tyrosine_phosphatase_receptor_type_D/protein_tyrosine_phosphatase_receptor_type_F/protein_tyrosine_phosphatase_receptor_type_S/roundabout_guidance_receptor_1/sidekick_cell_adhesion_molecule_1/sidekick_cell_adhesion_molecule_2/titin
OG_166	OG_166:ribosomal_protein_L14
OG_170	OG_170:ribosomal_protein_L34/Rpl34
OG_171	OG_171:heterogeneous_nuclear_ribonucleoprotein_F/heterogeneous_nuclear_ribonucleoprotein_H1
OG_190	OG_190:adhesion_G_protein_coupled_receptor_E5/CD163_molecule/coagulation_factor_XII/collagen_and_calcium_binding_EGF_domains_1/cysteine_rich_with_EGF_like_domains_2/deleted_in_malignant_brain_tumors_1/EGF_containing_fibulin_extracellular_matrix_protein_1/EGF_containing_fibulin_extracellular_matrix_protein_2/fibrillin_1/fibrillin_2/fibulin_1/fibulin_7/follistatin/galectin_3_binding_protein/growth_arrest_specific_6/hemicentin_1/LDL_receptor_related_protein_1/LDL_receptor_related_protein_1B/LDL_receptor_related_protein_2/lysyl_oxidase_like_4/macrophage_scavenger_receptor_1/mucin_4_cell_surface_associated/Nell2/nephronectin/nidogen_1/nidogen_2/protein_S/serine_protease_12/signal_peptide_CUB_domain_and_EGF_like_domain_containing_3/sortilin_related_receptor_1/sushi_domain_containing_2/sushi_nidogen_and_EGF_like_domains_1/thrombomodulin/thrombospondin_1/transmembrane_serine_protease_15
OG_193	OG_193:apurinic_apyrimidinic_endodeoxyribonuclease_1/SH3_domain_binding_glutamate_rich_protein_like_3/Sh3bgrl3
OG_197	OG_197:receptor_for_activated_C_kinase_1
OG_198	OG_198:oxoglutarate_dehydrogenase
OG_199	OG_199:HIV_1_Tat_specific_factor_1
OG_200	OG_200:adhesion_G_protein_coupled_receptor_D1/adhesion_G_protein_coupled_receptor_E3/adhesion_G_protein_coupled_receptor_G2/adhesion_G_protein_coupled_receptor_L1/adhesion_G_protein_coupled_receptor_L2/adhesion_G_protein_coupled_receptor_L3
OG_216	OG_216:agrin/Cntnap1/Cntnap2/Cntnap5a/contactin_associated_protein_2/contactin_associated_protein_family_member_4/contactin_associated_protein_family_member_5/Fc_fragment_of_IgG_binding_protein/kielin_cysteine_rich_BMP_regulator/novel_protein
OG_219	OG_219:mitochondrial_ribosomal_protein_L41/Mrpl41
OG_228	OG_228:eukaryotic_translation_initiation_factor_5B/Ube3a/ubiquitin_protein_ligase_E3A
OG_229	OG_229:EF_hand_domain_containing_2
OG_230	OG_230:apoptotic_peptidase_activating_factor_1/RAB39B_member_RAS_oncogene_family/solute_carrier_family_34_member_2/TNF_receptor_superfamily_member_21/ubiquitin_conjugating_enzyme_E2_D3
OG_236	OG_236:malate_dehydrogenase_1/Mdh1
OG_238	OG_238:radial_spoke_head_component_9
OG_250	OG_250:double_zinc_ribbon_and_ankyrin_repeat_domains_1/Dzank1
OG_251	OG_251:F_box_protein_42/host_cell_factor_C1/host_cell_factor_C2/kelch_domain_containing_1/leucine_carboxyl_methyltransferase_2/Rab9_effector_protein_with_kelch_motifs
OG_258	OG_258:inositol_trisphosphate_3_kinase_B/Itpka
OG_265	OG_265:N_acetylglucosamine_1_phosphate_transferase_subunit_gamma
OG_267	OG_267:C1d/C1D_nuclear_receptor_corepressor
OG_270	OG_270:translin_associated_factor_X_interacting_protein_1
OG_277	OG_277:elongation_factor_Tu_GTP_binding_domain_containing_2
OG_279	OG_279:MIER1/MIER2/MIER3/MTA1/MTA3;zf-C2H2.HG32.1/TRERF1/ZNF541
OG_283	OG_283:acid_phosphatase_1/protein_kinase_AMP_activated_non_catalytic_subunit_gamma_2
OG_290	OG_290:C1q_and_TNF_related_12
OG_291	OG_291:inositol_hexakisphosphate_kinase_1/inositol_hexakisphosphate_kinase_2
OG_295	OG_295:NECAP_endocytosis_associated_1/NECAP_endocytosis_associated_2/Necap1
OG_297	OG_297:coiled_coil_domain_containing_39
OG_298	OG_298:dystrobrevin_beta
OG_302	OG_302:guanylate_cyclase_1_soluble_subunit_beta_1
OG_303	OG_303:protein_tyrosine_phosphatase_non_receptor_type_11/TATA_box_binding_protein_associated_factor_5/TATA_box_binding_protein_associated_factor_5_like/WD_repeat_domain_86
OG_304	OG_304:adhesion_G_protein_coupled_receptor_G2/adhesion_G_protein_coupled_receptor_G4/adhesion_G_protein_coupled_receptor_G6/adhesion_G_protein_coupled_receptor_G7/adhesion_G_protein_coupled_receptor_L3/cadherin_EGF_LAG_seven_pass_G_type_receptor_1
OG_307	OG_307:dishevelled_segment_polarity_protein_2/dishevelled_segment_polarity_protein_3
OG_309	OG_309:Mlf2/myeloid_leukemia_factor_1/myeloid_leukemia_factor_2
OG_321	OG_321:GA_binding_protein_transcription_factor_subunit_beta_1/GA_binding_protein_transcription_factor_subunit_beta_2
OG_326	OG_326:
OG_327	OG_327:ubiquitin_conjugating_enzyme_E2_J2
OG_330	OG_330:EF_hand_domain_family_member_D2/Efhd2
OG_336	OG_336:Sec62/SEC62_homolog_preprotein_translocation_factor
OG_337	OG_337:
OG_340	OG_340:anoctamin_7
OG_341	OG_341:adhesion_G_protein_coupled_receptor_G2/adhesion_G_protein_coupled_receptor_L4/Chl1/Cntn1/contactin_1/contactin_2/contactin_3/contactin_4/contactin_5/contactin_6/L1_cell_adhesion_molecule/L1cam/neurofascin/neuronal_cell_adhesion_molecule/Nfasc/Nrcam/sidekick_cell_adhesion_molecule_1
OG_342	OG_342:KIAA0319_like/Lrp11
OG_347	OG_347:heat_shock_protein_family_A_Hsp70_member_9
OG_350	OG_350:Chd3/Chd5/chromodomain_helicase_DNA_binding_protein_4/chromodomain_helicase_DNA_binding_protein_5
OG_356	OG_356:pescadillo_ribosomal_biogenesis_factor_1
OG_360	OG_360:ciliogenesis_associated_kinase_1
OG_362	OG_362:BLK_proto_oncogene_Src_family_tyrosine_kinase/FES_proto_oncogene_tyrosine_kinase/FYN_proto_oncogene_Src_family_tyrosine_kinase/fyn_related_Src_family_tyrosine_kinase/HCK_proto_oncogene_Src_family_tyrosine_kinase/LCK_proto_oncogene_Src_family_tyrosine_kinase/SRC_proto_oncogene_non_receptor_tyrosine_kinase/YES_proto_oncogene_1_Src_family_tyrosine_kinase
OG_364	OG_364:Tmem38a/transmembrane_protein_38B
OG_368	OG_368:cilia_and_flagella_associated_protein_57
OG_370	OG_370:microtubule_associated_serine_threonine_kinase_1/microtubule_associated_serine_threonine_kinase_2
OG_379	OG_379:UDP_galactose_4_epimerase
OG_380	OG_380:ankyrin_repeat_and_KH_domain_containing_1/ankyrin_repeat_and_MYND_domain_containing_2/ankyrin_repeat_and_sterile_alpha_motif_domain_containing_6/euchromatic_histone_lysine_methyltransferase_2/like_ATOH1/ATOH7/ATOH8/BHLHA9/BHLHA15/BHLHE22/BHLHE23/NEUROD1/NEUROD2/NEUROD4/NEUROD6/NEUROG1/NEUROG2/NEUROG3/OLIG1/OLIG2/OLIG3
OG_389	OG_389:histone_PARylation_factor_1
OG_405	OG_405:RNA_binding_motif_protein_24/RNA_binding_motif_protein_38
OG_409	OG_409:glutamine_amidotransferase_like_class_1_domain_containing_3B/heat_shock_protein_family_A_Hsp70_member_1A/heat_shock_protein_family_A_Hsp70_member_8/Hspa12a
OG_411	OG_411:regulating_synaptic_membrane_exocytosis_1/regulating_synaptic_membrane_exocytosis_2/Rims3
OG_412	OG_412:Bag1
OG_415	OG_415:TNF_receptor_associated_factor_4/TNF_receptor_associated_factor_6
OG_418	OG_418:serine_and_arginine_rich_splicing_factor_7
OG_424	OG_424:calcium_and_integrin_binding_1/calcium_and_integrin_binding_family_member_4
OG_429	OG_429:calcium_and_integrin_binding_1/calcium_and_integrin_binding_family_member_2
OG_432	OG_432:GTP_binding_protein_4
OG_437	OG_437:ADP_ribosylation_factor_like_GTPase_3/Arl3
OG_440	OG_440:WD_repeat_domain_54
OG_445	OG_445:unc_119_lipid_binding_chaperone_B
OG_449	OG_449:kinesin_family_member_13A
OG_466	OG_466:zinc_finger_RANBP2_type_containing_1
OG_472	OG_472:inositol_polyphosphate_5_phosphatase_F/Inpp5f
OG_476	OG_476:serine_threonine_kinase_10/STE20_like_kinase
OG_484	OG_484:regulator_of_G_protein_signaling_12/regulator_of_G_protein_signaling_14/Rgs10
OG_487	OG_487:Ddah1/dimethylarginine_dimethylaminohydrolase_1
OG_489	OG_489:transmembrane_protein_230
OG_495	OG_495:actin_binding_LIM_protein_1/actin_binding_LIM_protein_family_member_2/Dmtn
OG_499	OG_499:sorting_nexin_27
OG_500	OG_500:beta_transducin_repeat_containing_E3_ubiquitin_protein_ligase
OG_507	OG_507:Tcf25/transcription_factor_25
OG_512	OG_512:tetratricopeptide_repeat_domain_39A/ubiquitin_protein_ligase_E3C
OG_513	OG_513:calcyphosine_like
OG_516	NA
OG_521	OG_521:Fdx2/ferredoxin_2
OG_524	OG_524:SAM_and_HD_domain_containing_deoxynucleoside_triphosphate_triphosphohydrolase_1
OG_527	OG_527:carnitine_O_acetyltransferase/choline_O_acetyltransferase
OG_531	OG_531:polypyrimidine_tract_binding_protein_1/polypyrimidine_tract_binding_protein_2
OG_532	OG_532:ankyrin_repeat_domain_13C
OG_534	OG_534:F_box_protein_9/Fbxo9
OG_538	OG_538:Pfkp/phosphofructokinase_muscle
OG_539	OG_539:Ids
OG_542	OG_542:
OG_544	OG_544:calcium_calmodulin_dependent_protein_kinase_kinase_2/Camkk2
OG_545	OG_545:Ppm1e/protein_phosphatase_Mg2_Mn2_dependent_1E
OG_550	OG_550:
OG_556	OG_556:major_vault_protein
OG_557	OG_557:solute_carrier_family_18_member_B1
OG_566	OG_566:musashi_RNA_binding_protein_1/musashi_RNA_binding_protein_2
OG_575	OG_575:IQ_motif_containing_with_AAA_domain_1
OG_577	OG_577:Pkm/pyruvate_kinase_M1_2
OG_589	OG_589:Glrx5/glutaredoxin_5
OG_591	OG_591:multiple_coagulation_factor_deficiency_2_ER_cargo_receptor_complex_subunit
OG_607	OG_607:solute_carrier_family_38_member_9
OG_610	OG_610:FCH_and_mu_domain_containing_endocytic_adaptor_2/Sgip1/SH3GL_interacting_endocytic_adaptor_1
OG_612	OG_612:muscle_RAS_oncogene_homolog/Ras_like_without_CAAX_1/Rasl11b
OG_614	OG_614:Emc10/ER_membrane_protein_complex_subunit_10
OG_617	OG_617:PPARG_related_coactivator_1/Ppargc1a
OG_619	NA
OG_622	OG_622:
OG_623	OG_623:WD_repeat_and_FYVE_domain_containing_2
OG_624	OG_624:F_box_protein_36
OG_632	OG_632:solute_carrier_family_9_member_A6/solute_carrier_family_9_member_A7/solute_carrier_family_9_member_A9
OG_641	OG_641:CCR4_NOT_transcription_complex_subunit_6/CCR4_NOT_transcription_complex_subunit_6_like
OG_642	NA
OG_643	OG_643:protein_phosphatase_2_catalytic_subunit_beta
OG_644	OG_644:glutaredoxin_and_cysteine_rich_domain_containing_1
OG_646	OG_646:eukaryotic_translation_initiation_factor_3_subunit_I
OG_648	OG_648:KIAA1841/polypeptide_N_acetylgalactosaminyltransferase_1/polypeptide_N_acetylgalactosaminyltransferase_11/polypeptide_N_acetylgalactosaminyltransferase_13
OG_649	OG_649:Cyfip2/cytoplasmic_FMR1_interacting_protein_2
OG_653	OG_653:TAO_kinase_2
OG_657	OG_657:TBX2/TBX3
OG_660	OG_660:peptidylprolyl_isomerase_D/tetratricopeptide_repeat_domain_9/tetratricopeptide_repeat_domain_9C/Ttc9b
OG_662	OG_662:discs_large_MAGUK_scaffold_protein_1/Dlg2/Dlg4
OG_672	OG_672:protein_kinase_D3
OG_674	OG_674:apoptosis_resistant_E3_ubiquitin_protein_ligase_1
OG_684	OG_684:arrestin_domain_containing_2/arrestin_domain_containing_3/arrestin_domain_containing_4/arrestin_domain_containing_5/thioredoxin_interacting_protein
OG_693	OG_693:Gabbr1/Gabbr2/gamma_aminobutyric_acid_type_B_receptor_subunit_1/gamma_aminobutyric_acid_type_B_receptor_subunit_2
OG_695	OG_695:
OG_698	OG_698:charged_multivesicular_body_protein_1A
OG_699	OG_699:Rho_guanine_nucleotide_exchange_factor_17
OG_700	OG_700:bifunctional_apoptosis_regulator/BRCA1_DNA_repair_associated/ring_finger_protein_151/ring_finger_protein_8/Trim2/tripartite_motif_containing_45/tripartite_motif_containing_71
OG_707	OG_707:Tiam1
OG_710	OG_710:LEF1/TCF7/TCF7L1/TCF7L2
OG_715	OG_715:DLC1_Rho_GTPase_activating_protein
OG_716	OG_716:transmembrane_and_coiled_coil_domains_3
OG_717	OG_717:arrestin_beta_1
OG_729	OG_729:tight_junction_protein_1
OG_738	OG_738:Faim2/Fas_apoptotic_inhibitory_molecule_2/glutamate_ionotropic_receptor_NMDA_type_subunit_associated_protein_1/Grina
OG_741	OG_741:RAS_p21_protein_activator_3
OG_744	OG_744:Amph/bridging_integrator_1
OG_749	OG_749:BACH1/BACH2/NFE2/NFE2L1/NFE2L2/NFE2L3/Nfe2l1
OG_751	OG_751:glycerol_3_phosphate_dehydrogenase_1/glycerol_3_phosphate_dehydrogenase_1_like
OG_754	OG_754:F_box_and_leucine_rich_repeat_protein_20
OG_757	OG_757:XPA_DNA_damage_recognition_and_repair_factor
OG_762	OG_762:NOP2_Sun_RNA_methyltransferase_2
OG_766	OG_766:ankyrin_repeat_domain_13B
OG_767	OG_767:ubiquitin_specific_peptidase_26/ubiquitin_specific_peptidase_29/ubiquitin_specific_peptidase_37/Usp29
OG_769	OG_769:multiple_C2_and_transmembrane_domain_containing_1/multiple_C2_and_transmembrane_domain_containing_2
OG_781	OG_781:Apbb1
OG_785	OG_785:CREB_binding_protein/E1A_binding_protein_p300
OG_791	OG_791:apurinic_apyrimidinic_endodeoxyribonuclease_1
OG_793	OG_793:Nedd8/NEDD8_ubiquitin_like_modifier
OG_794	OG_794:checkpoint_kinase_1
OG_802	OG_802:5_hydroxytryptamine_receptor_1A/5_hydroxytryptamine_receptor_1B/5_hydroxytryptamine_receptor_1D/5_hydroxytryptamine_receptor_1E/5_hydroxytryptamine_receptor_1F/5_hydroxytryptamine_receptor_2A/5_hydroxytryptamine_receptor_2B/5_hydroxytryptamine_receptor_2C/5_hydroxytryptamine_receptor_4/5_hydroxytryptamine_receptor_6/adenosine_A1_receptor/adenosine_A3_receptor/adrenoceptor_alpha_1A/adrenoceptor_alpha_1B/adrenoceptor_alpha_2A/adrenoceptor_alpha_2B/adrenoceptor_alpha_2C/adrenoceptor_beta_2/cannabinoid_receptor_2/dopamine_receptor_D1/dopamine_receptor_D2/dopamine_receptor_D5/G_protein_coupled_receptor_15/galanin_receptor_2/growth_hormone_secretagogue_receptor/histamine_receptor_H2/melanin_concentrating_hormone_receptor_1/melanocortin_5_receptor/melatonin_receptor_1A/opioid_receptor_kappa_1/pyroglutamylated_RFamide_peptide_receptor/somatostatin_receptor_3/tachykinin_receptor_1/tachykinin_receptor_3/trace_amine_associated_receptor_1/trace_amine_associated_receptor_2/trace_amine_associated_receptor_5/trace_amine_associated_receptor_6/trace_amine_associated_receptor_8/trace_amine_associated_receptor_9/X_C_motif_chemokine_receptor_1
OG_804	OG_804:CD163_molecule/chromosome_16_open_reading_frame_89
OG_808	OG_808:chaperonin_containing_TCP1_subunit_8
OG_823	OG_823:proteasomal_ATPase_associated_factor_1
OG_833	OG_833:TATA_element_modulatory_factor_1
OG_836	OG_836:CD163_molecule_like_1/coagulation_factor_II_thrombin/fibroblast_growth_factor_receptor_2/hepatocyte_growth_factor/lipoprotein_a/MAM_and_LDL_receptor_class_A_domain_containing_1/plasminogen/receptor_tyrosine_kinase_like_orphan_receptor_1/serine_protease_12
OG_837	OG_837:
OG_849	OG_849:ATP_synthase_inhibitory_factor_subunit_1/Atpif1
OG_850	OG_850:
OG_854	OG_854:carboxypeptidase_A1/carboxypeptidase_A4/carboxypeptidase_D
OG_855	OG_855:dynein_axonemal_heavy_chain_5
OG_861	NA
OG_862	OG_862:solute_carrier_family_29_member_1_Augustine_blood_group/solute_carrier_family_29_member_2/solute_carrier_family_29_member_3
OG_863	OG_863:spectrin_beta_non_erythrocytic_1/Sptbn1/Sptbn2
OG_867	OG_867:INSM_transcriptional_repressor_1/INSM1/INSM2
OG_868	OG_868:tau_tubulin_kinase_1/tau_tubulin_kinase_2
OG_870	OG_870:cubilin/fibronectin_leucine_rich_transmembrane_protein_1/follicle_stimulating_hormone_receptor/LDL_receptor_related_protein_12/leucine_rich_repeat_containing_40/leucine_rich_repeat_containing_66/leucine_rich_repeats_and_immunoglobulin_like_domains_1/leucine_rich_repeats_and_immunoglobulin_like_domains_2/lumican/luteinizing_hormone_choriogonadotropin_receptor/oligodendrocyte_myelin_glycoprotein/podocan/relaxin_family_peptide_receptor_1/relaxin_family_peptide_receptor_2/splA_ryanodine_receptor_domain_and_SOCS_box_containing_4/thyroid_stimulating_hormone_receptor/toll_like_receptor_1
OG_872	OG_872:selenoprotein_F
OG_875	OG_875:component_of_inhibitor_of_nuclear_factor_kappa_B_kinase_complex/cyclin_dependent_kinase_like_4/eukaryotic_translation_initiation_factor_2_alpha_kinase_4/interleukin_1_receptor_associated_kinase_1/interleukin_1_receptor_associated_kinase_2/interleukin_1_receptor_associated_kinase_3/interleukin_1_receptor_associated_kinase_4/megakaryocyte_associated_tyrosine_kinase/polo_like_kinase_4/succinate_CoA_ligase_ADP_forming_subunit_beta
OG_877	OG_877:radial_spoke_head_component_4A
OG_879	OG_879:Napb/NSF_attachment_protein_alpha
OG_882	OG_882:coiled_coil_domain_containing_149
OG_884	OG_884:
OG_886	OG_886:
OG_897	OG_897:5_nucleotidase_cytosolic_II
OG_898	OG_898:insulin_like_growth_factor_1_receptor/insulin_receptor/Tyro3
OG_902	OG_902:DNA_topoisomerase_II_binding_protein_1
OG_910	OG_910:RWD_domain_containing_4
OG_916	OG_916:lin_7_homolog_C_crumbs_cell_polarity_complex_component/Lin7a/Lin7b
OG_921	OG_921:transaldolase_1
OG_922	OG_922:homeodomain_interacting_protein_kinase_1/homeodomain_interacting_protein_kinase_2
OG_923	OG_923:syntaxin_binding_protein_5/syntaxin_binding_protein_5_like
OG_926	OG_926:cortactin/cytochrome_c_oxidase_assembly_homolog_COX15/Dbn1/drebrin_like
OG_935	OG_935:pre_mRNA_processing_factor_40_homolog_A/pre_mRNA_processing_factor_40_homolog_B
OG_936	OG_936:Pcbp3/poly_rC_binding_protein_3
OG_948	OG_948:plexin_A1/plexin_A2/Plxna4
OG_950	OG_950:cubilin/Pgbd5/piggyBac_transposable_element_derived_1/piggyBac_transposable_element_derived_4/piggyBac_transposable_element_derived_5
OG_956	OG_956:transmembrane_protein_35B
OG_962	OG_962:Ndufa4/NDUFA4_mitochondrial_complex_associated
OG_963	OG_963:calcineurin_like_EF_hand_protein_1/Tesc
OG_965	OG_965:UDP_glucuronosyltransferase_family_1_member_A1/UDP_glucuronosyltransferase_family_1_member_A10/UDP_glucuronosyltransferase_family_1_member_A3/UDP_glucuronosyltransferase_family_1_member_A6/UDP_glucuronosyltransferase_family_1_member_A7/UDP_glucuronosyltransferase_family_1_member_A8/UDP_glucuronosyltransferase_family_2_member_A1_complex_locus/UDP_glucuronosyltransferase_family_2_member_A2/UDP_glucuronosyltransferase_family_2_member_A3/UDP_glucuronosyltransferase_family_2_member_B10/UDP_glucuronosyltransferase_family_2_member_B11/UDP_glucuronosyltransferase_family_2_member_B15/UDP_glucuronosyltransferase_family_2_member_B17/UDP_glucuronosyltransferase_family_2_member_B4/UDP_glucuronosyltransferase_family_2_member_B7/UDP_glycosyltransferase_8/UDP_glycosyltransferase_family_3_member_A1/UDP_glycosyltransferase_family_3_member_A2
OG_967	OG_967:short_chain_dehydrogenase_reductase_family_16C_member_5
OG_969	OG_969:Dync1h1/dynein_cytoplasmic_1_heavy_chain_1
OG_979	OG_979:pygopus_family_PHD_finger_1
OG_980	OG_980:Yip1_interacting_factor_homolog_B_membrane_trafficking_protein
OG_987	OG_987:antizyme_inhibitor_2/ornithine_decarboxylase_1
OG_991	OG_991:crumbs_cell_polarity_complex_component_1/cysteine_rich_with_EGF_like_domains_2/EGF_like_domain_multiple_6/epidermal_growth_factor/fibulin_7/hemicentin_1/LDL_receptor_related_protein_1/neural_EGFL_like_1/nidogen_1/nidogen_2/signal_peptide_CUB_domain_and_EGF_like_domain_containing_3/thrombospondin_4/uromodulin
OG_993	NA
OG_998	OG_998:cyclin_B1/cyclin_B2
OG_1001	OG_1001:CD163_molecule/CD163_molecule_like_1/CD5_molecule_like/CD6_molecule/deleted_in_malignant_brain_tumors_1/galectin_3_binding_protein/hepatocyte_growth_factor/lipoprotein_a/lysyl_oxidase_like_2/lysyl_oxidase_like_3/macrophage_scavenger_receptor_1/MAM_and_LDL_receptor_class_A_domain_containing_1/MAM_domain_containing_2/MAM_domain_containing_glycosylphosphatidylinositol_anchor_1/MAM_domain_containing_glycosylphosphatidylinositol_anchor_2/neuropilin_2/plasminogen/scavenger_receptor_family_member_expressed_on_T_cells_1/serine_protease_12/transmembrane_serine_protease_15
OG_1002	OG_1002:dopamine_beta_hydroxylase/ferric_chelate_reductase_1_like
OG_1007	OG_1007:CYP3A7_CYP3A51P_readthrough/cytochrome_P450_family_3_subfamily_A_member_4/cytochrome_P450_family_3_subfamily_A_member_43/cytochrome_P450_family_3_subfamily_A_member_5/thromboxane_A_synthase_1
OG_1008	OG_1008:vasohibin_1
OG_1017	OG_1017:Ephx4/epoxide_hydrolase_4
OG_1018	OG_1018:calcium_sensing_receptor/glutamate_metabotropic_receptor_1/glutamate_metabotropic_receptor_2/glutamate_metabotropic_receptor_3/glutamate_metabotropic_receptor_4/glutamate_metabotropic_receptor_5/glutamate_metabotropic_receptor_7/glutamate_metabotropic_receptor_8/Grm5/taste_1_receptor_member_2/UDP_glucuronate_decarboxylase_1
OG_1022	OG_1022:acetylcholinesterase_Cartwright_blood_group/Ache/butyrylcholinesterase/carboxylesterase_1/neuroligin_1/neuroligin_3/neuroligin_4_X_linked/neuroligin_4_Y_linked/Nlgn2/Nlgn3
OG_1023	NA
OG_1025	OG_1025:glutamine_rich_1/Kctd1/KIAA1958
OG_1031	OG_1031:protein_kinase_C_iota
OG_1034	OG_1034:like_THAP3/THAP6/sortilin_related_VPS10_domain_containing_receptor_2
OG_1037	OG_1037:Prmt1/protein_arginine_methyltransferase_1/protein_arginine_methyltransferase_8
OG_1044	OG_1044:unc_79_homolog_NALCN_channel_complex_subunit
OG_1045	OG_1045:TBC1_domain_family_member_19
OG_1046	OG_1046:RAB43_member_RAS_oncogene_family
OG_1050	OG_1050:glucosidase_alpha_acid/maltase_glucoamylase/maltase_glucoamylase_2_putative/sucrase_isomaltase
