TrH2_hyp_clust10124.t1		DDE_Tnp_4/
TrH2_TrispH2_000041-RA	DnaJ_heat_shock_protein_family_Hsp40_member_C2	DnaJ/RAC_head/Myb_DNA-binding/
TrH2_TrispH2_000042-RA	sorting_nexin_6	PX/BAR/
TrH2_TrispH2_000043-RA	NOP2_Sun_RNA_methyltransferase_5	Methyltr_RsmB-F/
TrH2_TrispH2_000044-RA		Indigoidine_A/PfkB/PfkB/
TrH2_TrispH2_000045-RA	apurinic_apyrimidinic_endodeoxyribonuclease_2	Exo_endo_phos/zf-GRF/
TrH2_TrispH2_000046-RA	leucine_rich_repeats_and_guanylate_kinase_domain_containing	LRR_9/Guanylate_kin/
TrH2_TrispH2_000047-RA	solute_carrier_family_35_member_E3	TPT/
TrH2_TrispH2_000048-RA	dynein_axonemal_heavy_chain_6	DHC_N2/AAA_6/Dynein_AAA_lid/AAA_7/AAA_lid_1/AAA_8/MT/AAA_9/Dynein_heavy/AAA_lid_11/Dynein_C/
TrH2_TrispH2_000049-RA	NADH_ubiquinone_oxidoreductase_complex_assembly_factor_3	DUF498/
TrH2_TrispH2_000050-RA	solute_carrier_family_25_member_3	Mito_carr/Mito_carr/Mito_carr/
TrH2_TrispH2_000051-RA	WD_repeat_domain_87	WD40/WD40/
TrH2_TrispH2_000052-RA	pyruvate_dehydrogenase_E1_subunit_beta	Transket_pyr/Transketolase_C/
TrH2_TrispH2_000053-RA	ribosomal_protein_S23	Ribosom_S12_S23/
TrH2_TrispH2_000054-RA	secretion_associated_Ras_related_GTPase_1B	Arf/
TrH2_TrispH2_000055-RA	proteasome_26S_subunit_non_ATPase_6	RPN7/PCI/
TrH2_TrispH2_000056-RA	PX_domain_containing_serine_threonine_kinase_like	PX/
TrH2_TrispH2_000057-RA	thymopoietin	Thymopoietin/LEM/
TrH2_TrispH2_000058-RA	glutaminyl_tRNA_synthetase_1	tRNA_synt_1c_R1/tRNA_synt_1c_R2/tRNA-synt_1c/tRNA-synt_1c_C/
TrH2_TrispH2_000059-RA	HECT_and_RLD_domain_containing_E3_ubiquitin_protein_ligase_family_member_6	RCC1_2/RCC1/RCC1/
TrH2_TrispH2_000060-RA	NPR2_like_GATOR1_complex_subunit	NPR2/
TrH2_TrispH2_000061-RA	cyclin_dependent_kinase_17	Pkinase/
TrH2_TrispH2_000062-RA	leucine_rich_repeat_kinase_2	Roc/
TrH2_TrispH2_000063-RA	ADP_ribosylation_factor_like_GTPase_8B	Arf/Arf/
TrH2_TrispH2_000064-RA	mannosyl_oligosaccharide_glucosidase	Glyco_hydro_63N/Glyco_hydro_63/
TrH2_TrispH2_000065-RA	CFAP20_domain_containing	DUF667/
TrH2_TrispH2_000067-RA	RNA_binding_motif_protein_17	RRM_1/
TrH2_TrispH2_000068-RA		RAP/
TrH2_TrispH2_000069-RA	mesencephalic_astrocyte_derived_neurotrophic_factor	Armet/
TrH2_TrispH2_000070-RA	TBC1_domain_family_member_22B	RabGAP-TBC/
TrH2_TrispH2_000071-RA		
TrH2_TrispH2_000072-RA	inhibitor_of_growth_family_member_3	ING/
TrH2_TrispH2_000073-RA	protein_tyrosine_phosphatase_receptor_type_G	fn3/fn3/Y_phosphatase/Y_phosphatase/
TrH2_TrispH2_000074-RA	coiled_coil_helix_coiled_coil_helix_domain_containing_4	
TrH2_TrispH2_000075-RA	solute_carrier_family_35_member_C1	TPT/
TrH2_TrispH2_000076-RA	leucine_rich_repeats_and_immunoglobulin_like_domains_2	LRR_8/LRR_8/LRR_8/LRR_8/I-set/I-set/
TrH2_TrispH2_000077-RA	PHD_finger_protein_8	JmjC/JHD/
TrH2_TrispH2_000078-RA	muskelin_1	Muskelin_N/Kelch_4/Kelch_5/
TrH2_TrispH2_000079-RA	peptidase_mitochondrial_processing_subunit_beta	Peptidase_M16/Peptidase_M16_C/
TrH2_TrispH2_000080-RA	PDLIM1_interacting_kinase_1_like	Pkinase/
TrH2_TrispH2_000081-RA	calcium_voltage_gated_channel_subunit_alpha1_C	Ion_trans/Ion_trans/Ion_trans/Ion_trans/GPHH/Ca_chan_IQ/
TrH2_TrispH2_000082-RA	ATP_GTP_binding_protein_like_5	Pepdidase_M14_N/Peptidase_M14/
TrH2_TrispH2_000083-RA	dual_specificity_tyrosine_phosphorylation_regulated_kinase_2	Pkinase/
TrH2_TrispH2_000084-RA	chromosome_12_open_reading_frame_56	DUF4551/DUF4551/
TrH2_TrispH2_000085-RA	late_endosomal_lysosomal_adaptor_MAPK_and_MTOR_activator_5	LAMTOR5/
TrH2_TrispH2_000086-RA	RNA_2_3_cyclic_phosphate_and_5_OH_ligase	RtcB/
TrH2_TrispH2_000087-RA		RNA_polI_A34/
TrH2_TrispH2_000088-RA	cyclin_dependent_kinase_20	Pkinase/
TrH2_TrispH2_000089-RA	NCK_interacting_protein_with_SH3_domain	DUF2013/
TrH2_TrispH2_000090-RA	BICD_cargo_adaptor_2	BicD/BicD/
TrH2_TrispH2_000091-RA	cilia_and_flagella_associated_protein_100	DUF4200/
TrH2_TrispH2_000092-RA	calcium_calmodulin_dependent_protein_kinase_I	Pkinase/
TrH2_TrispH2_000093-RA	signal_transducer_and_activator_of_transcription_5B	STAT_int/STAT_alpha/STAT_bind/SH2/
TrH2_TrispH2_000094-RA	RAB7A_member_RAS_oncogene_family	Ras/
TrH2_TrispH2_000095-RA		Death/
TrH2_TrispH2_000096-RA		ESSS/
TrH2_TrispH2_000097-RA	early_endosome_antigen_1	
TrH2_TrispH2_000098-RA	decapping_mRNA_1A	mRNA_decap_C/
TrH2_TrispH2_000099-RA	peroxisomal_biogenesis_factor_26	Pex26/
TrH2_TrispH2_000100-RA	synaptophysin_like_2	MARVEL/
TrH2_TrispH2_000101-RA	leucyl_tRNA_synthetase_2_mitochondrial	tRNA-synt_1_2/tRNA-synt_1/tRNA-synt_1/Anticodon_1/
TrH2_TrispH2_000102-RA	cytochrome_b_245_alpha_chain	Cytochrom_B558a/
TrH2_TrispH2_000103-RA	tRNA_5_methylaminomethyl_2_thiouridylate_methyltransferase	tRNA_Me_trans/
TrH2_TrispH2_000104-RA	ribitol_xylosyltransferase_1	
TrH2_TrispH2_000105-RA	cilia_and_flagella_associated_protein_54	DUF4486/
TrH2_TrispH2_000106-RA	ADP_ribosylation_factor_5	Arf/
TrH2_TrispH2_000107-RA	MAPK_associated_protein_1	CRIM/SIN1_PH/
TrH2_TrispH2_000108-RA	DEAD_box_helicase_20	DEAD/Helicase_C/
TrH2_TrispH2_000109-RA	dynamin_1_like	Dynamin_N/Dynamin_M/GED/
TrH2_TrispH2_000110-RA	katanin_regulatory_subunit_B1	WD40/WD40/WD40/WD40/WD40/Katanin_con80/
TrH2_TrispH2_000111-RA	core_binding_factor_subunit_beta	CBF_beta/
TrH2_TrispH2_000112-RA	BRICK1_subunit_of_SCAR_WAVE_actin_nucleating_complex	
TrH2_TrispH2_000113-RA	cortactin_binding_protein_2	CortBP2/Ank_2/Ank_4/
TrH2_TrispH2_000114-RA	ribosomal_protein_L18a	Ribosomal_L18A/
TrH2_TrispH2_000115-RA	ras_homolog_family_member_A	Ras/
TrH2_TrispH2_000116-RA	MON2_homolog_regulator_of_endosome_to_Golgi_trafficking	DCB/Sec7_N/DUF1981/Mon2_C/Mon2_C/
TrH2_TrispH2_000117-RA	protein_O_glucosyltransferase_1	Glyco_transf_90/
TrH2_TrispH2_000118-RA	ataxin_7_like_1	SCA7/
TrH2_TrispH2_000119-RA	myotubularin_related_protein_14	Myotub-related/
TrH2_TrispH2_000120-RA	dystonin	EF-hand_7/
TrH2_TrispH2_000121-RA	coiled_coil_domain_containing_77	
TrH2_TrispH2_000122-RA	IQ_motif_and_Sec7_domain_ArfGEF_1	Sec7/IQ_SEC7_PH/
TrH2_TrispH2_000123-RA	SUMO_peptidase_family_member_NEDD8_specific	Peptidase_C48/
TrH2_TrispH2_000124-RA	eukaryotic_translation_initiation_factor_6	eIF-6/
TrH2_TrispH2_000125-RA	chromosome_8_open_reading_frame_37	RMP/
TrH2_TrispH2_000126-RA	NADH_ubiquinone_oxidoreductase_complex_assembly_factor_6	SQS_PSY/
TrH2_TrispH2_000127-RA	cysteine_dioxygenase_type_1	CDO_I/
TrH2_TrispH2_000128-RA	dihydroorotate_dehydrogenase_quinone	DHO_dh/
TrH2_TrispH2_000129-RA	proteasome_20S_subunit_alpha_5	Proteasome_A_N/Proteasome/
TrH2_TrispH2_000130-RA	prefoldin_subunit_4	
TrH2_TrispH2_000131-RA	transport_and_golgi_organization_6_homolog	RTP1_C1/RTP1_C2/
TrH2_TrispH2_000132-RA	ribosomal_protein_L13	Ribosomal_L13e/
TrH2_TrispH2_000133-RA	N_acetylglucosamine_1_phosphodiester_alpha_N_acetylglucosaminidase	NAGPA/EGF_2/
TrH2_TrispH2_000134-RA	cactin_spliceosome_C_complex_subunit	Cactin_mid/CactinC_cactus/
TrH2_TrispH2_000135-RA		COX7C/
TrH2_TrispH2_000136-RA	phosphatidylinositol_glycan_anchor_biosynthesis_class_N	Phosphodiest/PigN/
TrH2_TrispH2_000137-RA	ENY2_transcription_and_export_complex_2_subunit	EnY2/
TrH2_TrispH2_000138-RA	neutral_sphingomyelinase_activation_associated_factor	Beach/WD40/WD40/WD40/WD40/
TrH2_TrispH2_000139-RA	stearoyl_CoA_desaturase	FA_desaturase/
TrH2_TrispH2_000140-RA	VAMP_associated_protein_B_and_C	Motile_Sperm/
TrH2_TrispH2_000141-RA	solute_carrier_family_9_member_A8	Na_H_Exchanger/
TrH2_TrispH2_000142-RA	tet_methylcytosine_dioxygenase_2	zf-CXXC/Tet_JBP/
TrH2_TrispH2_000143-RA		
TrH2_TrispH2_000144-RA	Wnt_family_member_2	wnt/
TrH2_TrispH2_000145-RA	dynein_cytoplasmic_1_light_intermediate_chain_2	DLIC/DLIC/
TrH2_TrispH2_000146-RA	ATP_synthase_membrane_subunit_c_locus_2	ATP-synt_C/
TrH2_TrispH2_000147-RA	phosphatidylinositol_glycan_anchor_biosynthesis_class_M	Mannosyl_trans/
TrH2_TrispH2_000148-RA	methyltransferase_like_17	Rsm22/
TrH2_TrispH2_000149-RA	ALG8_alpha_1_3_glucosyltransferase	Alg6_Alg8/
TrH2_TrispH2_000150-RA	protein_tyrosine_phosphatase_non_receptor_type_1	Y_phosphatase/
TrH2_TrispH2_000151-RA	phosphoenolpyruvate_carboxykinase_1	PEPCK_N/PEPCK_GTP/
TrH2_TrispH2_000152-RA	adenylate_cyclase_2	AC_N/Guanylate_cyc/DUF1053/Guanylate_cyc/
TrH2_TrispH2_000153-RA	glutamic_oxaloacetic_transaminase_2	Aminotran_1_2/
TrH2_TrispH2_000154-RA	transmembrane_protein_170A	Tmemb_170/
TrH2_TrispH2_000155-RA	BCAR1_scaffold_protein_Cas_family_member	SH3_9/Serine_rich/CAS_C/
TrH2_TrispH2_000156-RA	craniofacial_development_protein_1	BCNT/
TrH2_TrispH2_000157-RA	NudC_domain_containing_1	CS/
TrH2_TrispH2_000158-RA	NIN1_RPN12_binding_protein_1_homolog	PIN_6/NOB1_Zn_bind/
TrH2_TrispH2_000159-RA	oxidative_stress_induced_growth_inhibitor_family_member_2	Pyr_redox_3/
TrH2_TrispH2_000160-RA	syntaxin_16	Syntaxin/
TrH2_TrispH2_000161-RA	thioredoxin_related_transmembrane_protein_3	Thioredoxin/Thioredoxin_6/
TrH2_TrispH2_000162-RA	chromosome_8_open_reading_frame_82	DUF4505/
TrH2_TrispH2_000163-RA	AKT_interacting_protein	UQ_con/
TrH2_TrispH2_000164-RA		
TrH2_TrispH2_000165-RA	RAB11_binding_and_LisH_domain_coiled_coil_and_HEAT_repeat_containing	
TrH2_TrispH2_000166-RA	DEAD_box_helicase_17	DEAD/Helicase_C/
TrH2_TrispH2_000167-RA	neutrophil_cytosolic_factor_4	PX/PB1/
TrH2_TrispH2_000168-RA	chromosome_16_open_reading_frame_70	UPF0183/
TrH2_TrispH2_000169-RA	histamine_receptor_H2	7tm_1/
TrH2_TrispH2_000170-RA	WD_repeat_domain_26	F-box-like/WD40/WD40/WD40/WD40/WD40/WD40/
TrH2_TrispH2_000171-RA	ER_degradation_enhancing_alpha_mannosidase_like_protein_2	Glyco_hydro_47/
TrH2_TrispH2_000172-RA	inositol_monophosphatase_1	Inositol_P/
TrH2_TrispH2_000173-RA		
TrH2_TrispH2_000174-RA	catenin_beta_like_1	CTNNBL/
TrH2_TrispH2_000175-RA	SPT16_homolog_facilitates_chromatin_remodeling_subunit	FACT-Spt16_Nlob/Peptidase_M24/SPT16/Rtt106/
TrH2_TrispH2_000176-RA	ring_finger_protein_31	PUB/zf-C3HC4/E3_UbLigase_RBR/
TrH2_TrispH2_000177-RA	LCK_proto_oncogene_Src_family_tyrosine_kinase	SH2/SH2/
TrH2_TrispH2_000178-RA	phosphatidylinositol_glycan_anchor_biosynthesis_class_U	PIG-U/
TrH2_TrispH2_000179-RA	zinc_finger_CCCH_type_containing_3	
TrH2_TrispH2_000180-RA		
TrH2_TrispH2_000181-RA	thioredoxin_reductase_1	Pyr_redox_2/Pyr_redox_dim/
TrH2_TrispH2_000182-RA	U6_snRNA_biogenesis_phosphodiesterase_1	HVSL/
TrH2_TrispH2_000183-RA	ADP_ribosylation_factor_like_GTPase_2_binding_protein	ARL2_Bind_BART/
TrH2_TrispH2_000184-RA	nucleoporin_93	Nic96/
TrH2_TrispH2_000185-RA	c_Maf_inducing_protein	
TrH2_TrispH2_000186-RA	c_Maf_inducing_protein	
TrH2_TrispH2_000187-RA	Bardet_Biedl_syndrome_4	TPR_16/TPR_8/TPR_8/TPR_8/
TrH2_TrispH2_000188-RA	thyroid_hormone_receptor_interactor_13	AAA/
TrH2_TrispH2_000189-RA	solute_carrier_family_35_member_C2	TPT/
TrH2_TrispH2_000190-RA	monoglyceride_lipase	Hydrolase_4/Hydrolase_4/
TrH2_TrispH2_000191-RA	solute_carrier_family_38_member_7	Aa_trans/
TrH2_TrispH2_000192-RA	aminopeptidase_like_1	Pdase_M17_N2/Peptidase_M17/
TrH2_TrispH2_000193-RA	regulation_of_nuclear_pre_mRNA_domain_containing_1B	CID/CREPT/
TrH2_TrispH2_000194-RA	bromodomain_containing_7	Bromodomain/DUF3512/
TrH2_TrispH2_000195-RA		4HBT/
TrH2_TrispH2_000196-RA	centrosomal_protein_76	CEP76-C2/
TrH2_TrispH2_000197-RA	G_protein_coupled_receptor_52	7tm_1/
TrH2_TrispH2_000198-RA	melatonin_receptor_1A	7tm_1/
TrH2_TrispH2_000199-RA	solute_carrier_family_47_member_1	MatE/MatE/
TrH2_TrispH2_000200-RA		Ank_2/Ank/
TrH2_TrispH2_000201-RA		AAT/
TrH2_TrispH2_000202-RA	hydroxysteroid_17_beta_dehydrogenase_4	adh_short/MaoC_dehydratas/SCP2/
TrH2_TrispH2_000203-RA	membrane_bound_transcription_factor_peptidase_site_1	Peptidase_S8/
TrH2_TrispH2_000204-RA		Acetyltransf_1/
TrH2_TrispH2_000205-RA	vacuolar_protein_sorting_4_homolog_B	MIT/AAA/AAA_lid_3/Vps4_C/
TrH2_TrispH2_000206-RA	ATPase_H_transporting_V0_subunit_d1	vATP-synt_AC39/
TrH2_TrispH2_000207-RA	3_ketodihydrosphingosine_reductase	adh_short/
TrH2_TrispH2_000208-RA	snail_family_transcriptional_repressor_1	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/
TrH2_TrispH2_000209-RA	scratch_family_transcriptional_repressor_1	zf-C2H2/zf-C2H2_6/zf-C2H2/zf-C2H2/zf-C2H2/
TrH2_TrispH2_000210-RA	somatostatin_receptor_2	7tm_1/
TrH2_TrispH2_000211-RA	minichromosome_maintenance_complex_component_4	MCM_N/MCM_OB/MCM/MCM_lid/
TrH2_TrispH2_000212-RA	glucose_6_phosphate_isomerase	PGI/
TrH2_TrispH2_000213-RA	translin_associated_factor_X_interacting_protein_1	TSNAXIP1_N/
TrH2_TrispH2_000214-RA	gamma_glutamylcyclotransferase	AIG2_2/
TrH2_TrispH2_000215-RA	maestro_heat_like_repeat_family_member_1	
TrH2_TrispH2_000216-RA	rotatin	RTTN_N/
TrH2_TrispH2_000217-RA	SPG7_matrix_AAA_peptidase_subunit_paraplegin	FtsH_ext/AAA/AAA_lid_3/Peptidase_M41/
TrH2_TrispH2_000218-RA	OVCA2_serine_hydrolase_domain_containing	FSH1/
TrH2_TrispH2_000219-RA	WD_repeat_domain_97	WD40/WD40/WD40/WD40/
TrH2_TrispH2_000220-RA		
TrH2_TrispH2_000221-RA	NADH_ubiquinone_oxidoreductase_core_subunit_S3	Complex1_30kDa/
TrH2_TrispH2_000222-RA	COP9_signalosome_subunit_4	PCI/CSN4_RPN5_eIF3a/
TrH2_TrispH2_000223-RA		
TrH2_TrispH2_000224-RA	ankyrin_repeat_domain_60	Ank_2/
TrH2_TrispH2_000225-RA	ankyrin_repeat_domain_60	Ank_2/
TrH2_TrispH2_000226-RA	lysophosphatidylcholine_acyltransferase_2	Acyltransferase/EF-hand_5/EF-hand_7/
TrH2_TrispH2_000227-RA	integrin_alpha_FG_GAP_repeat_containing_1	VCBS/
TrH2_TrispH2_000228-RA	lysophosphatidylcholine_acyltransferase_2	Acyltransferase/EF-hand_4/
TrH2_TrispH2_000229-RA	phosphorylase_kinase_regulatory_subunit_beta	Glyco_hydro_15/
TrH2_TrispH2_000230-RA	G_patch_domain_containing_1	DUF1604/G-patch/
TrH2_TrispH2_000231-RA	tripartite_motif_containing_71	zf-RING_UBOX/zf-B_box/Filamin/NHL/NHL/NHL/NHL/NHL/NHL/
TrH2_TrispH2_000232-RA		
TrH2_TrispH2_000233-RA	gamma_aminobutyric_acid_type_B_receptor_subunit_2	ANF_receptor/7tm_3/
TrH2_TrispH2_000234-RA	gamma_aminobutyric_acid_type_B_receptor_subunit_2	ANF_receptor/
TrH2_TrispH2_000235-RA		TMEM72/
TrH2_TrispH2_000236-RA	tetraspanin_5	Tetraspanin/
TrH2_TrispH2_000237-RA	LEO1_homolog_Paf1_RNA_polymerase_II_complex_component	Leo1/
TrH2_TrispH2_000241-RA	zinc_finger_AN1_type_containing_4	ubiquitin/zf-AN1/
TrH2_TrispH2_000242-RA	protein_phosphatase_6_catalytic_subunit	Metallophos/
TrH2_TrispH2_000243-RA	vesicle_associated_membrane_protein_7	Longin/Synaptobrevin/
TrH2_TrispH2_000244-RA		DUF3719/DUF3719/
TrH2_TrispH2_000245-RA	protein_tyrosine_phosphatase_non_receptor_type_13	FERM_N/FERM_M/FERM_C/PDZ/PDZ/PDZ/PDZ/PDZ/PDZ/Y_phosphatase/
TrH2_TrispH2_000246-RA	SEC31_homolog_A_COPII_coat_complex_component	WD40/
TrH2_TrispH2_000247-RA	calcium_calmodulin_dependent_protein_kinase_II_alpha	Pkinase/CaMKII_AD/
TrH2_TrispH2_000248-RA	eukaryotic_translation_initiation_factor_4E_binding_protein_2	eIF_4EBP/
TrH2_TrispH2_000249-RA	ER_lipid_raft_associated_2	Band_7/
TrH2_TrispH2_000250-RA	oligosaccharyltransferase_complex_non_catalytic_subunit	OST3_OST6/
TrH2_TrispH2_000251-RA	F_box_and_WD_repeat_domain_containing_7	F-box-like/WD40/WD40/WD40/WD40/WD40/WD40/WD40/
TrH2_TrispH2_000252-RA	CCR4_NOT_transcription_complex_subunit_6_like	LRR_8/Exo_endo_phos/
TrH2_TrispH2_000253-RA		
TrH2_TrispH2_000254-RA	RuvB_like_AAA_ATPase_1	TIP49/TIP49_C/
TrH2_TrispH2_000255-RA		
TrH2_TrispH2_000256-RA		
TrH2_TrispH2_000257-RA	ubiquitin_conjugating_enzyme_E2_D3	UQ_con/
TrH2_TrispH2_000258-RA	paired_box_6	PAX/Homeodomain/
TrH2_TrispH2_000259-RA		
TrH2_TrispH2_000260-RA	protein_kinase_cGMP_dependent_1	cNMP_binding/cNMP_binding/Pkinase/
TrH2_TrispH2_000261-RA		
TrH2_TrispH2_000262-RA		
TrH2_TrispH2_000263-RA	prosaposin	SapB_2/SapB_1/SapB_2/SapB_1/SapB_2/SapA/
TrH2_TrispH2_000264-RA	actin_related_protein_2_3_complex_subunit_4	ARPC4/
TrH2_TrispH2_000265-RA	G_protein_coupled_receptor_83	7tm_1/
TrH2_TrispH2_000266-RA	protein_phosphatase_2_catalytic_subunit_beta	Metallophos/
TrH2_TrispH2_000267-RA	SEC24_homolog_B_COPII_coat_complex_component	zf-Sec23_Sec24/Sec23_trunk/Sec23_BS/Sec23_helical/Gelsolin/
TrH2_TrispH2_000268-RA	COMM_domain_containing_8	COMM_domain/
TrH2_TrispH2_000269-RA		
TrH2_TrispH2_000270-RA	lin_54_DREAM_MuvB_core_complex_component	TCR/TCR/
TrH2_TrispH2_000271-RA	voltage_dependent_anion_channel_2	Porin_3/
TrH2_TrispH2_000272-RA	protein_kinase_cGMP_dependent_1	cNMP_binding/Pkinase/
TrH2_TrispH2_000273-RA	phosphatase_domain_containing_paladin_1	PTPlike_phytase/PTPlike_phytase/
TrH2_TrispH2_000274-RA	cytochrome_c_oxidase_subunit_6A1	COX6A/
TrH2_TrispH2_000275-RA	RNA_binding_motif_protein_19	RRM_1/RRM_1/RRM_1/RRM_1/RRM_1/RRM_1/
TrH2_TrispH2_000276-RA	solute_carrier_family_12_member_9	AA_permease/SLC12/
TrH2_TrispH2_000277-RA	protein_phosphatase_targeting_COQ7	SpoIIE/
TrH2_TrispH2_000278-RA	rabphilin_3A	FYVE_2/C2/C2/
TrH2_TrispH2_000279-RA	coronin_1C	DUF1899/WD40/WD40/WD40/WD40_4/
TrH2_TrispH2_000280-RA	adaptor_related_protein_complex_3_subunit_delta_1	Adaptin_N/AP3D1/
TrH2_TrispH2_000281-RA	mitochondrial_tRNA_translation_optimization_1	FAD_binding_2/GIDA/GIDA_assoc/
TrH2_TrispH2_000282-RA	telomerase_reverse_transcriptase	Telomerase_RBD/RVT_1/
TrH2_TrispH2_000283-RA		
TrH2_TrispH2_000284-RA	SDS3_homolog_SIN3A_corepressor_complex_component	Sds3/
TrH2_TrispH2_000285-RA	eukaryotic_translation_initiation_factor_3_subunit_I	WD40/WD40/ANAPC4_WD40/
TrH2_TrispH2_000286-RA	CD151_molecule_Raph_blood_group	Tetraspanin/
TrH2_TrispH2_000287-RA	nuclear_cap_binding_subunit_3	NCBP3/
TrH2_TrispH2_000288-RA	argininosuccinate_lyase	Lyase_1/ASL_C2/
TrH2_TrispH2_000289-RA	F_box_and_leucine_rich_repeat_protein_4	F-box-like/LRR_6/LRR_6/
TrH2_TrispH2_000290-RA	kinesin_family_member_12	Kinesin/
TrH2_TrispH2_000291-RA	KIAA1841	DUF3342/
TrH2_TrispH2_000292-RA	TATA_box_binding_protein_associated_factor_7	TAFII55_N/
TrH2_TrispH2_000293-RA	natriuretic_peptide_receptor_1	NIT/Guanylate_cyc/
TrH2_TrispH2_000294-RA	mitochondrial_rRNA_methyltransferase_3	SpoU_methylase/
TrH2_TrispH2_000295-RA	nudix_hydrolase_9	NUDIX/
TrH2_TrispH2_000296-RA	diphthamide_biosynthesis_1	Diphthamide_syn/
TrH2_TrispH2_000297-RA	smoothelin	Smoothelin/CH/
TrH2_TrispH2_000298-RA	leucine_rich_repeat_containing_43	LRR_8/
TrH2_TrispH2_000299-RA	ribosomal_protein_L23a	Ribosomal_L23eN/Ribosomal_L23/
TrH2_TrispH2_000300-RA		DUF3161/
TrH2_TrispH2_000301-RA	GATA_binding_protein_5	GATA/GATA/
TrH2_TrispH2_000302-RA	kinase_suppressor_of_ras_2	SAM_KSR1/C1_1/Pkinase_Tyr/
TrH2_TrispH2_000303-RA	ER_membrane_associated_RNA_degradation	DUF4209/
TrH2_TrispH2_000304-RA		
TrH2_TrispH2_000305-RA	thioredoxin_reductase_2	Pyr_redox_2/Pyr_redox_dim/
