HoiH23_g2.t1		
HoiH23_hyp_clust10028.t1	novel_protein	SRCR/
HoiH23_PlH23_000009-RA	dihydrouridine_synthase_1_like	Dus/tRNA_m1G_MT/
HoiH23_PlH23_000010-RA	actin_related_protein_5	Actin/Actin/
HoiH23_PlH23_000011-RA	G_protein_nucleolar_1_putative	MMR_HSR1/
HoiH23_PlH23_000012-RA	xenotropic_and_polytropic_retrovirus_receptor_1	SPX/SPX/EXS/EXS/
HoiH23_PlH23_000013-RA		TIR_2/SAM_2/
HoiH23_PlH23_000014-RA	syntaxin_6	Syntaxin-6_N/
HoiH23_PlH23_000015-RA	WD_repeat_domain_47	WD40/WD40/WD40/
HoiH23_PlH23_000016-RA	death_domain_associated_protein	
HoiH23_PlH23_000017-RA	zinc_finger_ZZ_type_containing_3	Myb_DNA-binding/
HoiH23_PlH23_000018-RA	mannosidase_alpha_class_1B_member_1	Glyco_hydro_47/
HoiH23_PlH23_000019-RA	G_protein_signaling_modulator_2	TPR_12/TPR_7/TPR_8/TPR_12/GoLoco/GoLoco/GoLoco/GoLoco/
HoiH23_PlH23_000020-RA	synergin_gamma	
HoiH23_PlH23_000021-RA		
HoiH23_PlH23_000022-RA	ATPase_H_transporting_V1_subunit_G1	V-ATPase_G/
HoiH23_PlH23_000023-RA	monocyte_to_macrophage_differentiation_associated_2	HlyIII/
HoiH23_PlH23_000024-RA	RNA_polymerase_III_subunit_H	SHS2_Rpb7-N/RNA_pol_Rbc25/
HoiH23_PlH23_000025-RA	BRISC_and_BRCA1_A_complex_member_1	VWA_2/
HoiH23_PlH23_000026-RA	heat_shock_protein_family_A_Hsp70_member_5	HSP70/
HoiH23_PlH23_000027-RA	DDB1_and_CUL4_associated_factor_10	WD40/WD40/
HoiH23_PlH23_000028-RA	SET_nuclear_proto_oncogene	NAP/
HoiH23_PlH23_000029-RA	NADP_dependent_oxidoreductase_domain_containing_1	F420_oxidored/
HoiH23_PlH23_000030-RA	DExH_box_helicase_9	dsrm/Helicase_C/HA2/OB_NTP_bind/
HoiH23_PlH23_000031-RA	neuropeptide_FF_receptor_2	7tm_1/
HoiH23_PlH23_000032-RA		7tm_1/
HoiH23_PlH23_000033-RA	solute_carrier_family_15_member_4	PTR2/
HoiH23_PlH23_000034-RA	DNA_damage_regulated_autophagy_modulator_2	Frag1/
HoiH23_PlH23_000035-RA	microsomal_glutathione_S_transferase_1	MAPEG/
HoiH23_PlH23_000036-RA	microsomal_glutathione_S_transferase_1	MAPEG/
HoiH23_PlH23_000037-RA	microsomal_glutathione_S_transferase_1	MAPEG/
HoiH23_PlH23_000038-RA	microsomal_glutathione_S_transferase_1	MAPEG/
HoiH23_PlH23_000039-RA	argininosuccinate_synthase_1	Arginosuc_synth/
HoiH23_PlH23_000040-RA	PPAN_P2RY11_readthrough	Brix/
HoiH23_PlH23_000041-RA	microsomal_glutathione_S_transferase_1	
HoiH23_PlH23_000042-RA	SWT1_RNA_endoribonuclease_homolog	PIN_4/
HoiH23_PlH23_000043-RA	laminin_subunit_gamma_1	Laminin_N/Laminin_EGF/Laminin_EGF/Laminin_EGF/Laminin_EGF/Laminin_B/Laminin_EGF/Laminin_EGF/Laminin_EGF/Laminin_EGF/Laminin_EGF/
HoiH23_PlH23_000044-RA	neural_proliferation_differentiation_and_control_1	NPDC1/
HoiH23_PlH23_000045-RA	ATP_binding_cassette_subfamily_F_member_1	ABC_tran/ABC_tran/
HoiH23_PlH23_000046-RA	WD_repeat_domain_31	WD40/WD40/WD40/
HoiH23_PlH23_000047-RA	phosphatidylinositol_glycan_anchor_biosynthesis_class_C	GPI2/GPI2/
HoiH23_PlH23_000048-RA	deoxynucleotidyltransferase_terminal_interacting_protein_2	Fcf2/
HoiH23_PlH23_000049-RA	jumonji_domain_containing_8	Cupin_8/
HoiH23_PlH23_000050-RA	proteasome_26S_subunit_non_ATPase_12	PCI/RPN5_C/
HoiH23_PlH23_000051-RA		DUF1180/
HoiH23_PlH23_000052-RA	X_prolyl_aminopeptidase_3	AMP_N/Peptidase_M24/
HoiH23_PlH23_000053-RA	GrpE_like_1_mitochondrial	GrpE/
HoiH23_PlH23_000054-RA	ankyrin_repeat_domain_42	Ank_2/Ank_2/
HoiH23_PlH23_000055-RA	clathrin_light_chain_B	Clathrin_lg_ch/
HoiH23_PlH23_000056-RA	pre_mRNA_processing_factor_4	PRP4/WD40/WD40/WD40/WD40/WD40/WD40/
HoiH23_PlH23_000057-RA	yippee_like_5	Yippee-Mis18/
HoiH23_PlH23_000058-RA	LUC7_like_2_pre_mRNA_splicing_factor	LUC7/
HoiH23_PlH23_000059-RA	chibby_family_member_1_beta_catenin_antagonist	Chibby/
HoiH23_PlH23_000060-RA	cilia_and_flagella_associated_protein_157	
HoiH23_PlH23_000061-RA	sperm_antigen_with_calponin_homology_and_coiled_coil_domains_1_like	CH/DUF3585/
HoiH23_PlH23_000062-RA	BRO1_domain_and_CAAX_motif_containing	BRO1/
HoiH23_PlH23_000063-RA	ubiquitin_conjugating_enzyme_E2_S	UQ_con/
HoiH23_PlH23_000064-RA	TGF_beta_activated_kinase_1_MAP3K7_binding_protein_1	PP2C/
HoiH23_PlH23_000065-RA	RAB14_member_RAS_oncogene_family	Ras/
HoiH23_PlH23_000066-RA		
HoiH23_PlH23_000067-RA	fukutin_related_protein	LicD/
HoiH23_PlH23_000068-RA		DUF4612/
HoiH23_PlH23_000069-RA	plexin_domain_containing_2	Lectin_C/
HoiH23_PlH23_000070-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_5/Ank_4/Ank_2/Ank_2/Ank_2/Ank_2/
HoiH23_PlH23_000071-RA	Ral_GEF_with_PH_domain_and_SH3_binding_motif_2	RasGEF/
HoiH23_PlH23_000072-RA	tectonic_family_member_3	DUF1619/DUF1619/
HoiH23_PlH23_000073-RA	aminolevulinate_dehydratase	ALAD/
HoiH23_PlH23_000074-RA	phosphohistidine_phosphatase_1	Ocnus/
HoiH23_PlH23_000075-RA	SNAP_associated_protein	Snapin_Pallidin/
HoiH23_PlH23_000076-RA	DnaJ_heat_shock_protein_family_Hsp40_member_C19	
HoiH23_PlH23_000077-RA	debranching_RNA_lariats_1	DBR1/DBR1/
HoiH23_PlH23_000078-RA	debranching_RNA_lariats_1	
HoiH23_PlH23_000079-RA	syntaxin_8	
HoiH23_PlH23_000080-RA	netrin_1	Laminin_EGF/Laminin_EGF/NTR/
HoiH23_PlH23_000081-RA		
HoiH23_PlH23_000082-RA	signal_peptidase_complex_subunit_2	SPC25/
HoiH23_PlH23_000083-RA	WD_repeat_domain_46	WD40/BING4CT/
HoiH23_PlH23_000084-RA	ribosomal_protein_S18	Ribosomal_S13/
HoiH23_PlH23_000085-RA	alpha_and_gamma_adaptin_binding_protein	Adaptin_binding/
HoiH23_PlH23_000086-RA	bromodomain_containing_2	Bromodomain/Bromodomain/BET/BRD4_CDT/
HoiH23_PlH23_000087-RA		
HoiH23_PlH23_000088-RA	nuclear_receptor_subfamily_2_group_F_member_1	zf-C4/Hormone_recep/
HoiH23_PlH23_000089-RA	beta_1_3_galactosyltransferase_1	Galactosyl_T/
HoiH23_PlH23_000090-RA	formin_binding_protein_1	FCH/SH3_1/
HoiH23_PlH23_000091-RA	rhomboid_5_homolog_1	Rhomboid/
HoiH23_PlH23_000092-RA	coiled_coil_domain_containing_57	
HoiH23_PlH23_000093-RA	RAB_guanine_nucleotide_exchange_factor_1	zf-A20/VPS9/
HoiH23_PlH23_000094-RA	sphingolipid_transporter_1_putative	MFS_1/
HoiH23_PlH23_000095-RA		RPEL/
HoiH23_PlH23_000096-RA	forkhead_box_J1	Forkhead/
HoiH23_PlH23_000097-RA	WW_domain_binding_protein_11	Wbp11/
HoiH23_PlH23_000098-RA	exocyst_complex_component_7	Exo70/
HoiH23_PlH23_000099-RA	mitotic_arrest_deficient_1_like_1	MAD/
HoiH23_PlH23_000100-RA	RNA_exonuclease_5	
HoiH23_PlH23_000101-RA	N_alpha_acetyltransferase_60_NatF_catalytic_subunit	
HoiH23_PlH23_000102-RA		Tom22/
HoiH23_PlH23_000103-RA	asparaginyl_tRNA_synthetase_2_mitochondrial	tRNA_anti-codon/tRNA-synt_2/
HoiH23_PlH23_000104-RA	xylosyltransferase_2	Branch/Xylo_C/
HoiH23_PlH23_000105-RA	acyl_CoA_dehydrogenase_very_long_chain	Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
HoiH23_PlH23_000106-RA	ERI1_exoribonuclease_family_member_2	RNase_T/zf-GRF/
HoiH23_PlH23_000107-RA	syntaxin_8	
HoiH23_PlH23_000108-RA	ferredoxin_reductase	Pyr_redox_2/
HoiH23_PlH23_000109-RA	UBA_like_domain_containing_2	UBA_4/
HoiH23_PlH23_000110-RA	galectin_3_binding_protein	SRCR/EGF/EGF/SRCR/EGF/EGF_CA/SRCR/EGF/SRCR/EGF_CA/EGF_CA/EGF_CA/EGF_CA/
HoiH23_PlH23_000111-RA		
HoiH23_PlH23_000112-RA	testis_expressed_47	
HoiH23_PlH23_000113-RA	ring_finger_protein_157	zf-C3HC4_3/
HoiH23_PlH23_000114-RA	serine_threonine_kinase_19	Stk19/
HoiH23_PlH23_000115-RA	trace_amine_associated_receptor_2	7tm_1/
HoiH23_PlH23_000116-RA		Ependymin/
HoiH23_PlH23_000117-RA		Ependymin/
HoiH23_PlH23_000118-RA		
HoiH23_PlH23_000119-RA		Ependymin/
HoiH23_PlH23_000120-RA		Ependymin/
HoiH23_PlH23_000121-RA		Ependymin/
HoiH23_PlH23_000122-RA		
HoiH23_PlH23_000123-RA	ependymin_related_1	Ependymin/
HoiH23_PlH23_000124-RA	ankyrin_repeat_and_BTB_domain_containing_1	Ank_2/BTB/BTB/
HoiH23_PlH23_000125-RA		
HoiH23_PlH23_000126-RA		
HoiH23_PlH23_000127-RA	nudix_hydrolase_1	NUDIX/
HoiH23_PlH23_000128-RA	cytochrome_P450_family_46_subfamily_A_member_1	p450/
HoiH23_PlH23_000129-RA	MTOR_associated_protein_LST8_homolog	WD40/WD40/WD40/WD40/
HoiH23_PlH23_000130-RA	glutamine_rich_2	DUF4795/
HoiH23_PlH23_000131-RA	methyltransferase_like_26	DUF938/
HoiH23_PlH23_000132-RA	bifunctional_apoptosis_regulator	zf-C3HC4/SAM_1/
HoiH23_PlH23_000133-RA	meiosis_spermiogenesis_associated_1	Meiosis_expr/
HoiH23_PlH23_000134-RA	nudE_neurodevelopment_protein_1_like_1	NUDE_C/
HoiH23_PlH23_000135-RA		
HoiH23_PlH23_000136-RA	ubiquitin_specific_peptidase_31	UCH/
HoiH23_PlH23_000137-RA	leucine_carboxyl_methyltransferase_1	LCM/
HoiH23_PlH23_000138-RA	F_box_protein_11	F-box/Ank_2/
HoiH23_PlH23_000139-RA	glucosidase_alpha_acid	Trefoil/NtCtMGAM_N/Gal_mutarotas_2/Glyco_hydro_31/
HoiH23_PlH23_000140-RA	WD_repeat_domain_45B	WD40/WD40/
HoiH23_PlH23_000141-RA	post_GPI_attachment_to_proteins_inositol_deacylase_1	PGAP1/
HoiH23_PlH23_000142-RA	ELOVL_fatty_acid_elongase_6	ELO/
HoiH23_PlH23_000143-RA	vanin_1	CN_hydrolase/Vanin_C/
HoiH23_PlH23_000144-RA	solute_carrier_family_38_member_10	Aa_trans/
HoiH23_PlH23_000145-RA	nucleoporin_85	Nucleopor_Nup85/
HoiH23_PlH23_000146-RA	axin_2	RGS/DIX/
HoiH23_PlH23_000147-RA	alcohol_dehydrogenase_5_class_III_chi_polypeptide	ADH_N/ADH_zinc_N/
HoiH23_PlH23_000148-RA	alcohol_dehydrogenase_6_class_V	ADH_N/ADH_zinc_N/
HoiH23_PlH23_000149-RA	mitochondrial_trans_2_enoyl_CoA_reductase	ADH_N/ADH_zinc_N/
HoiH23_PlH23_000150-RA	hepatocyte_growth_factor_regulated_tyrosine_kinase_substrate	VHS/FYVE/Hrs_helical/
HoiH23_PlH23_000151-RA	coagulation_factor_VIII_associated_1	SNAP/
HoiH23_PlH23_000152-RA	calcium_voltage_gated_channel_subunit_alpha1_C	Ion_trans/Ion_trans/Ion_trans/Ion_trans/GPHH/Ca_chan_IQ/
HoiH23_PlH23_000153-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_3/Ank_2/Ank_4/Ank_2/Ank_2/Ank_4/Ank_5/
HoiH23_PlH23_000154-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ion_trans/
HoiH23_PlH23_000155-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/Ank_2/Ank_2/Ank_4/Ank_2/Ank_2/
HoiH23_PlH23_000156-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_5/Ank_2/Ank_2/Ank_2/Ank_2/Ank_5/Ion_trans/
HoiH23_PlH23_000157-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_4/Ank_3/Ank/Ank_2/Ank_2/Ank_2/Ank_5/Ion_trans/
HoiH23_PlH23_000158-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_4/Ank_2/Ank_2/Ank_4/Ank_2/Ank_2/Ank_2/
HoiH23_PlH23_000159-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/Ank_2/Ank_2/Ank_2/Ank_3/Ank_2/
HoiH23_PlH23_000160-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/Ank_2/Ank_4/Ank_5/Ank_2/Ank_4/
HoiH23_PlH23_000161-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	
HoiH23_PlH23_000162-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_3/Ank_2/Ank_2/Ank_3/Ank_2/Ank_3/Ank_2/
HoiH23_PlH23_000163-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_5/Ank_2/Ank_4/Ank_2/Ank_2/Ank_2/
HoiH23_PlH23_000164-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_5/Ank_2/Ank_4/Ank_2/Ank_2/Ion_trans/Ank_4/Ank_4/Ank_2/Ank_2/Ank_4/Ank_2/Ion_trans/
HoiH23_PlH23_000165-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_5/Ank_3/Ank_2/Ank_4/Ank_2/Ank_5/
HoiH23_PlH23_000166-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_5/Ank_2/Ank_2/Ank/Ank_2/Ank/Ank_2/Ion_trans/
HoiH23_PlH23_000167-RA	membrane_bound_O_acyltransferase_domain_containing_7	MBOAT/
HoiH23_PlH23_000169-RA	BRCA1_associated_ATM_activator_1	
HoiH23_PlH23_000170-RA	mitogen_activated_protein_kinase_kinase_4	Pkinase/
HoiH23_PlH23_000171-RA	tubulin_folding_cofactor_D	TFCD_C/
HoiH23_PlH23_000172-RA	tubulin_folding_cofactor_D	TFCD_C/
HoiH23_PlH23_000173-RA	F_box_and_WD_repeat_domain_containing_10	F-box/WD40/WD40/WD40/WD40/
HoiH23_PlH23_000174-RA	dynein_axonemal_heavy_chain_3	DHC_N2/AAA_6/Dynein_AAA_lid/AAA_7/AAA_lid_1/AAA_8/MT/AAA_9/Dynein_heavy/AAA_lid_11/Dynein_C/
HoiH23_PlH23_000175-RA	cold_shock_domain_containing_C2	CSD/
HoiH23_PlH23_000176-RA	ecdysoneless_cell_cycle_regulator	SGT1/
HoiH23_PlH23_000177-RA	bombesin_receptor_subtype_3	7tm_1/
HoiH23_PlH23_000178-RA	opioid_receptor_kappa_1	7tm_1/
HoiH23_PlH23_000179-RA	opioid_receptor_kappa_1	7tm_1/
HoiH23_PlH23_000180-RA	neuropeptide_Y_receptor_Y4_2	7tm_1/
HoiH23_PlH23_000181-RA	neuropeptide_FF_receptor_2	7tm_1/
HoiH23_PlH23_000182-RA	tachykinin_receptor_1	7tm_1/
HoiH23_PlH23_000183-RA		
HoiH23_PlH23_000184-RA	aminoadipate_semialdehyde_dehydrogenase	AMP-binding/PQQ_2/
HoiH23_PlH23_000185-RA		
HoiH23_PlH23_000186-RA		
HoiH23_PlH23_000187-RA	structural_maintenance_of_chromosomes_1A	SMC_N/SMC_hinge/SMC_N/
HoiH23_PlH23_000188-RA	dynein_axonemal_assembly_factor_6	PIH1_CS/
HoiH23_PlH23_000189-RA	LIM_domain_7	
HoiH23_PlH23_000190-RA	TSR1_ribosome_maturation_factor	AARP2CN/RIBIOP_C/RIBIOP_C/
HoiH23_PlH23_000191-RA	unc_50_inner_nuclear_membrane_RNA_binding_protein	UNC-50/
HoiH23_PlH23_000192-RA	carbonic_anhydrase_7	Carb_anhydrase/
HoiH23_PlH23_000193-RA	iodothyronine_deiodinase_1	T4_deiodinase/
HoiH23_PlH23_000194-RA	signal_peptidase_complex_subunit_3	SPC22/
HoiH23_PlH23_000195-RA	ubiquitin_specific_peptidase_12	UCH/
HoiH23_PlH23_000196-RA	centrosomal_protein_135	
HoiH23_PlH23_000197-RA	thioredoxin	Thioredoxin/
HoiH23_PlH23_000198-RA	ATP_binding_cassette_subfamily_E_member_1	RLI/Fer4/ABC_tran/ABC_tran/
HoiH23_PlH23_000199-RA		
HoiH23_PlH23_000200-RA	VPS37A_subunit_of_ESCRT_I	Mod_r/
HoiH23_PlH23_000201-RA	microtubule_interacting_and_trafficking_domain_containing_1	MIT/MIT_C/
HoiH23_PlH23_000202-RA	von_Willebrand_factor_A_domain_containing_3B	VWA_3/VWA_3/DUF4537/DUF4537/DUF4537/
HoiH23_PlH23_000203-RA	CWF19_like_cell_cycle_control_factor_2	CwfJ_C_1/CwfJ_C_2/
HoiH23_PlH23_000204-RA	electron_transfer_flavoprotein_dehydrogenase	Pyr_redox_2/ETF_QO/
HoiH23_PlH23_000205-RA		
HoiH23_PlH23_000206-RA		
HoiH23_PlH23_000207-RA	egl_9_family_hypoxia_inducible_factor_1	zf-MYND/2OG-FeII_Oxy_3/
HoiH23_PlH23_000208-RA		DUF659/
HoiH23_PlH23_000209-RA	endothelial_PAS_domain_protein_1	PAS/PAS_3/
HoiH23_PlH23_000210-RA		
HoiH23_PlH23_000211-RA	IQ_motif_and_ubiquitin_domain_containing	
HoiH23_PlH23_000212-RA	solute_carrier_family_26_member_2	Sulfate_transp/STAS/
HoiH23_PlH23_000213-RA	solute_carrier_family_25_member_20	Mito_carr/Mito_carr/Mito_carr/
HoiH23_PlH23_000214-RA	inositol_1_4_5_trisphosphate_receptor_type_1	Ins145_P3_rec/MIR/RYDR_ITPR/RYDR_ITPR/RIH_assoc/Ion_trans/
HoiH23_PlH23_000215-RA	UTP18_small_subunit_processome_component	WD40/WD40/
HoiH23_PlH23_000216-RA	dynein_axonemal_heavy_chain_12	DHC_N2/AAA_6/Dynein_AAA_lid/AAA_7/AAA_lid_1/AAA_8/MT/AAA_9/Dynein_heavy/AAA_lid_11/Dynein_C/
HoiH23_PlH23_000217-RA		Vg_Tdu/
HoiH23_PlH23_000218-RA	adrenoceptor_beta_2	7tm_1/
HoiH23_PlH23_000219-RA	RIB43A_domain_with_coiled_coils_2	RIB43A/
HoiH23_PlH23_000220-RA	abhydrolase_domain_containing_2_acylglycerol_lipase	Abhydrolase_1/
HoiH23_PlH23_000221-RA	inositol_pentakisphosphate_2_kinase	Ins_P5_2-kin/
HoiH23_PlH23_000222-RA	DnaJ_heat_shock_protein_family_Hsp40_member_B5	DnaJ/
HoiH23_PlH23_000223-RA	beta_1_3_galactosyltransferase_1	Galactosyl_T/
HoiH23_PlH23_000224-RA	GATA_binding_protein_1	GATA/GATA/
HoiH23_PlH23_000225-RA	importin_9	IBN_N/
HoiH23_PlH23_000226-RA	inosine_monophosphate_dehydrogenase_2	IMPDH/CBS/CBS/
HoiH23_PlH23_000227-RA	TraB_domain_containing	TraB/
HoiH23_PlH23_000228-RA	isocitrate_dehydrogenase_NAD_3_non_catalytic_subunit_gamma	Iso_dh/
HoiH23_PlH23_000229-RA	dihydrolipoamide_dehydrogenase	Pyr_redox_2/Pyr_redox_dim/
HoiH23_PlH23_000230-RA	ATPase_H_transporting_accessory_protein_1	ATP-synt_S1/
HoiH23_PlH23_000231-RA	histone_deacetylase_11	Hist_deacetyl/
HoiH23_PlH23_000232-RA	ribophorin_I	Ribophorin_I/
HoiH23_PlH23_000233-RA	prickle_planar_cell_polarity_protein_3	PET/LIM/LIM/LIM/
HoiH23_PlH23_000234-RA	coiled_coil_domain_containing_146	
HoiH23_PlH23_000235-RA		
HoiH23_PlH23_000236-RA	ATPase_plasma_membrane_Ca2_transporting_2	Cation_ATPase_N/E1-E2_ATPase/E1-E2_ATPase/Cation_ATPase/Hydrolase_3/Cation_ATPase_C/ATP_Ca_trans_C/
HoiH23_PlH23_000237-RA	host_cell_factor_C2	Kelch_6/
HoiH23_PlH23_000238-RA	synaptotagmin_1	C2/C2/
HoiH23_PlH23_000239-RA		Sel1/Sel1/Sel1/Death/
HoiH23_PlH23_000240-RA	interleukin_1_receptor_associated_kinase_4	Pkinase/
HoiH23_PlH23_000241-RA		7tm_1/
HoiH23_PlH23_000242-RA	parkin_coregulated	ParcG/
HoiH23_PlH23_000243-RA	origin_recognition_complex_subunit_5	AAA_16/ORC5_C/
HoiH23_PlH23_000244-RA	EF_hand_calcium_binding_domain_10	DUF5582/
HoiH23_PlH23_000245-RA	nucleolar_protein_8	RRM_1/
HoiH23_PlH23_000246-RA	autophagy_related_7	ATG7_N/ThiF/
HoiH23_PlH23_000247-RA	ankyrin_repeat_domain_55	Ank_2/Ank_2/
HoiH23_PlH23_000248-RA	zinc_finger_MYND_type_containing_10	zf-MYND/
HoiH23_PlH23_000249-RA	high_mobility_group_box_3	HMG_box/HMG_box/
HoiH23_PlH23_000250-RA	dual_serine_threonine_and_tyrosine_protein_kinase	Pkinase/
HoiH23_PlH23_000251-RA	mannosidase_alpha_class_1A_member_2	Glyco_hydro_47/
HoiH23_PlH23_000252-RA	opsin_4	7tm_1/
HoiH23_PlH23_000253-RA	SMCR8_C9orf72_complex_subunit	Folliculin/
HoiH23_PlH23_000254-RA		
HoiH23_PlH23_000255-RA	mannosidase_alpha_class_1A_member_2	Glyco_hydro_47/
HoiH23_PlH23_000256-RA	SPT3_homolog_SAGA_and_STAGA_complex_component	TFIID-18kDa/
HoiH23_PlH23_000257-RA	caspase_8_associated_protein_2	
HoiH23_PlH23_000258-RA	centrosomal_protein_85	
HoiH23_PlH23_000259-RA	SPT20_homolog_SAGA_complex_component	Spt20/
HoiH23_PlH23_000261-RA	parkin_RBR_E3_ubiquitin_protein_ligase	ubiquitin/zf-RING_12/zf-RING_14/
HoiH23_PlH23_000262-RA		
HoiH23_PlH23_000263-RA	neurofibromin_2	FERM_N/FERM_M/
HoiH23_PlH23_000264-RA	radixin	FERM_N/FERM_M/FERM_C/ERM/ERM/
HoiH23_PlH23_000265-RA	radial_spoke_head_3	Radial_spoke_3/
HoiH23_PlH23_000266-RA	cysteine_and_histidine_rich_domain_containing_1	CHORD/CHORD/
HoiH23_PlH23_000267-RA	ALG5_dolichyl_phosphate_beta_glucosyltransferase	Glycos_transf_2/
HoiH23_PlH23_000268-RA	SMAD_family_member_1	MH1/MH2/
HoiH23_PlH23_000269-RA	Ran_GTPase_activating_protein_1	LRR_6/LRR_6/LRR_6/LRR_6/RanGAP1_C/
HoiH23_PlH23_000270-RA	TOR_signaling_pathway_regulator	TIP41/
HoiH23_PlH23_000271-RA	growth_factor_receptor_bound_protein_2	SH3_9/SH3_1/SH3_2/
HoiH23_PlH23_000272-RA	chromosome_6_open_reading_frame_118	TSNAXIP1_N/
HoiH23_PlH23_000273-RA	TATA_box_binding_protein_associated_factor_13	TFIID-18kDa/
HoiH23_PlH23_000274-RA	PR_SET_domain_13	zf-C2H2/zf-C2H2/
HoiH23_PlH23_000275-RA	phospholipase_A2_group_X	Phospholip_A2_1/
HoiH23_PlH23_000276-RA	TBC1_domain_containing_kinase	Pkinase/RabGAP-TBC/Rhodanese/
HoiH23_PlH23_000277-RA	dopamine_receptor_D5	7tm_1/
HoiH23_PlH23_000278-RA		
HoiH23_PlH23_000279-RA	HECT_and_RLD_domain_containing_E3_ubiquitin_protein_ligase_2	RCC1/RCC1/RCC1/RCC1/Cyt-b5/MIB_HERC2/Cul7/ANAPC10/RCC1/RCC1/RCC1/RCC1/RCC1/RCC1/RCC1/RCC1/RCC1/RCC1/RCC1/RCC1/RCC1/HECT/
HoiH23_PlH23_000280-RA	Rho_GTPase_activating_protein_6	RhoGAP/
HoiH23_PlH23_000281-RA		
HoiH23_PlH23_000282-RA	dehydrogenase_reductase_11	AMP-binding/AMP-binding_C/PP-binding/NAD_binding_4/adh_short/
HoiH23_PlH23_000283-RA	golgi_associated_PDZ_and_coiled_coil_motif_containing	PDZ/
HoiH23_PlH23_000284-RA	fukutin_related_protein	LicD/
HoiH23_PlH23_000285-RA	HIV_1_Tat_specific_factor_1	RRM_1/RRM_1/
HoiH23_PlH23_000286-RA	aryl_hydrocarbon_receptor	HLH/PAS/PAS_11/
HoiH23_PlH23_000287-RA	centrosomal_protein_43	FOP_dimer/EF-hand_7/
HoiH23_PlH23_000288-RA	EH_domain_containing_3	EHD_N/Dynamin_N/DUF5600/EF-hand_4/
HoiH23_PlH23_000289-RA	EH_domain_containing_3	EHD_N/Dynamin_N/DUF5600/EF-hand_4/
HoiH23_PlH23_000290-RA	pyruvate_dehydrogenase_E1_subunit_alpha_1	E1_dh/
HoiH23_PlH23_000291-RA		FYVE_2/
HoiH23_PlH23_000292-RA	synaptotagmin_like_5	C2/
