Hhon_g00001.t1	zinc_finger_BED_type_containing_6
Hhon_g00134.t1	EARP_complex_and_GARP_complex_interacting_protein_1
Hhon_g00135.t1	transcription_elongation_factor_A2
Hhon_g00136.t1	histidine_triad_nucleotide_binding_protein_3
Hhon_g00137.t1	
Hhon_g00138.t1	transmembrane_protein_65
Hhon_g00139.t1	HECT_domain_E3_ubiquitin_protein_ligase_1
Hhon_g00140.t1	hydroxyacyl_CoA_dehydrogenase_trifunctional_multienzyme_complex_subunit_alpha
Hhon_g00141.t1	
Hhon_g00142.t1	peroxidasin
Hhon_g00143.t1	radial_spoke_head_10_homolog_B2
Hhon_g00144.t1	otoferlin
Hhon_g00145.t1	phosphatidylinositol_3_4_5_trisphosphate_dependent_Rac_exchange_factor_1
Hhon_g00146.t1	MOS_proto_oncogene_serine_threonine_kinase
Hhon_g00147.t1	XK_related_4
Hhon_g00148.t1	XK_related_6
Hhon_g00149.t1	
Hhon_g00150.t1	regulating_synaptic_membrane_exocytosis_1
Hhon_g00151.t1	solute_carrier_family_2_member_12
Hhon_g00152.t1	LTV1_ribosome_biogenesis_factor
Hhon_g00153.t1	small_ArfGAP_1
Hhon_g00154.t1	thioredoxin_reductase_3
Hhon_g00155.t1	NKAP_domain_containing_1
Hhon_g00156.t1	coactivator_associated_arginine_methyltransferase_1
Hhon_g00157.t1	transmembrane_protein_104
Hhon_g00158.t1	transmembrane_protein_104
Hhon_g00159.t1	ATPase_H_transporting_V0_subunit_b
Hhon_g00160.t1	t_SNARE_domain_containing_1
Hhon_g00161.t1	
Hhon_g00162.t1	PET100_cytochrome_c_oxidase_chaperone
Hhon_g00163.t1	phospholipid_phosphatase_3
Hhon_g00164.t1	iron_sulfur_cluster_assembly_1
Hhon_g00165.t1	forkhead_box_I2
Hhon_g00166.t1	actinin_alpha_2
Hhon_g00167.t1	nuclear_factor_I_B
Hhon_g00168.t1	DOT1_like_histone_lysine_methyltransferase
Hhon_g00169.t1	RIC1_homolog_RAB6A_GEF_complex_partner_1
Hhon_g00170.t1	RAD23_homolog_A_nucleotide_excision_repair_protein
Hhon_g00171.t1	glutamate_metabotropic_receptor_5
Hhon_g00172.t1	
Hhon_g00173.t1	kinesin_family_member_2A
Hhon_g00174.t1	mitochondrial_ribosome_associated_GTPase_1
Hhon_g00175.t1	lysine_acetyltransferase_6A
Hhon_g00176.t1	
Hhon_g00177.t1	Tctex1_domain_containing_1
Hhon_g00178.t1	Tctex1_domain_containing_1
Hhon_g00179.t1	
Hhon_g00180.t1	RNA_polymerase_I_subunit_A
Hhon_g00181.t1	
Hhon_g00182.t1	NIM1_serine_threonine_protein_kinase
Hhon_g00183.t1	midnolin
Hhon_g00184.t1	H2B_clustered_histone_13
Hhon_g00185.t1	uroporphyrinogen_decarboxylase
Hhon_g00186.t1	centromere_protein_C
Hhon_g00187.t1	ATP_synthase_F1_subunit_delta
Hhon_g00188.t1	
Hhon_g00189.t1	uroporphyrinogen_decarboxylase
Hhon_g00190.t1	aminopeptidase_O_putative
Hhon_g00191.t1	BTB_domain_containing_19
Hhon_g00192.t1	
Hhon_g00193.t1	synapse_defective_Rho_GTPase_homolog_2
Hhon_g00194.t1	
Hhon_g00195.t1	histone_PARylation_factor_1
Hhon_g00196.t1	vesicle_associated_membrane_protein_3
Hhon_g00197.t1	
Hhon_g00198.t1	cell_division_cycle_20
Hhon_g00199.t1	RPTOR_independent_companion_of_MTOR_complex_2
Hhon_g00200.t1	ketohexokinase
Hhon_g00201.t1	trafficking_protein_particle_complex_5
Hhon_g00202.t1	
Hhon_g00203.t1	endoplasmic_reticulum_metallopeptidase_1
Hhon_g00204.t1	eukaryotic_translation_initiation_factor_2B_subunit_gamma
Hhon_g00205.t1	failed_axon_connections_homolog_metaxin_like_GST_domain_containing
Hhon_g00206.t1	thiosulfate_sulfurtransferase_like_domain_containing_1
Hhon_g00207.t1	mutS_homolog_5
Hhon_g00208.t1	hematopoietic_prostaglandin_D_synthase
Hhon_g00209.t1	glutathione_S_transferase_alpha_1
Hhon_g00210.t1	hematopoietic_prostaglandin_D_synthase
Hhon_g00211.t1	
Hhon_g00212.t1	sphingomyelin_phosphodiesterase_acid_like_3A
Hhon_g00213.t1	sphingomyelin_phosphodiesterase_acid_like_3B
Hhon_g00214.t1	general_transcription_factor_IIIC_subunit_3
Hhon_g00215.t1	nucleolar_protein_10
Hhon_g00216.t1	
Hhon_g00217.t1	
Hhon_g00218.t1	
Hhon_g00219.t1	coiled_coil_domain_containing_178
Hhon_g00220.t1	chromosome_8_open_reading_frame_74
Hhon_g00221.t1	fyn_related_Src_family_tyrosine_kinase
Hhon_g00222.t1	fyn_related_Src_family_tyrosine_kinase
Hhon_g00223.t1	fyn_related_Src_family_tyrosine_kinase
Hhon_g00224.t1	fyn_related_Src_family_tyrosine_kinase
Hhon_g00225.t1	
Hhon_g00226.t1	histone_deacetylase_2
Hhon_g00227.t1	
Hhon_g00228.t1	
Hhon_g00229.t1	
Hhon_g00230.t1	protein_phosphatase_1_regulatory_subunit_42
Hhon_g00231.t1	YES_proto_oncogene_1_Src_family_tyrosine_kinase
Hhon_g00232.t1	coiled_coil_and_C2_domain_containing_1A
Hhon_g00233.t1	nucleoporin_153
Hhon_g00234.t1	
Hhon_g00235.t1	
Hhon_g00236.t1	lysosomal_protein_transmembrane_4_beta
Hhon_g00237.t1	CYFIP_related_Rac1_interactor_B
Hhon_g00238.t1	lysophospholipase_1
Hhon_g00239.t1	family_with_sequence_similarity_91_member_A1
Hhon_g00240.t1	transmembrane_protein_86A
Hhon_g00241.t1	SRY_box_transcription_factor_4
Hhon_g00242.t1	coiled_coil_and_C2_domain_containing_2A
Hhon_g00243.t1	nudix_hydrolase_3
Hhon_g00244.t1	microcephalin_1
Hhon_g00245.t1	EFR3_homolog_B
Hhon_g00246.t1	uridine_cytidine_kinase_1_like_1
Hhon_g00247.t1	Sad1_and_UNC84_domain_containing_1
Hhon_g00248.t1	tRNA_selenocysteine_1_associated_protein_1
Hhon_g00249.t1	adhesion_G_protein_coupled_receptor_L3
Hhon_g00250.t1	adhesion_G_protein_coupled_receptor_D1
Hhon_g00251.t1	
Hhon_g00252.t1	
Hhon_g00253.t1	trafficking_protein_particle_complex_12
Hhon_g00254.t1	POP1_homolog_ribonuclease_P_MRP_subunit
Hhon_g00255.t1	ERCC_excision_repair_6_like_2
Hhon_g00256.t1	
Hhon_g00257.t1	serpin_family_B_member_1
Hhon_g00258.t1	RP1_axonemal_microtubule_associated
Hhon_g00259.t1	mediator_complex_subunit_23
Hhon_g00260.t1	erythrocyte_membrane_protein_band_4.1_like_3
Hhon_g00261.t1	cytochrome_c_oxidase_subunit_5B
Hhon_g00262.t1	
Hhon_g00263.t1	peroxisomal_biogenesis_factor_3
Hhon_g00264.t1	protein_L_isoaspartate_D_aspartate_O_methyltransferase_domain_containing_1
Hhon_g00265.t1	RIO_kinase_1
Hhon_g00266.t1	leucine_rich_repeat_kinase_2
Hhon_g00267.t1	mindbomb_E3_ubiquitin_protein_ligase_1
Hhon_g00268.t1	SPO11_initiator_of_meiotic_double_stranded_breaks
Hhon_g00269.t1	1_acylglycerol_3_phosphate_O_acyltransferase_5
Hhon_g00270.t1	G_protein_nucleolar_2
Hhon_g00271.t1	
Hhon_g00272.t1	eukaryotic_translation_initiation_factor_3_subunit_E
Hhon_g00273.t1	nuclear_receptor_binding_protein_1
Hhon_g00274.t1	HBS1_like_translational_GTPase
Hhon_g00275.t1	HBS1_like_translational_GTPase
Hhon_g00276.t1	tudor_domain_containing_1
Hhon_g00277.t1	XK_related_6
Hhon_g00278.t1	heat_shock_protein_family_A_Hsp70_member_1A
Hhon_g00279.t1	heat_shock_protein_family_A_Hsp70_member_2
Hhon_g00280.t1	UDP_galactose_4_epimerase
Hhon_g00281.t1	UDP_galactose_4_epimerase
Hhon_g00282.t1	
Hhon_g00283.t1	ASXL_transcriptional_regulator_2
Hhon_g00284.t1	DNA_primase_subunit_2
Hhon_g00285.t1	epidermal_growth_factor
Hhon_g00286.t1	EGF_like_domain_multiple_6
Hhon_g00287.t1	nidogen_2
Hhon_g00288.t1	thrombospondin_4
Hhon_g00289.t1	gamma_glutamyl_hydrolase
Hhon_g00290.t1	cytochrome_c_oxidase_assembly_factor_heme_A_farnesyltransferase_COX10
Hhon_g00291.t1	ribonuclease_P_MRP_subunit_p21
Hhon_g00292.t1	CCZ1_homolog_vacuolar_protein_trafficking_and_biogenesis_associated
Hhon_g00293.t1	endo_beta_N_acetylglucosaminidase
Hhon_g00294.t1	solute_carrier_family_36_member_4
Hhon_g00295.t1	fatty_acid_synthase
Hhon_g00296.t1	fatty_acid_synthase
Hhon_g00297.t1	ribonuclease_H2_subunit_A
Hhon_g00298.t1	mediator_complex_subunit_7
Hhon_g00299.t1	ornithine_decarboxylase_1
Hhon_g00300.t1	centrosomal_protein_112
Hhon_g00301.t1	ATP_binding_cassette_subfamily_A_member_3
Hhon_g00302.t1	ubiquitin_family_domain_containing_1
Hhon_g00303.t1	peptidylprolyl_isomerase_F
Hhon_g00304.t1	trans_golgi_network_vesicle_protein_23_homolog_A
Hhon_g00305.t1	RAB37_member_RAS_oncogene_family
Hhon_g00306.t1	oxidoreductase_like_domain_containing_1
Hhon_g00307.t1	nucleotide_binding_protein_1
Hhon_g00308.t1	
Hhon_g00309.t1	ArfGAP_with_dual_PH_domains_1
Hhon_g00310.t1	N_acetyltransferase_9_putative
Hhon_g00311.t1	transmembrane_protein_104
Hhon_g00312.t1	IQ_motif_containing_K
Hhon_g00313.t1	
Hhon_g00314.t1	protein_interacting_with_PRKCA_1
Hhon_g00315.t1	trace_amine_associated_receptor_6
Hhon_g00316.t1	splA_ryanodine_receptor_domain_and_SOCS_box_containing_3
Hhon_g00317.t1	essential_meiotic_structure_specific_endonuclease_1
Hhon_g00318.t1	chromosome_transmission_fidelity_factor_18
Hhon_g00319.t1	forkhead_box_K2
Hhon_g00320.t1	septin_9
Hhon_g00321.t1	mitochondrial_ribosomal_protein_S22
Hhon_g00322.t1	NADH_ubiquinone_oxidoreductase_subunit_B10
Hhon_g00323.t1	RAP2A_member_of_RAS_oncogene_family
Hhon_g00324.t1	
Hhon_g00325.t1	ribosomal_protein_L3
Hhon_g00326.t1	calcineurin_like_phosphoesterase_domain_containing_1
Hhon_g00327.t1	katanin_interacting_protein
Hhon_g00328.t1	
Hhon_g00329.t1	cathepsin_D
Hhon_g00330.t1	synaptic_vesicle_glycoprotein_2B
Hhon_g00331.t1	synaptic_vesicle_glycoprotein_2C
Hhon_g00332.t1	cytochrome_c_oxidase_subunit_6B1
Hhon_g00333.t1	leukocyte_receptor_cluster_member_8
Hhon_g00334.t1	
Hhon_g00335.t1	
Hhon_g00336.t1	centriolar_coiled_coil_protein_110
Hhon_g00337.t1	myosin_XVA
Hhon_g00338.t1	tRNA_splicing_endonuclease_subunit_54
Hhon_g00339.t1	serine_hydroxymethyltransferase_2
Hhon_g00340.t1	mitochondrial_ribosomal_protein_S18A
Hhon_g00341.t1	
Hhon_g00342.t1	
Hhon_g00343.t1	
Hhon_g00344.t1	signal_transducer_and_activator_of_transcription_4
Hhon_g00345.t1	short_chain_dehydrogenase_reductase_family_42E_member_1
Hhon_g00346.t1	protein_kinase_cAMP_dependent_type_I_regulatory_subunit_alpha
Hhon_g00347.t1	chromosome_7_open_reading_frame_50
Hhon_g00348.t1	elaC_ribonuclease_Z_2
Hhon_g00349.t1	FYVE_and_coiled_coil_domain_autophagy_adaptor_1
Hhon_g00350.t1	NPL4_homolog_ubiquitin_recognition_factor
Hhon_g00351.t1	ribosomal_protein_L21
Hhon_g00352.t1	WW_domain_binding_protein_2
Hhon_g00353.t1	abl_interactor_2
Hhon_g00354.t1	calcium_calmodulin_dependent_protein_kinase_I
Hhon_g00355.t1	calcium_calmodulin_dependent_protein_kinase_IV
Hhon_g00356.t1	protein_kinase_D2
Hhon_g00357.t1	
Hhon_g00358.t1	solute_carrier_family_35_member_B1
Hhon_g00359.t1	serine_hydroxymethyltransferase_2
Hhon_g00360.t1	solute_carrier_family_34_member_2
Hhon_g00361.t1	glycogenin_1
Hhon_g00362.t1	mediator_complex_subunit_8
Hhon_g00363.t1	transient_receptor_potential_cation_channel_subfamily_A_member_1
Hhon_g00364.t1	transient_receptor_potential_cation_channel_subfamily_A_member_1
Hhon_g00365.t1	transient_receptor_potential_cation_channel_subfamily_A_member_1
Hhon_g00366.t1	transient_receptor_potential_cation_channel_subfamily_A_member_1
Hhon_g00367.t1	transient_receptor_potential_cation_channel_subfamily_A_member_1
Hhon_g00368.t1	signal_transducer_and_activator_of_transcription_4
Hhon_g00369.t1	transient_receptor_potential_cation_channel_subfamily_A_member_1
Hhon_g00370.t1	signal_transducer_and_activator_of_transcription_5B
Hhon_g00371.t1	
Hhon_g00372.t1	ataxin_10
Hhon_g00373.t1	aspartyl_aminopeptidase
Hhon_g00374.t1	signal_transducer_and_activator_of_transcription_1
Hhon_g00375.t1	signal_transducer_and_activator_of_transcription_6
Hhon_g00376.t1	
Hhon_g00377.t1	signal_transducer_and_activator_of_transcription_5A
Hhon_g00378.t1	proteasome_26S_subunit_non_ATPase_3
Hhon_g00379.t1	solute_carrier_family_11_member_1
Hhon_g00380.t1	solute_carrier_family_11_member_1
Hhon_g00381.t1	hemicentin_1
Hhon_g00382.t1	deleted_in_malignant_brain_tumors_1
Hhon_g00383.t1	nuclear_envelope_integral_membrane_protein_1
Hhon_g00384.t1	DNA_cross_link_repair_1C
Hhon_g00385.t1	deleted_in_malignant_brain_tumors_1
Hhon_g00386.t1	peroxidasin_like
Hhon_g00387.t1	peroxidasin_like
Hhon_g00388.t1	deleted_in_malignant_brain_tumors_1
Hhon_g00389.t1	non_SMC_condensin_II_complex_subunit_G2
Hhon_g00390.t1	
Hhon_g00391.t1	TRAF3_interacting_protein_1
Hhon_g00392.t1	NADH_ubiquinone_oxidoreductase_subunit_A8
Hhon_g00393.t1	
Hhon_g00394.t1	
Hhon_g00395.t1	
Hhon_g00396.t1	tachykinin_receptor_1
Hhon_g00397.t1	rhomboid_domain_containing_1
Hhon_g00398.t1	5_hydroxytryptamine_receptor_1D
Hhon_g00399.t1	phosphopantothenoylcysteine_synthetase
Hhon_g00400.t1	solute_carrier_family_34_member_2
Hhon_g00401.t1	formation_of_mitochondrial_complex_V_assembly_factor_1_homolog
Hhon_g00402.t1	cubilin
Hhon_g00403.t1	ATPase_H_transporting_V1_subunit_F
Hhon_g00404.t1	methylsterol_monooxygenase_1
Hhon_g00405.t1	
Hhon_g00406.t1	solute_carrier_family_46_member_1
Hhon_g00407.t1	ArfGAP_with_GTPase_domain_ankyrin_repeat_and_PH_domain_1
Hhon_g00408.t1	HUS1_checkpoint_clamp_component
Hhon_g00409.t1	peptidylprolyl_isomerase_G
Hhon_g00410.t1	semaphorin_5A
Hhon_g00411.t1	VPS16_core_subunit_of_CORVET_and_HOPS_complexes
Hhon_g00412.t1	ring_finger_protein_32
Hhon_g00413.t1	translin
Hhon_g00414.t1	semaphorin_5B
Hhon_g00415.t1	sclerostin_domain_containing_1
Hhon_g00416.t1	cullin_1
Hhon_g00417.t1	ETS_variant_transcription_factor_1
Hhon_g00418.t1	REV1_DNA_directed_polymerase
Hhon_g00419.t1	diacylglycerol_kinase_beta
Hhon_g00420.t1	CDP_L_ribitol_pyrophosphorylase_A
Hhon_g00421.t1	prefoldin_subunit_5
Hhon_g00422.t1	
Hhon_g00423.t1	succinate_dehydrogenase_complex_assembly_factor_3
Hhon_g00424.t1	
Hhon_g00425.t1	
Hhon_g00426.t1	DnaJ_heat_shock_protein_family_Hsp40_member_B4
Hhon_g00427.t1	tetraspanin_31
Hhon_g00428.t1	tetraspanin_31
Hhon_g00429.t1	
Hhon_g00430.t1	solute_carrier_family_45_member_2
Hhon_g00431.t1	solute_carrier_family_45_member_2
Hhon_g00432.t1	solute_carrier_family_45_member_2
Hhon_g00433.t1	
Hhon_g00434.t1	solute_carrier_family_45_member_2
Hhon_g00435.t1	solute_carrier_family_45_member_2
Hhon_g00436.t1	
Hhon_g00437.t1	solute_carrier_family_45_member_2
Hhon_g00438.t1	
Hhon_g00439.t1	solute_carrier_family_45_member_2
Hhon_g00440.t1	solute_carrier_family_45_member_2
Hhon_g00441.t1	solute_carrier_family_45_member_2
Hhon_g00442.t1	solute_carrier_family_45_member_2
Hhon_g00443.t1	solute_carrier_family_45_member_2
Hhon_g00444.t1	solute_carrier_family_45_member_2
Hhon_g00445.t1	solute_carrier_family_45_member_2
Hhon_g00446.t1	solute_carrier_family_45_member_2
Hhon_g00447.t1	
Hhon_g00448.t1	single_pass_membrane_protein_with_aspartate_rich_tail_1
Hhon_g00449.t1	G_protein_subunit_alpha_13
Hhon_g00450.t1	G_protein_subunit_alpha_12
Hhon_g00451.t1	solute_carrier_family_25_member_38
Hhon_g00452.t1	ankyrin_repeat_and_fibronectin_type_III_domain_containing_1
Hhon_g00453.t1	tyrosyl_tRNA_synthetase_2
Hhon_g00454.t1	cyclin_F
Hhon_g00455.t1	TBC1_domain_family_member_16
Hhon_g00456.t1	HID1_domain_containing
Hhon_g00457.t1	coiled_coil_domain_containing_40
Hhon_g00458.t1	ubiquitin_conjugating_enzyme_E2_O
Hhon_g00459.t1	penta_EF_hand_domain_containing_1
Hhon_g00460.t1	DEAD_box_helicase_47
Hhon_g00461.t1	activating_transcription_factor_7_interacting_protein_2
Hhon_g00462.t1	
Hhon_g00463.t1	centrosomal_protein_131
Hhon_g00464.t1	CCR4_NOT_transcription_complex_subunit_3
Hhon_g00465.t1	H1.0_linker_histone
Hhon_g00466.t1	enoyl_CoA_hydratase_short_chain_1
Hhon_g00467.t1	C_X9_C_motif_containing_2
Hhon_g00468.t1	
Hhon_g00469.t1	
Hhon_g00470.t1	adenylosuccinate_lyase
Hhon_g00471.t1	actin_related_protein_8
Hhon_g00472.t1	pentatricopeptide_repeat_domain_1
Hhon_g00473.t1	ankyrin_2
Hhon_g00474.t1	protein_kinase_DNA_activated_catalytic_subunit
Hhon_g00475.t1	
Hhon_g00476.t1	
Hhon_g00477.t1	
Hhon_g00478.t1	
Hhon_g00479.t1	
Hhon_g00480.t1	
Hhon_g00481.t1	
Hhon_g00482.t1	potassium_inwardly_rectifying_channel_subfamily_J_member_10
Hhon_g00483.t1	
Hhon_g00484.t1	UBX_domain_protein_4
Hhon_g00485.t1	DnaJ_heat_shock_protein_family_Hsp40_member_C9
Hhon_g00486.t1	5_methyltetrahydrofolate_homocysteine_methyltransferase_reductase
Hhon_g00487.t1	gamma_glutamylamine_cyclotransferase
Hhon_g00488.t1	non_homologous_end_joining_factor_1
Hhon_g00489.t1	chromosome_7_open_reading_frame_31
Hhon_g00490.t1	
Hhon_g00491.t1	heterogeneous_nuclear_ribonucleoprotein_A1_like_2
Hhon_g00492.t1	
Hhon_g00493.t1	SNF2_histone_linker_PHD_RING_helicase
Hhon_g00494.t1	
Hhon_g00495.t1	CDP_diacylglycerol_inositol_3_phosphatidyltransferase
Hhon_g00496.t1	SH3_binding_domain_protein_5_like
Hhon_g00497.t1	kelch_like_family_member_28
Hhon_g00498.t1	kelch_like_family_member_6
Hhon_g00499.t1	kelch_like_family_member_28
Hhon_g00500.t1	kelch_like_family_member_28
Hhon_g00501.t1	kelch_like_family_member_23
Hhon_g00502.t1	kelch_like_family_member_8
Hhon_g00503.t1	kelch_like_family_member_8
Hhon_g00504.t1	
Hhon_g00505.t1	
Hhon_g00506.t1	
Hhon_g00507.t1	
Hhon_g00508.t1	
Hhon_g00509.t1	
Hhon_g00510.t1	
Hhon_g00511.t1	ankyrin_2
Hhon_g00512.t1	DNA_polymerase_alpha_1_catalytic_subunit
Hhon_g00513.t1	DNA_polymerase_alpha_1_catalytic_subunit
Hhon_g00514.t1	spermidine_spermine_N1_acetyltransferase_1
Hhon_g00515.t1	regulatory_factor_X4
Hhon_g00516.t1	
Hhon_g00517.t1	
Hhon_g00518.t1	sodium_leak_channel_non_selective
Hhon_g00519.t1	mitochondrial_intermediate_peptidase
Hhon_g00520.t1	
Hhon_g00521.t1	remodeling_and_spacing_factor_1
Hhon_g00522.t1	
Hhon_g00523.t1	
Hhon_g00524.t1	relaxin_family_peptide_receptor_1
Hhon_g00525.t1	relaxin_family_peptide_receptor_1
Hhon_g00526.t1	relaxin_family_peptide_receptor_1
Hhon_g00527.t1	
Hhon_g00528.t1	
Hhon_g00529.t1	
Hhon_g00530.t1	
Hhon_g00531.t1	
Hhon_g00532.t1	mitogen_activated_protein_kinase_kinase_kinase_2
Hhon_g00533.t1	junction_plakoglobin
Hhon_g00534.t1	prosaposin_like_1
Hhon_g00535.t1	prosaposin
Hhon_g00536.t1	prosaposin_like_1
Hhon_g00537.t1	prosaposin
Hhon_g00538.t1	sulfite_oxidase
Hhon_g00539.t1	coiled_coil_domain_containing_103
Hhon_g00540.t1	NBR1_autophagy_cargo_receptor
Hhon_g00541.t1	phosphodiesterase_12
Hhon_g00542.t1	phosphodiesterase_12
Hhon_g00543.t1	solute_carrier_family_4_member_2
Hhon_g00544.t1	solute_carrier_family_4_member_2
