Hhon_g00001.t1	zinc_finger_BED_type_containing_6	Dimer_Tnp_hAT/
Hhon_g00104.t1	FAT_atypical_cadherin_3	Cadherin/Cadherin/Cadherin/Cadherin/
Hhon_g00105.t1	Abelson_helper_integration_site_1	WD40/SH3_1/
Hhon_g00106.t1	family_with_sequence_similarity_135_member_A	DUF3657/DUF676/
Hhon_g00107.t1	regulator_of_telomere_elongation_helicase_1	DEAD_2/Helicase_C_2/
Hhon_g00108.t1	PAK1_interacting_protein_1	WD40/
Hhon_g00109.t1	DEAD_box_helicase_24	DEAD/Helicase_C/
Hhon_g00110.t1	protein_phosphatase_1_regulatory_subunit_8	FHA/
Hhon_g00111.t1	transmembrane_protein_14C	Tmemb_14/
Hhon_g00112.t1	trimethylguanosine_synthase_1	Methyltransf_15/
Hhon_g00113.t1	regulator_of_G_protein_signaling_22	RGS/RGS/
Hhon_g00114.t1	ADP_ribosylation_factor_related_protein_1	Arf/
Hhon_g00115.t1	histocompatibility_minor_13	Peptidase_A22B/
Hhon_g00116.t1	adhesion_G_protein_coupled_receptor_D1	Lectin_C/GPS/7tm_2/
Hhon_g00117.t1	protein_O_fucosyltransferase_1	O-FucT/
Hhon_g00118.t1	adhesion_G_protein_coupled_receptor_D1	Lectin_C/GPS/7tm_2/
Hhon_g00119.t1	ribosomal_protein_S7	Ribosomal_S7e/
Hhon_g00120.t1		
Hhon_g00121.t1	NIMA_related_kinase_7	Pkinase/
Hhon_g00122.t1	L3MBTL_histone_methyl_lysine_binding_protein_3	MBT/MBT/MBT/SAM_1/
Hhon_g00123.t1	ciliogenesis_associated_kinase_1	Pkinase/
Hhon_g00124.t1	RAB10_member_RAS_oncogene_family	Ras/
Hhon_g00125.t1	EYA_transcriptional_coactivator_and_phosphatase_4	
Hhon_g00126.t1	phosphodiesterase_10A	GAF/PDEase_I/
Hhon_g00127.t1	ATPase_family_AAA_domain_containing_2B	AAA/AAA_lid_3/Bromodomain/
Hhon_g00128.t1	acyl_CoA_synthetase_short_chain_family_member_2	ACAS_N/AMP-binding/AMP-binding_C/
Hhon_g00129.t1	reactive_intermediate_imine_deaminase_A_homolog	Ribonuc_L-PSP/
Hhon_g00130.t1	reactive_intermediate_imine_deaminase_A_homolog	Ribonuc_L-PSP/
Hhon_g00131.t1	NME_NM23_nucleoside_diphosphate_kinase_6	NDK/
Hhon_g00132.t1	replication_termination_factor_2	Rtf2/
Hhon_g00133.t1		SAM_2/TIR_2/
Hhon_g00134.t1	EARP_complex_and_GARP_complex_interacting_protein_1	WD40/
Hhon_g00135.t1	transcription_elongation_factor_A2	Med26/TFIIS_M/TFIIS_C/
Hhon_g00136.t1	histidine_triad_nucleotide_binding_protein_3	DcpS_C/
Hhon_g00137.t1		
Hhon_g00138.t1	transmembrane_protein_65	TMEM65/
Hhon_g00139.t1	HECT_domain_E3_ubiquitin_protein_ligase_1	Ank_2/Ank_2/Ank_2/
Hhon_g00140.t1	hydroxyacyl_CoA_dehydrogenase_trifunctional_multienzyme_complex_subunit_alpha	ECH_1/3HCDH_N/3HCDH/3HCDH/
Hhon_g00141.t1		Ndufs5/
Hhon_g00142.t1	peroxidasin	LRR_8/I-set/An_peroxidase/
Hhon_g00143.t1	radial_spoke_head_10_homolog_B2	MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/
Hhon_g00144.t1	otoferlin	C2/C2/FerI/C2/FerB/C2/C2/C2/C2/Ferlin_C/
Hhon_g00145.t1	phosphatidylinositol_3_4_5_trisphosphate_dependent_Rac_exchange_factor_1	RhoGEF/DEP/DEP/
Hhon_g00146.t1	MOS_proto_oncogene_serine_threonine_kinase	Pkinase/
Hhon_g00147.t1	XK_related_4	XK-related/
Hhon_g00148.t1	XK_related_6	XK-related/
Hhon_g00149.t1		
Hhon_g00150.t1	regulating_synaptic_membrane_exocytosis_1	FYVE_2/C2/C2/
Hhon_g00151.t1	solute_carrier_family_2_member_12	Sugar_tr/
Hhon_g00152.t1	LTV1_ribosome_biogenesis_factor	LTV/LTV/
Hhon_g00153.t1	small_ArfGAP_1	ArfGap/
Hhon_g00154.t1	thioredoxin_reductase_3	Glutaredoxin/DEP/DUF547/
Hhon_g00155.t1	NKAP_domain_containing_1	NKAP/
Hhon_g00156.t1	coactivator_associated_arginine_methyltransferase_1	PrmA/
Hhon_g00157.t1	transmembrane_protein_104	
Hhon_g00158.t1	transmembrane_protein_104	Aa_trans/
Hhon_g00159.t1	ATPase_H_transporting_V0_subunit_b	ATP-synt_C/ATP-synt_C/
Hhon_g00160.t1	t_SNARE_domain_containing_1	Syntaxin_2/SNARE/
Hhon_g00161.t1		CARD/Death/
Hhon_g00162.t1	PET100_cytochrome_c_oxidase_chaperone	Pet100/
Hhon_g00163.t1	phospholipid_phosphatase_3	PAP2/
Hhon_g00164.t1	iron_sulfur_cluster_assembly_1	Fe-S_biosyn/
Hhon_g00165.t1	forkhead_box_I2	DHHC/Forkhead/
Hhon_g00166.t1	actinin_alpha_2	CH/CH/
Hhon_g00167.t1	nuclear_factor_I_B	
Hhon_g00168.t1	DOT1_like_histone_lysine_methyltransferase	DOT1/
Hhon_g00169.t1	RIC1_homolog_RAB6A_GEF_complex_partner_1	RIC1/
Hhon_g00170.t1	RAD23_homolog_A_nucleotide_excision_repair_protein	ubiquitin/UBA/XPC-binding/UBA/
Hhon_g00171.t1	glutamate_metabotropic_receptor_5	ANF_receptor/NCD3G/7tm_3/FGE-sulfatase/FGE-sulfatase/Methyltransf_25/
Hhon_g00172.t1		DinB_2/FGE-sulfatase/FGE-sulfatase/
Hhon_g00173.t1	kinesin_family_member_2A	Kinesin/
Hhon_g00174.t1	mitochondrial_ribosome_associated_GTPase_1	MMR_HSR1/
Hhon_g00175.t1	lysine_acetyltransferase_6A	Linker_histone/PHD/SAM_1/
Hhon_g00176.t1		
Hhon_g00177.t1	Tctex1_domain_containing_1	Tctex-1/
Hhon_g00178.t1	Tctex1_domain_containing_1	Tctex-1/
Hhon_g00179.t1		Sel1/Sel1/Sel1/Sel1/
Hhon_g00180.t1	RNA_polymerase_I_subunit_A	RNA_pol_Rpb1_1/RNA_pol_Rpb1_2/RNA_pol_Rpb1_3/RNA_pol_Rpb1_4/RNA_pol_Rpb1_5/
Hhon_g00181.t1		
Hhon_g00182.t1	NIM1_serine_threonine_protein_kinase	Pkinase/
Hhon_g00183.t1	midnolin	
Hhon_g00184.t1	H2B_clustered_histone_13	Histone/
Hhon_g00185.t1	uroporphyrinogen_decarboxylase	URO-D/
Hhon_g00186.t1	centromere_protein_C	CENP-C_C/
Hhon_g00187.t1	ATP_synthase_F1_subunit_delta	ATP-synt_DE_N/
Hhon_g00188.t1		
Hhon_g00189.t1	uroporphyrinogen_decarboxylase	URO-D/
Hhon_g00190.t1	aminopeptidase_O_putative	Peptidase_M1_N/Peptidase_M1/Leuk-A4-hydro_C/
Hhon_g00191.t1	BTB_domain_containing_19	BTB/BACK/
Hhon_g00192.t1		
Hhon_g00193.t1	synapse_defective_Rho_GTPase_homolog_2	PDZ/RhoGAP/
Hhon_g00194.t1		
Hhon_g00195.t1	histone_PARylation_factor_1	Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/FXa_inhibition/EGF_CA/Ldl_recept_b/Ldl_recept_b/Ldl_recept_b/Ldl_recept_b/DUF2228/
Hhon_g00196.t1	vesicle_associated_membrane_protein_3	Synaptobrevin/
Hhon_g00197.t1		Glycos_transf_2/
Hhon_g00198.t1	cell_division_cycle_20	ANAPC4_WD40/WD40/WD40/WD40/
Hhon_g00199.t1	RPTOR_independent_companion_of_MTOR_complex_2	RICTOR_N/RICTOR_M/RasGEF_N_2/RICTOR_V/
Hhon_g00200.t1	ketohexokinase	PfkB/
Hhon_g00201.t1	trafficking_protein_particle_complex_5	TRAPP/
Hhon_g00202.t1		
Hhon_g00203.t1	endoplasmic_reticulum_metallopeptidase_1	Peptidase_M28/
Hhon_g00204.t1	eukaryotic_translation_initiation_factor_2B_subunit_gamma	NTP_transferase/Hexapep/
Hhon_g00205.t1	failed_axon_connections_homolog_metaxin_like_GST_domain_containing	GST_N_4/GST_C_6/
Hhon_g00206.t1	thiosulfate_sulfurtransferase_like_domain_containing_1	Rhodanese/
Hhon_g00207.t1	mutS_homolog_5	MutS_III/MutS_IV/MutS_V/
Hhon_g00208.t1	hematopoietic_prostaglandin_D_synthase	GST_N/GST_C_3/
Hhon_g00209.t1	glutathione_S_transferase_alpha_1	GST_N/GST_C_3/
Hhon_g00210.t1	hematopoietic_prostaglandin_D_synthase	GST_N/GST_C_3/
Hhon_g00211.t1		
Hhon_g00212.t1	sphingomyelin_phosphodiesterase_acid_like_3A	Metallophos/
Hhon_g00213.t1	sphingomyelin_phosphodiesterase_acid_like_3B	Metallophos/
Hhon_g00214.t1	general_transcription_factor_IIIC_subunit_3	TPR_8/TPR_16/TPR_8/
Hhon_g00215.t1	nucleolar_protein_10	WD40/NUC153/
Hhon_g00216.t1		
Hhon_g00217.t1		
Hhon_g00218.t1		
Hhon_g00219.t1	coiled_coil_domain_containing_178	
Hhon_g00220.t1	chromosome_8_open_reading_frame_74	CLAMP/
Hhon_g00221.t1	fyn_related_Src_family_tyrosine_kinase	SH3_1/SH2/Pkinase_Tyr/
Hhon_g00222.t1	fyn_related_Src_family_tyrosine_kinase	SH3_1/SH2/Pkinase_Tyr/
Hhon_g00223.t1	fyn_related_Src_family_tyrosine_kinase	SH3_1/SH3_1/SH2/Pkinase_Tyr/
Hhon_g00224.t1	fyn_related_Src_family_tyrosine_kinase	SH3_1/SH2/Pkinase_Tyr/
Hhon_g00225.t1		
Hhon_g00226.t1	histone_deacetylase_2	Hist_deacetyl/
Hhon_g00227.t1		Patatin/
Hhon_g00228.t1		
Hhon_g00229.t1		
Hhon_g00230.t1	protein_phosphatase_1_regulatory_subunit_42	LRR_4/
Hhon_g00231.t1	YES_proto_oncogene_1_Src_family_tyrosine_kinase	SH3_1/SH2/Pkinase_Tyr/
Hhon_g00232.t1	coiled_coil_and_C2_domain_containing_1A	C2/
Hhon_g00233.t1	nucleoporin_153	zf-RanBP/zf-RanBP/
Hhon_g00234.t1		SMC_Nse1/zf-RING-like/
Hhon_g00235.t1		
Hhon_g00236.t1	lysosomal_protein_transmembrane_4_beta	
Hhon_g00237.t1	CYFIP_related_Rac1_interactor_B	DUF1394/
Hhon_g00238.t1	lysophospholipase_1	Abhydrolase_2/
Hhon_g00239.t1	family_with_sequence_similarity_91_member_A1	FAM91_N/FAM91_C/
Hhon_g00240.t1	transmembrane_protein_86A	YhhN/
Hhon_g00241.t1	SRY_box_transcription_factor_4	HMG_box/
Hhon_g00242.t1	coiled_coil_and_C2_domain_containing_2A	DUF5523/CC2D2AN-C2/C2/
Hhon_g00243.t1	nudix_hydrolase_3	NUDIX/
Hhon_g00244.t1	microcephalin_1	PTCB-BRCT/BRCT/
Hhon_g00245.t1	EFR3_homolog_B	
Hhon_g00246.t1	uridine_cytidine_kinase_1_like_1	PRK/UPRTase/
Hhon_g00247.t1	Sad1_and_UNC84_domain_containing_1	Sad1_UNC/
Hhon_g00248.t1	tRNA_selenocysteine_1_associated_protein_1	RRM_1/RRM_1/
Hhon_g00249.t1	adhesion_G_protein_coupled_receptor_L3	CUB/GAIN/GPS/7tm_2/RRM_1/RRM_1/
Hhon_g00250.t1	adhesion_G_protein_coupled_receptor_D1	7tm_2/
Hhon_g00251.t1		
Hhon_g00252.t1		
Hhon_g00253.t1	trafficking_protein_particle_complex_12	TPR_8/
Hhon_g00254.t1	POP1_homolog_ribonuclease_P_MRP_subunit	POP1/POP1/POPLD/
Hhon_g00255.t1	ERCC_excision_repair_6_like_2	SMN/SNF2_N/Helicase_C/VIGSSK/
Hhon_g00256.t1		Stathmin/
Hhon_g00257.t1	serpin_family_B_member_1	Serpin/Serpin/
Hhon_g00258.t1	RP1_axonemal_microtubule_associated	DCX/DCX/PLAT/PLAT/FGF/PLAT/PLAT/PLAT/PLAT/PLAT/PLAT/PLAT/PLAT/PLAT/PLAT/
Hhon_g00259.t1	mediator_complex_subunit_23	Med23/
Hhon_g00260.t1	erythrocyte_membrane_protein_band_4.1_like_3	FERM_N/FERM_M/FERM_C/FA/Thymosin/
Hhon_g00261.t1	cytochrome_c_oxidase_subunit_5B	COX5B/
Hhon_g00262.t1		Na_Ca_ex/Na_Ca_ex/
Hhon_g00263.t1	peroxisomal_biogenesis_factor_3	Peroxin-3/Peroxin-3/
Hhon_g00264.t1	protein_L_isoaspartate_D_aspartate_O_methyltransferase_domain_containing_1	PCMT/SOCS_box/
Hhon_g00265.t1	RIO_kinase_1	RIO1/
Hhon_g00266.t1	leucine_rich_repeat_kinase_2	MBT/LRR_8/LRR_8/Roc/COR/TIR_2/TIR_2/
Hhon_g00267.t1	mindbomb_E3_ubiquitin_protein_ligase_1	MIB_HERC2/ZZ/MIB_HERC2/SH3_15/SH3_15/Ank_4/Ank_2/Ank/Ank/zf-C3HC4_3/zf-C3HC4_3/zf-C3HC4_3/
Hhon_g00268.t1	SPO11_initiator_of_meiotic_double_stranded_breaks	TP6A_N/
Hhon_g00269.t1	1_acylglycerol_3_phosphate_O_acyltransferase_5	Acyltransferase/Acyltransf_C/
Hhon_g00270.t1	G_protein_nucleolar_2	NGP1NT/MMR_HSR1/
Hhon_g00271.t1		
Hhon_g00272.t1	eukaryotic_translation_initiation_factor_3_subunit_E	eIF3_N/PCI/
Hhon_g00273.t1	nuclear_receptor_binding_protein_1	Pkinase_Tyr/
Hhon_g00274.t1	HBS1_like_translational_GTPase	HBS1_N/GTP_EFTU/
Hhon_g00275.t1	HBS1_like_translational_GTPase	GTP_EFTU/GTP_EFTU_D3/
Hhon_g00276.t1	tudor_domain_containing_1	TUDOR/TUDOR/TUDOR/TUDOR/
Hhon_g00277.t1	XK_related_6	XK-related/
Hhon_g00278.t1	heat_shock_protein_family_A_Hsp70_member_1A	HSP70/
Hhon_g00279.t1	heat_shock_protein_family_A_Hsp70_member_2	HSP70/RAD51_interact/
Hhon_g00280.t1	UDP_galactose_4_epimerase	GDP_Man_Dehyd/
Hhon_g00281.t1	UDP_galactose_4_epimerase	GDP_Man_Dehyd/
Hhon_g00282.t1		COX6C/
Hhon_g00283.t1	ASXL_transcriptional_regulator_2	ASXH/
Hhon_g00284.t1	DNA_primase_subunit_2	DNA_primase_lrg/
Hhon_g00285.t1	epidermal_growth_factor	EGF_CA/
Hhon_g00286.t1	EGF_like_domain_multiple_6	EGF_CA/
Hhon_g00287.t1	nidogen_2	EGF_CA/
Hhon_g00288.t1	thrombospondin_4	EGF_CA/EGF/
Hhon_g00289.t1	gamma_glutamyl_hydrolase	Peptidase_C26/
Hhon_g00290.t1	cytochrome_c_oxidase_assembly_factor_heme_A_farnesyltransferase_COX10	UbiA/
Hhon_g00291.t1	ribonuclease_P_MRP_subunit_p21	Rpr2/
Hhon_g00292.t1	CCZ1_homolog_vacuolar_protein_trafficking_and_biogenesis_associated	Intu_longin_1/Intu_longin_2/Intu_longin_3/
Hhon_g00293.t1	endo_beta_N_acetylglucosaminidase	Glyco_hydro_85/
Hhon_g00294.t1	solute_carrier_family_36_member_4	Aa_trans/Aa_trans/
Hhon_g00295.t1	fatty_acid_synthase	ketoacyl-synt/Ketoacyl-synt_C/Acyl_transf_1/PS-DH/ADH_zinc_N/KR/PP-binding/Thioesterase/
Hhon_g00296.t1	fatty_acid_synthase	ketoacyl-synt/Ketoacyl-synt_C/KAsynt_C_assoc/Acyl_transf_1/PS-DH/ADH_zinc_N/KR/PP-binding/
Hhon_g00297.t1	ribonuclease_H2_subunit_A	RNase_HII/
Hhon_g00298.t1	mediator_complex_subunit_7	Med7/
Hhon_g00299.t1	ornithine_decarboxylase_1	Orn_Arg_deC_N/Orn_DAP_Arg_deC/
Hhon_g00300.t1	centrosomal_protein_112	DUF4485/
Hhon_g00301.t1	ATP_binding_cassette_subfamily_A_member_3	ABC2_membrane_3/ABC_tran/ABC2_membrane_3/ABC_tran/
Hhon_g00302.t1	ubiquitin_family_domain_containing_1	ubiquitin/
Hhon_g00303.t1	peptidylprolyl_isomerase_F	Pro_isomerase/
Hhon_g00304.t1	trans_golgi_network_vesicle_protein_23_homolog_A	DUF846/
Hhon_g00305.t1	RAB37_member_RAS_oncogene_family	Ras/
Hhon_g00306.t1	oxidoreductase_like_domain_containing_1	Oxidored-like/
Hhon_g00307.t1	nucleotide_binding_protein_1	ParA/
Hhon_g00308.t1		
Hhon_g00309.t1	ArfGAP_with_dual_PH_domains_1	ArfGap/PH/PH/
Hhon_g00310.t1	N_acetyltransferase_9_putative	Acetyltransf_3/
Hhon_g00311.t1	transmembrane_protein_104	Aa_trans/Aa_trans/
Hhon_g00312.t1	IQ_motif_containing_K	IQ/
Hhon_g00313.t1		Exo_endo_phos/
Hhon_g00314.t1	protein_interacting_with_PRKCA_1	PDZ/Arfaptin/
Hhon_g00315.t1	trace_amine_associated_receptor_6	7tm_1/
Hhon_g00316.t1	splA_ryanodine_receptor_domain_and_SOCS_box_containing_3	SPRY/
Hhon_g00317.t1	essential_meiotic_structure_specific_endonuclease_1	
Hhon_g00318.t1	chromosome_transmission_fidelity_factor_18	AAA/
Hhon_g00319.t1	forkhead_box_K2	FHA/Forkhead/
Hhon_g00320.t1	septin_9	Septin/
Hhon_g00321.t1	mitochondrial_ribosomal_protein_S22	MRP-S22/
Hhon_g00322.t1	NADH_ubiquinone_oxidoreductase_subunit_B10	NDUFB10/
Hhon_g00323.t1	RAP2A_member_of_RAS_oncogene_family	Ras/
Hhon_g00324.t1		
Hhon_g00325.t1	ribosomal_protein_L3	Ribosomal_L3/
Hhon_g00326.t1	calcineurin_like_phosphoesterase_domain_containing_1	Metallophos/
Hhon_g00327.t1	katanin_interacting_protein	DUF4457/DUF4457/DUF4457/DUF4457/
Hhon_g00328.t1		
Hhon_g00329.t1	cathepsin_D	Asp/
Hhon_g00330.t1	synaptic_vesicle_glycoprotein_2B	MFS_1/
Hhon_g00331.t1	synaptic_vesicle_glycoprotein_2C	MFS_1/
Hhon_g00332.t1	cytochrome_c_oxidase_subunit_6B1	COX6B/
Hhon_g00333.t1	leukocyte_receptor_cluster_member_8	SAC3_GANP/SAC3_GANP/
Hhon_g00334.t1		
Hhon_g00335.t1		
Hhon_g00336.t1	centriolar_coiled_coil_protein_110	CALM_bind/
Hhon_g00337.t1	myosin_XVA	Myosin_head/Myosin_head/IQ/
Hhon_g00338.t1	tRNA_splicing_endonuclease_subunit_54	tRNA_int_end_N2/
Hhon_g00339.t1	serine_hydroxymethyltransferase_2	SHMT/
Hhon_g00340.t1	mitochondrial_ribosomal_protein_S18A	Ribosomal_S18/
Hhon_g00341.t1		
Hhon_g00342.t1		
Hhon_g00343.t1		
Hhon_g00344.t1	signal_transducer_and_activator_of_transcription_4	
Hhon_g00345.t1	short_chain_dehydrogenase_reductase_family_42E_member_1	3Beta_HSD/
Hhon_g00346.t1	protein_kinase_cAMP_dependent_type_I_regulatory_subunit_alpha	RIIa/cNMP_binding/cNMP_binding/
Hhon_g00347.t1	chromosome_7_open_reading_frame_50	WKF/
Hhon_g00348.t1	elaC_ribonuclease_Z_2	Lactamase_B_4/Lactamase_B_2/
Hhon_g00349.t1	FYVE_and_coiled_coil_domain_autophagy_adaptor_1	RUN/
Hhon_g00350.t1	NPL4_homolog_ubiquitin_recognition_factor	UN_NPL4/zf-NPL4/NPL4/
Hhon_g00351.t1	ribosomal_protein_L21	Ribosomal_L21e/
Hhon_g00352.t1	WW_domain_binding_protein_2	GRAM/
Hhon_g00353.t1	abl_interactor_2	Abi_HHR/SH3_9/
Hhon_g00354.t1	calcium_calmodulin_dependent_protein_kinase_I	Pkinase/
Hhon_g00355.t1	calcium_calmodulin_dependent_protein_kinase_IV	Pkinase/
Hhon_g00356.t1	protein_kinase_D2	Pkinase/
Hhon_g00357.t1		
Hhon_g00358.t1	solute_carrier_family_35_member_B1	UAA/
Hhon_g00359.t1	serine_hydroxymethyltransferase_2	SHMT/
Hhon_g00360.t1	solute_carrier_family_34_member_2	Na_Pi_cotrans/Na_Pi_cotrans/
Hhon_g00361.t1	glycogenin_1	Glyco_transf_8/
Hhon_g00362.t1	mediator_complex_subunit_8	Med8/
Hhon_g00363.t1	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/Ank_4/Ank_2/Ank_2/Ank_2/
Hhon_g00364.t1	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/Ank_2/Ank_2/Ank_2/Ank_2/Ank_2/
Hhon_g00365.t1	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/Ank_4/Ank_4/Ank_2/Ank_2/Ank_5/
Hhon_g00366.t1	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/Ank_2/Ank_2/Ank_4/Ank_2/Ank_2/Ion_trans/
Hhon_g00367.t1	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/Ank_2/Ank_4/Ank_2/Ank_2/
