orthogroup	transcript	species	gene	name
OG_9	Tadh_TriadT50516	Tadh	Tadh_TriadG50516	N_6_adenine_specific_DNA_methyltransferase_1
OG_10	HoiH23_PlH23_008520-RA	HoiH23	HoiH23_PlH23_008520	
OG_10	Hhon_g00021.t1	Hhon	Hhon_g00021.t1	
OG_10	TrH2_TrispH2_000670-RA	TrH2	TrH2_TrispH2_000670	
OG_10	Tadh_wf_g7082.t1	Tadh	Tadh_wf_g7082	
OG_11	Tadh_TriadT36227	Tadh	Tadh_TriadG36227	ATPase_H_transporting_V1_subunit_H
OG_11	HoiH23_PlH23_008515-RA	HoiH23	HoiH23_PlH23_008515	ATPase_H_transporting_V1_subunit_H
OG_11	TrH2_TrispH2_000665-RA	TrH2	TrH2_TrispH2_000665	ATPase_H_transporting_V1_subunit_H
OG_11	Hhon_g00026.t1	Hhon	Hhon_g00026.t1	ATPase_H_transporting_V1_subunit_H
OG_12	Hhon_g00027.t1	Hhon	Hhon_g00027.t1	LKAAEAR_motif_containing_1
OG_12	HoiH23_PlH23_008514-RA	HoiH23	HoiH23_PlH23_008514	LKAAEAR_motif_containing_1
OG_12	Tadh_TriadT58198	Tadh	Tadh_TriadG58198	LKAAEAR_motif_containing_1
OG_12	TrH2_TrispH2_000664-RA	TrH2	TrH2_TrispH2_000664	LKAAEAR_motif_containing_1
OG_13	HoiH23_PlH23_009604-RA	HoiH23	HoiH23_PlH23_009604	RAD52_motif_containing_1
OG_13	Tadh_TriadT58188	Tadh	Tadh_TriadG58188	RAD52_motif_containing_1
OG_13	TrH2_TrispH2_000656-RA	TrH2	TrH2_TrispH2_000656	RAD52_motif_containing_1
OG_13	Hhon_g00034.t1	Hhon	Hhon_g00034.t1	RAD52_motif_containing_1
OG_14	Hhon_g00035.t1	Hhon	Hhon_g00035.t1	apolipoprotein_O
OG_14	HoiH23_PlH23_009603-RA	HoiH23	HoiH23_PlH23_009603	apolipoprotein_O
OG_14	TrH2_TrispH2_000655-RA	TrH2	TrH2_TrispH2_000655	apolipoprotein_O_like
OG_14	Tadh_TriadT58187	Tadh	Tadh_TriadG58187	apolipoprotein_O_like
OG_15	TrH2_TrispH2_000652-RA	TrH2	TrH2_TrispH2_000652	
OG_15	Hhon_g00038.t1	Hhon	Hhon_g00038.t1	
OG_15	HoiH23_PlH23_009600-RA	HoiH23	HoiH23_PlH23_009600	
OG_15	Tadh_wf_g7057.t1	Tadh	Tadh_wf_g7057	
OG_16	HoiH23_PlH23_005222-RA	HoiH23	HoiH23_PlH23_005222	cyclase_associated_actin_cytoskeleton_regulatory_protein_2
OG_16	Tadh_TriadT63338	Tadh	Tadh_TriadG63338	cyclase_associated_actin_cytoskeleton_regulatory_protein_2
OG_16	Hhon_g00050.t1	Hhon	Hhon_g00050.t1	cyclase_associated_actin_cytoskeleton_regulatory_protein_2
OG_16	TrH2_TrispH2_000642-RA	TrH2	TrH2_TrispH2_000642	cyclase_associated_actin_cytoskeleton_regulatory_protein_2
OG_17	Tadh_wf_g7045.t1	Tadh	Tadh_wf_g7045	
OG_17	Hhon_g00052.t1	Hhon	Hhon_g00052.t1	
OG_17	HoiH23_PlH23_005224-RA	HoiH23	HoiH23_PlH23_005224	
OG_17	TrH2_TrispH2_000640-RA	TrH2	TrH2_TrispH2_000640	MORN_repeat_containing_2
OG_18	Hhon_g00056.t1	Hhon	Hhon_g00056.t1	
OG_18	TrH2_TrispH2_000637-RA	TrH2	TrH2_TrispH2_000637	
OG_18	Tadh_TriadT58170	Tadh	Tadh_TriadG58170	
OG_18	HoiH23_PlH23_005227-RA	HoiH23	HoiH23_PlH23_005227	
OG_19	Tadh_TriadT27926	Tadh	Tadh_TriadG27926	glycine_decarboxylase
OG_19	Hhon_g00061.t1	Hhon	Hhon_g00061.t1	glycine_decarboxylase
OG_19	HoiH23_PlH23_005232-RA	HoiH23	HoiH23_PlH23_005232	glycine_decarboxylase
OG_19	TrH2_TrispH2_000632-RA	TrH2	TrH2_TrispH2_000632	glycine_decarboxylase
OG_20	Hhon_g00064.t1	Hhon	Hhon_g00064.t1	COBW_domain_containing_1
OG_20	TrH2_TrispH2_000630-RA	TrH2	TrH2_TrispH2_000630	COBW_domain_containing_1
OG_20	HoiH23_PlH23_005234-RA	HoiH23	HoiH23_PlH23_005234	COBW_domain_containing_1
OG_20	Tadh_TriadT58162	Tadh	Tadh_TriadG58162	COBW_domain_containing_1
OG_21	TrH2_TrispH2_000627-RA	TrH2	TrH2_TrispH2_000627	SAS_6_centriolar_assembly_protein
OG_21	Tadh_wf_g7031.t1	Tadh	Tadh_wf_g7031	SAS_6_centriolar_assembly_protein
OG_21	HoiH23_PlH23_005237-RA	HoiH23	HoiH23_PlH23_005237	SAS_6_centriolar_assembly_protein
OG_21	Hhon_g00067.t1	Hhon	Hhon_g00067.t1	SAS_6_centriolar_assembly_protein
OG_22	Tadh_TriadT58157	Tadh	Tadh_TriadG58157	
OG_22	Hhon_g00069.t1	Hhon	Hhon_g00069.t1	
OG_22	HoiH23_PlH23_005239-RA	HoiH23	HoiH23_PlH23_005239	arylformamidase
OG_22	TrH2_TrispH2_000625-RA	TrH2	TrH2_TrispH2_000625	
OG_23	HoiH23_PlH23_005240-RA	HoiH23	HoiH23_PlH23_005240	
OG_23	TrH2_TrispH2_000624-RA	TrH2	TrH2_TrispH2_000624	
OG_23	Hhon_g00070.t1	Hhon	Hhon_g00070.t1	
OG_23	Tadh_TriadT58156	Tadh	Tadh_TriadG58156	
OG_24	Hhon_g00071.t1	Hhon	Hhon_g00071.t1	
OG_24	TrH2_TrispH2_000623-RA	TrH2	TrH2_TrispH2_000623	
OG_24	Tadh_TriadT58155	Tadh	Tadh_TriadG58155	NADH_ubiquinone_oxidoreductase_subunit_A11
OG_24	HoiH23_PlH23_005241-RA	HoiH23	HoiH23_PlH23_005241	
OG_25	TrH2_TrispH2_000619-RA	TrH2	TrH2_TrispH2_000619	SSX_family_member_2_interacting_protein
OG_25	Hhon_g00074.t1	Hhon	Hhon_g00074.t1	SSX_family_member_2_interacting_protein
OG_25	Tadh_TriadT58152	Tadh	Tadh_TriadG58152	SSX_family_member_2_interacting_protein
OG_25	HoiH23_PlH23_005244-RA	HoiH23	HoiH23_PlH23_005244	
OG_26	HoiH23_PlH23_005255-RA	HoiH23	HoiH23_PlH23_005255	elongation_factor_1_homolog
OG_26	TrH2_TrispH2_000607-RA	TrH2	TrH2_TrispH2_000607	elongation_factor_1_homolog
OG_26	Tadh_TriadT49494	Tadh	Tadh_TriadG49494	elongation_factor_1_homolog
OG_26	Hhon_g00082.t1	Hhon	Hhon_g00082.t1	elongation_factor_1_homolog
OG_27	Hhon_g00086.t1	Hhon	Hhon_g00086.t1	DDB1_and_CUL4_associated_factor_15
OG_27	HoiH23_PlH23_010769-RA	HoiH23	HoiH23_PlH23_010769	DDB1_and_CUL4_associated_factor_15
OG_27	Tadh_TriadT58134	Tadh	Tadh_TriadG58134	DDB1_and_CUL4_associated_factor_15
OG_27	TrH2_TrispH2_000602-RA	TrH2	TrH2_TrispH2_000602	DDB1_and_CUL4_associated_factor_15
OG_28	Hhon_g00091.t1	Hhon	Hhon_g00091.t1	heat_shock_protein_family_B_small_member_11
OG_28	Tadh_TriadT58129	Tadh	Tadh_TriadG58129	heat_shock_protein_family_B_small_member_11
OG_28	TrH2_TrispH2_000597-RA	TrH2	TrH2_TrispH2_000597	heat_shock_protein_family_B_small_member_11
OG_28	HoiH23_PlH23_002813-RA	HoiH23	HoiH23_PlH23_002813	heat_shock_protein_family_B_small_member_11
OG_29	Tadh_TriadT64084	Tadh	Tadh_TriadG64084	bZIP.HG1.9:JUN/JUNB/JUND
OG_29	TrH2_TrispH2_000596-RA	TrH2	TrH2_TrispH2_000596	bZIP.HG1.9:JUN/JUNB/JUND
OG_29	Hhon_g00092.t1	Hhon	Hhon_g00092.t1	bZIP.HG1.9:JUN/JUNB/JUND
OG_29	HoiH23_PlH23_002814-RA	HoiH23	HoiH23_PlH23_002814	bZIP.HG1.9:JUN/JUNB/JUND
OG_30	HoiH23_PlH23_002816-RA	HoiH23	HoiH23_PlH23_002816	thyroid_hormone_receptor_interactor_4
OG_30	Hhon_g00094.t1	Hhon	Hhon_g00094.t1	thyroid_hormone_receptor_interactor_4
OG_30	Tadh_TriadT58126	Tadh	Tadh_TriadG58126	thyroid_hormone_receptor_interactor_4
OG_30	TrH2_TrispH2_000594-RA	TrH2	TrH2_TrispH2_000594	thyroid_hormone_receptor_interactor_4
OG_31	HoiH23_PlH23_002817-RA	HoiH23	HoiH23_PlH23_002817	thioredoxin_domain_containing_15
OG_31	Hhon_g00095.t1	Hhon	Hhon_g00095.t1	thioredoxin_domain_containing_15
OG_31	Tadh_TriadT58125	Tadh	Tadh_TriadG58125	thioredoxin_domain_containing_15
OG_31	TrH2_TrispH2_000593-RA	TrH2	TrH2_TrispH2_000593	thioredoxin_domain_containing_15
OG_32	HoiH23_PlH23_003332-RA	HoiH23	HoiH23_PlH23_003332	tonsoku_like_DNA_repair_protein
OG_32	TrH2_TrispH2_001565-RA	TrH2	TrH2_TrispH2_001565	tonsoku_like_DNA_repair_protein
OG_32	Hhon_g02599.t1	Hhon	Hhon_g02599.t1	tonsoku_like_DNA_repair_protein
OG_32	Tadh_TriadT55679	Tadh	Tadh_TriadG55679	tonsoku_like_DNA_repair_protein
OG_32	Tadh_TriadT55680	Tadh	Tadh_TriadG55680	tonsoku_like_DNA_repair_protein
OG_33	HoiH23_PlH23_004648-RA	HoiH23	HoiH23_PlH23_004648	NLR_family_pyrin_domain_containing_3
OG_33	Hhon_g03402.t1	Hhon	Hhon_g03402.t1	NLR_family_pyrin_domain_containing_3
OG_33	Tadh_TriadT61828	Tadh	Tadh_TriadG61828	
OG_33	TrH2_TrispH2_005547-RA	TrH2	TrH2_TrispH2_005547	
OG_34	Tadh_TriadT58124	Tadh	Tadh_TriadG58124	
OG_34	TrH2_TrispH2_000592-RA	TrH2	TrH2_TrispH2_000592	
OG_34	Hhon_g00096.t1	Hhon	Hhon_g00096.t1	NLR_family_pyrin_domain_containing_8
OG_34	HoiH23_PlH23_002818-RA	HoiH23	HoiH23_PlH23_002818	
OG_35	Tadh_TriadT36212	Tadh	Tadh_TriadG36212	ribosomal_protein_S12
OG_35	TrH2_TrispH2_000590-RA	TrH2	TrH2_TrispH2_000590	ribosomal_protein_S12
OG_35	HoiH23_PlH23_002820-RA	HoiH23	HoiH23_PlH23_002820	ribosomal_protein_S12
OG_35	Hhon_g00098.t1	Hhon	Hhon_g00098.t1	ribosomal_protein_S12
OG_36	HoiH23_PlH23_002825-RA	HoiH23	HoiH23_PlH23_002825	oxidative_stress_responsive_serine_rich_1
OG_36	Hhon_g00103.t1	Hhon	Hhon_g00103.t1	oxidative_stress_responsive_serine_rich_1
OG_36	Tadh_TriadT58117	Tadh	Tadh_TriadG58117	oxidative_stress_responsive_serine_rich_1
OG_36	TrH2_TrispH2_000585-RA	TrH2	TrH2_TrispH2_000585	oxidative_stress_responsive_serine_rich_1
OG_37	Tadh_TriadT58113	Tadh	Tadh_TriadG58113	family_with_sequence_similarity_135_member_A
OG_37	TrH2_TrispH2_000582-RA	TrH2	TrH2_TrispH2_000582	family_with_sequence_similarity_135_member_A
OG_37	Hhon_g00106.t1	Hhon	Hhon_g00106.t1	family_with_sequence_similarity_135_member_A
OG_37	HoiH23_PlH23_002829-RA	HoiH23	HoiH23_PlH23_002829	family_with_sequence_similarity_135_member_A
OG_38	HoiH23_PlH23_002834-RA	HoiH23	HoiH23_PlH23_002834	transmembrane_protein_14C
OG_38	Hhon_g00111.t1	Hhon	Hhon_g00111.t1	transmembrane_protein_14C
OG_38	TrH2_TrispH2_000577-RA	TrH2	TrH2_TrispH2_000577	transmembrane_protein_14C
OG_38	Tadh_TriadT58108	Tadh	Tadh_TriadG58108	transmembrane_protein_14C
OG_39	TrH2_TrispH2_000564-RA	TrH2	TrH2_TrispH2_000564	EYA_transcriptional_coactivator_and_phosphatase_4
OG_39	Tadh_TriadT58093	Tadh	Tadh_TriadG58093	EYA_transcriptional_coactivator_and_phosphatase_4
OG_39	HoiH23_PlH23_002848-RA	HoiH23	HoiH23_PlH23_002848	EYA_transcriptional_coactivator_and_phosphatase_4
OG_39	Hhon_g00125.t1	Hhon	Hhon_g00125.t1	EYA_transcriptional_coactivator_and_phosphatase_4
OG_40	HoiH23_PlH23_008863-RA	HoiH23	HoiH23_PlH23_008863	replication_termination_factor_2
OG_40	Hhon_g00132.t1	Hhon	Hhon_g00132.t1	replication_termination_factor_2
OG_40	TrH2_TrispH2_000558-RA	TrH2	TrH2_TrispH2_000558	replication_termination_factor_2
OG_40	Tadh_TriadT58086	Tadh	Tadh_TriadG58086	replication_termination_factor_2
OG_41	Tadh_TriadT58082	Tadh	Tadh_TriadG58082	
OG_41	HoiH23_PlH23_008858-RA	HoiH23	HoiH23_PlH23_008858	
OG_41	TrH2_TrispH2_000554-RA	TrH2	TrH2_TrispH2_000554	
OG_41	Hhon_g00137.t1	Hhon	Hhon_g00137.t1	
OG_42	Tadh_TriadT58081	Tadh	Tadh_TriadG58081	transmembrane_protein_65
OG_42	TrH2_TrispH2_000553-RA	TrH2	TrH2_TrispH2_000553	transmembrane_protein_65
OG_42	Hhon_g00138.t1	Hhon	Hhon_g00138.t1	transmembrane_protein_65
OG_43	TrH2_TrispH2_000550-RA	TrH2	TrH2_TrispH2_000550	NADH_ubiquinone_oxidoreductase_subunit_S5
OG_43	Hhon_g00141.t1	Hhon	Hhon_g00141.t1	
OG_44	Tadh_TriadT58077	Tadh	Tadh_TriadG58077	radial_spoke_head_10_homolog_B2
OG_44	Hhon_g00143.t1	Hhon	Hhon_g00143.t1	radial_spoke_head_10_homolog_B2
OG_44	HoiH23_PlH23_009032-RA	HoiH23	HoiH23_PlH23_009032	radial_spoke_head_10_homolog_B2
OG_44	TrH2_TrispH2_000547-RA	TrH2	TrH2_TrispH2_000547	radial_spoke_head_10_homolog_B2
OG_45	HoiH23_PlH23_007755-RA	HoiH23	HoiH23_PlH23_007755	
OG_45	TrH2_TrispH2_000542-RA	TrH2	TrH2_TrispH2_000542	
OG_45	Tadh_TriadT58070	Tadh	Tadh_TriadG58070	
OG_45	Hhon_g00149.t1	Hhon	Hhon_g00149.t1	
OG_46	Tadh_TriadT58067	Tadh	Tadh_TriadG58067	LTV1_ribosome_biogenesis_factor
OG_46	HoiH23_PlH23_007758-RA	HoiH23	HoiH23_PlH23_007758	LTV1_ribosome_biogenesis_factor
OG_46	Hhon_g00152.t1	Hhon	Hhon_g00152.t1	LTV1_ribosome_biogenesis_factor
OG_46	TrH2_TrispH2_000539-RA	TrH2	TrH2_TrispH2_000539	LTV1_ribosome_biogenesis_factor
OG_47	Tadh_TriadT64079	Tadh	Tadh_TriadG64079	NKAP_domain_containing_1
OG_47	Hhon_g00155.t1	Hhon	Hhon_g00155.t1	NKAP_domain_containing_1
OG_47	HoiH23_PlH23_007761-RA	HoiH23	HoiH23_PlH23_007761	NKAP_domain_containing_1
OG_47	TrH2_TrispH2_000535-RA	TrH2	TrH2_TrispH2_000535	NKAP_domain_containing_1
OG_48	TrH2_TrispH2_000528-RA	TrH2	TrH2_TrispH2_000528	PET100_cytochrome_c_oxidase_chaperone
OG_48	Hhon_g00162.t1	Hhon	Hhon_g00162.t1	PET100_cytochrome_c_oxidase_chaperone
OG_49	Hhon_g00164.t1	Hhon	Hhon_g00164.t1	iron_sulfur_cluster_assembly_1
OG_49	TrH2_TrispH2_000526-RA	TrH2	TrH2_TrispH2_000526	iron_sulfur_cluster_assembly_1
OG_49	HoiH23_PlH23_007769-RA	HoiH23	HoiH23_PlH23_007769	iron_sulfur_cluster_assembly_1
OG_49	Tadh_TriadT58057	Tadh	Tadh_TriadG58057	iron_sulfur_cluster_assembly_1
OG_50	HoiH23_PlH23_007773-RA	HoiH23	HoiH23_PlH23_007773	nuclear_factor_I_B
OG_50	Hhon_g00167.t1	Hhon	Hhon_g00167.t1	nuclear_factor_I_B
OG_50	Tadh_TriadT58053	Tadh	Tadh_TriadG58053	nuclear_factor_I_B
OG_50	TrH2_TrispH2_000522-RA	TrH2	TrH2_TrispH2_000522	nuclear_factor_I_B
OG_51	Tadh_TriadT58052	Tadh	Tadh_TriadG58052	DOT1_like_histone_lysine_methyltransferase
OG_51	Hhon_g00168.t1	Hhon	Hhon_g00168.t1	DOT1_like_histone_lysine_methyltransferase
OG_51	HoiH23_PlH23_010059-RA	HoiH23	HoiH23_PlH23_010059	DOT1_like_histone_lysine_methyltransferase
OG_51	TrH2_TrispH2_000521-RA	TrH2	TrH2_TrispH2_000521	DOT1_like_histone_lysine_methyltransferase
OG_52	Tadh_TriadT58051	Tadh	Tadh_TriadG58051	RIC1_homolog_RAB6A_GEF_complex_partner_1
OG_52	TrH2_TrispH2_000520-RA	TrH2	TrH2_TrispH2_000520	RIC1_homolog_RAB6A_GEF_complex_partner_1
OG_52	HoiH23_PlH23_010060-RA	HoiH23	HoiH23_PlH23_010060	RIC1_homolog_RAB6A_GEF_complex_partner_1
OG_52	Hhon_g00169.t1	Hhon	Hhon_g00169.t1	RIC1_homolog_RAB6A_GEF_complex_partner_1
OG_53	HoiH23_PlH23_009959-RA	HoiH23	HoiH23_PlH23_009959	
OG_53	TrH2_TrispH2_000511-RA	TrH2	TrH2_TrispH2_000511	
OG_53	Hhon_g00176.t1	Hhon	Hhon_g00176.t1	
OG_53	Tadh_wf_g6913.t1	Tadh	Tadh_wf_g6913	
OG_54	TrH2_TrispH2_000508-RA	TrH2	TrH2_TrispH2_000508	
OG_54	HoiH23_PlH23_009962-RA	HoiH23	HoiH23_PlH23_009962	
OG_54	Tadh_TriadT58040	Tadh	Tadh_TriadG58040	
OG_54	Hhon_g00179.t1	Hhon	Hhon_g00179.t1	
OG_55	Tadh_TriadT58032	Tadh	Tadh_TriadG58032	centromere_protein_C
OG_55	TrH2_TrispH2_000502-RA	TrH2	TrH2_TrispH2_000502	centromere_protein_C
OG_55	HoiH23_PlH23_003157-RA	HoiH23	HoiH23_PlH23_003157	centromere_protein_C
OG_55	Hhon_g00186.t1	Hhon	Hhon_g00186.t1	centromere_protein_C
OG_56	Hhon_g00187.t1	Hhon	Hhon_g00187.t1	ATP_synthase_F1_subunit_delta
OG_56	TrH2_TrispH2_000501-RA	TrH2	TrH2_TrispH2_000501	ATP_synthase_F1_subunit_delta
OG_56	Tadh_TriadT64074	Tadh	Tadh_TriadG64074	ATP_synthase_F1_subunit_delta
OG_56	HoiH23_PlH23_003158-RA	HoiH23	HoiH23_PlH23_003158	ATP_synthase_F1_subunit_delta
OG_57	TrH2_TrispH2_000500-RA	TrH2	TrH2_TrispH2_000500	
OG_57	Hhon_g00188.t1	Hhon	Hhon_g00188.t1	
OG_57	Tadh_TriadT58030	Tadh	Tadh_TriadG58030	
OG_57	HoiH23_PlH23_003159-RA	HoiH23	HoiH23_PlH23_003159	
OG_58	Tadh_TriadT58019	Tadh	Tadh_TriadG58019	
OG_58	HoiH23_PlH23_003169-RA	HoiH23	HoiH23_PlH23_003169	
OG_58	Hhon_g00197.t1	Hhon	Hhon_g00197.t1	
OG_58	TrH2_TrispH2_000488-RA	TrH2	TrH2_TrispH2_000488	
OG_59	TrH2_TrispH2_000485-RA	TrH2	TrH2_TrispH2_000485	RPTOR_independent_companion_of_MTOR_complex_2
OG_59	HoiH23_PlH23_003171-RA	HoiH23	HoiH23_PlH23_003171	RPTOR_independent_companion_of_MTOR_complex_2
OG_59	Hhon_g00199.t1	Hhon	Hhon_g00199.t1	RPTOR_independent_companion_of_MTOR_complex_2
OG_59	Tadh_TriadT58016	Tadh	Tadh_TriadG58016	RPTOR_independent_companion_of_MTOR_complex_2
OG_60	TrH2_TrispH2_000484-RA	TrH2	TrH2_TrispH2_000484	ketohexokinase
OG_60	Tadh_TriadT58015	Tadh	Tadh_TriadG58015	ketohexokinase
OG_60	HoiH23_PlH23_003172-RA	HoiH23	HoiH23_PlH23_003172	ketohexokinase
OG_60	Hhon_g00200.t1	Hhon	Hhon_g00200.t1	ketohexokinase
OG_61	Hhon_g00201.t1	Hhon	Hhon_g00201.t1	trafficking_protein_particle_complex_5
OG_61	Tadh_TriadT27645	Tadh	Tadh_TriadG27645	trafficking_protein_particle_complex_5
OG_61	HoiH23_PlH23_003173-RA	HoiH23	HoiH23_PlH23_003173	trafficking_protein_particle_complex_5
OG_61	TrH2_TrispH2_000482-RA	TrH2	TrH2_TrispH2_000482	trafficking_protein_particle_complex_5
OG_62	Tadh_TriadT58013	Tadh	Tadh_TriadG58013	
OG_62	Hhon_g00202.t1	Hhon	Hhon_g00202.t1	
OG_62	HoiH23_PlH23_003174-RA	HoiH23	HoiH23_PlH23_003174	
OG_62	TrH2_TrispH2_000483-RA	TrH2	TrH2_TrispH2_000483	
OG_63	Hhon_g00203.t1	Hhon	Hhon_g00203.t1	endoplasmic_reticulum_metallopeptidase_1
OG_63	Tadh_TriadT28009	Tadh	Tadh_TriadG28009	endoplasmic_reticulum_metallopeptidase_1
OG_63	TrH2_TrispH2_000481-RA	TrH2	TrH2_TrispH2_000481	endoplasmic_reticulum_metallopeptidase_1
OG_63	HoiH23_PlH23_003175-RA	HoiH23	HoiH23_PlH23_003175	endoplasmic_reticulum_metallopeptidase_1
OG_64	Hhon_g00211.t1	Hhon	Hhon_g00211.t1	
OG_64	Tadh_TriadT58005	Tadh	Tadh_TriadG58005	
OG_64	TrH2_TrispH2_000474-RA	TrH2	TrH2_TrispH2_000474	
OG_64	HoiH23_PlH23_003183-RA	HoiH23	HoiH23_PlH23_003183	
OG_65	Tadh_TriadT58003	Tadh	Tadh_TriadG58003	general_transcription_factor_IIIC_subunit_3
OG_65	HoiH23_PlH23_003186-RA	HoiH23	HoiH23_PlH23_003186	general_transcription_factor_IIIC_subunit_3
OG_65	Hhon_g00214.t1	Hhon	Hhon_g00214.t1	general_transcription_factor_IIIC_subunit_3
OG_65	TrH2_TrispH2_000472-RA	TrH2	TrH2_TrispH2_000472	general_transcription_factor_IIIC_subunit_3
OG_66	TrH2_TrispH2_000470-RA	TrH2	TrH2_TrispH2_000470	
OG_66	HoiH23_PlH23_003189-RA	HoiH23	HoiH23_PlH23_003189	
OG_66	Tadh_TriadT58001	Tadh	Tadh_TriadG58001	
OG_66	Hhon_g00218.t1	Hhon	Hhon_g00218.t1	
OG_67	TrH2_TrispH2_000468-RA	TrH2	TrH2_TrispH2_000468	coiled_coil_domain_containing_178
OG_67	Hhon_g00219.t1	Hhon	Hhon_g00219.t1	coiled_coil_domain_containing_178
OG_67	Tadh_wf_g6870.t1	Tadh	Tadh_wf_g6870	coiled_coil_domain_containing_178
OG_67	HoiH23_PlH23_003190-RA	HoiH23	HoiH23_PlH23_003190	coiled_coil_domain_containing_178
OG_68	Hhon_g00225.t1	Hhon	Hhon_g00225.t1	
OG_68	TrH2_TrispH2_006472-RA	TrH2	TrH2_TrispH2_006472	
OG_68	HoiH23_PlH23_003196-RA	HoiH23	HoiH23_PlH23_003196	
OG_68	Tadh_TriadT57993	Tadh	Tadh_TriadG57993	
OG_69	TrH2_TrispH2_006477-RA	TrH2	TrH2_TrispH2_006477	protein_phosphatase_1_regulatory_subunit_42
OG_69	HoiH23_PlH23_003201-RA	HoiH23	HoiH23_PlH23_003201	protein_phosphatase_1_regulatory_subunit_42
OG_69	Tadh_TriadT27741	Tadh	Tadh_TriadG27741	protein_phosphatase_1_regulatory_subunit_42
OG_69	Hhon_g00230.t1	Hhon	Hhon_g00230.t1	protein_phosphatase_1_regulatory_subunit_42
OG_70	TrH2_TrispH2_006479-RA	TrH2	TrH2_TrispH2_006479	coiled_coil_and_C2_domain_containing_1A
OG_70	HoiH23_PlH23_003202-RA	HoiH23	HoiH23_PlH23_003202	coiled_coil_and_C2_domain_containing_1A
OG_70	Hhon_g00232.t1	Hhon	Hhon_g00232.t1	coiled_coil_and_C2_domain_containing_1A
OG_70	Tadh_TriadT57985	Tadh	Tadh_TriadG57985	coiled_coil_and_C2_domain_containing_1A
OG_71	Tadh_TriadT57981	Tadh	Tadh_TriadG57981	NSE1_homolog_SMC5_SMC6_complex_component
OG_71	Hhon_g00234.t1	Hhon	Hhon_g00234.t1	
OG_71	TrH2_TrispH2_006482-RA	TrH2	TrH2_TrispH2_006482	NSE1_homolog_SMC5_SMC6_complex_component
OG_71	HoiH23_PlH23_003204-RA	HoiH23	HoiH23_PlH23_003204	NSE1_homolog_SMC5_SMC6_complex_component
OG_72	TrH2_TrispH2_006484-RA	TrH2	TrH2_TrispH2_006484	lysosomal_protein_transmembrane_4_beta
OG_72	Hhon_g00236.t1	Hhon	Hhon_g00236.t1	lysosomal_protein_transmembrane_4_beta
